ID;Datetime;Username;Content;clean_text
1595749065442365440;2022-11-24 11:59:59+00:00;situbondoPD;"Sosialisasi aturan Bakal Calon Legislatif PARTAI DEMOKRAT DPRD SITUBONDO. Diikuti oleh semua anggota FPD dan Bakal Calon Legislatif dengan antusias menyambut PILEG 2024. #demokratbersamarakyat 
#demokratjatim #demokratsitubondo #ahy https://t.co/mRTpvEQxem";sosialisasi aturan calon legislatif partai demokrat dprd situbondo diikuti anggota fpd calon legislatif antusias menyambut pileg
1595745705876140033;2022-11-24 11:46:38+00:00;RengTisah;"#mudaadalahkekuatan
#AHY
#Demokrat https://t.co/bWDy2iuTQi";
1595736025351221249;2022-11-24 11:08:10+00:00;ekojhones77;"MantaPD para kader @PDemokrat langsung laksanakan instruksi mas ketum @AgusYudhoyono bantu korban gempa

AHY Apresiasi Kader Demokrat Cepat Tanggap Bantu Korban Gempa Cianjur 

 https://t.co/PlZyuRGtDi #ahy #demokrat #partaidemokrat https://t.co/LCzP9Nr042";mantapd kader laksanakan instruksi mas ketum bantu korban gempa ahy apresiasi kader demokrat cepat tanggap bantu korban gempa cianjur
1595725411085737984;2022-11-24 10:25:59+00:00;ryanmatrex;"BERSAMA RAKYAT DEMOKRAT PERJUANGKAN PERUBAHAN DAN PERBAIKAN.
.
#demokrat #pdemokrat #partaidemokrat #akdem #akademidemokrat #ahy #mamuju #sulbar #rakyat #koalisi #partai #capres #cawapres #pilpres2024 #perubahandanperbaikan https://t.co/hi7opXEETq";rakyat demokrat perjuangkan perubahan perbaikan
1595700719729917956;2022-11-24 08:47:52+00:00;demokratsulsel;"Fit and Proper Test Calon Ketua DPC #partaidemokrat se-Sulawesi Selatan
.
Bersama Rakyat untuk #perubahan dan #Perbaikan

...
#AHY
#AHYPemimpinPerubahan
#DemokratProPerubahan
#BangkitBersama
#Nimatullaherbe
#UllA https://t.co/4fHFa9bN8G";fit and proper test calon ketua dpc sesulawesi selatan rakyat
1595664065040613377;2022-11-24 06:22:13+00:00;Demokrat_TV;"AHY Lantik Ketua dan Pengurus 27 DPC Partai Demokrat se-Jawa Barat

#AHY #PartaiDemokrat #DemokratJabar https://t.co/n3yWoUiHTC";ahy lantik ketua pengurus dpc partai demokrat sejawa barat
1595643113707433984;2022-11-24 04:58:58+00:00;MollyTh30584354;"AHY tak pantas jadi pemimpin, minim prestasi dan pengalaman, elektabilitas rendah, gak berkualitas!! 
.
KECAM AHY!!!
#AHYpolitikusGagal
#AHYAsalBicara
#SBYMangkrakAHYAsbun
#AHYGagaldiTNIGagaldiPolitik
#AHYgagalNyapres
#HambalangMangkrak
#SBYTurunGunung
#DemokratKoruptor
#AHY… https://t.co/1MmXA93Wpj";ahy pemimpin minim prestasi pengalaman elektabilitas rendah gak berkualitas kecam ahy …
1595642471530508288;2022-11-24 04:56:25+00:00;dalimi_h;Wajudkan harapan rakyat untuk perubahan dan perbaikan. #AHY #AHYPimpinPerubahan #DemokratHarapanRakyat #PartaiDemokrat https://t.co/odhJZQzzeP;wajudkan harapan rakyat perubahan perbaikan
1595625177156845569;2022-11-24 03:47:42+00:00;dpcdemokrat_tjb;"Semua harus di perintungkan dengan baik, itu semua demi kebaikan bersama.
.
.
Gunakan anggaran untuk kebutuhan bukan untuk keinginan...
.
.
#DpcPartaiDemokratTjb #Demokrat #DemokratBerkoalisiBersamaRakyat #Jds #AniesAhy #Ahy #PerubahanDanPerbaikan https://t.co/Z3Np77L45w";perintungkan kebaikan anggaran kebutuhan
1595606152083304449;2022-11-24 02:32:06+00:00;balad_kangasep;"Dewan Pimpinan Cabang (DPC) Partai Demokrat Kota Tangerang menggelar Roadshow dan Pembekalan Pengurus DPAC Partai Demokrat di Dapil 3 Kota Tangerang, meliputi Kecamatan Cipondoh dan Kecamatan Pinang, Rabu (23/11/2022).

#PartaiDemokrat
#AHY
#DemokratKotaTangerangJaya https://t.co/hhFHaDEHAJ";dewan pimpinan cabang dpc partai demokrat kota tangerang menggelar roadshow pembekalan pengurus dpac partai demokrat dapil kota tangerang meliputi kecamatan cipondoh kecamatan pinang rabu
1595605947250249728;2022-11-24 02:31:17+00:00;BakomstraKota;"Dewan Pimpinan Cabang (DPC) Partai Demokrat Kota Tangerang menggelar Roadshow dan Pembekalan Pengurus DPAC Partai Demokrat di Dapil 3 Kota Tangerang, meliputi Kecamatan Cipondoh dan Kecamatan Pinang, Rabu (23/11/2022).

#PartaiDemokrat
#AHY
#DemokratKotaTangerangJaya https://t.co/qOpepDzbet";dewan pimpinan cabang dpc partai demokrat kota tangerang menggelar roadshow pembekalan pengurus dpac partai demokrat dapil kota tangerang meliputi kecamatan cipondoh kecamatan pinang rabu
1595605598057693184;2022-11-24 02:29:54+00:00;pdemokratkotatg;"Dewan Pimpinan Cabang (DPC) Partai Demokrat Kota Tangerang menggelar Roadshow dan Pembekalan Pengurus DPAC Partai Demokrat di Dapil 3 Kota Tangerang, meliputi Kecamatan Cipondoh dan Kecamatan Pinang, Rabu (23/11/2022).

#PartaiDemokrat
#AHY
#DemokratKotaTangerangJaya https://t.co/oYQsO9OBrk";dewan pimpinan cabang dpc partai demokrat kota tangerang menggelar roadshow pembekalan pengurus dpac partai demokrat dapil kota tangerang meliputi kecamatan cipondoh kecamatan pinang rabu
1595599424503545856;2022-11-24 02:05:22+00:00;dpcdemokratpmk;"""Partai Demokrat siap bersama rakyat memperjuangkan perubahan dan perbaikan.""

#DemokratBersamaRakyat #PartaiDemokrat #pdemokrat #Demokrat #AHY https://t.co/IQIFn75x0C";partai demokrat rakyat memperjuangkan perubahan perbaikan
1595587827366264833;2022-11-24 01:19:17+00:00;angeli_angeli09;@pdntb_id @AgusYudhoyono @PDemokrat Makin kece gerakanya pak #AHY;kece gerakanya
1595457399342526473;2022-11-23 16:41:00+00:00;rudi_kadarisman;"""Banyak kebijakan yang aneh, banyak yang rasanya ugal-ugalan. Kebijakan yang kumaha engke, harusnya engke kumaha. Kita butuh infrastruktur. Betul? Ya tapi jangan semua uang negara untuk infrastruktur!"" - @AgusYudhoyono (Ketum @PDemokrat)
#AHY https://t.co/fzr0eo5Ztb";kebijakan aneh ugalugalan kebijakan kumaha engke engke kumaha butuh infrastruktur uang negara infrastruktur ketum
1595415377294434305;2022-11-23 13:54:01+00:00;Pdemokratkabsrg;"Selamat dan sukses atas anugerah Keterbukaan Informasi Badan Publik 2022 @PDemokrat Provinsi Banten. Semoga menjadikan Partai Demokrat terdepan terus dalam pembaruan dan kualitas informasi. 

#PartaiDemokrat 
#AHY 
#ItiJayabaya https://t.co/sGXi4EVMgy";selamat sukses anugerah keterbukaan informasi badan publik provinsi banten semoga menjadikan partai demokrat terdepan pembaruan kualitas informasi
1595410264312410114;2022-11-23 13:33:42+00:00;Amonblack5;#AHY #DEMOKRATUNTUKRAKYAT https://t.co/XFp9y2j0XK;
1595403048415035393;2022-11-23 13:05:02+00:00;BekasiDpc;"Ketua Fraksi Demokrat DPRD Kabupaten Bekasi 
Ibu @miaeldabo04
Berbela Sungkawa Atas Bencana Gempa Bumi Yang Menimpa Saudara Kita Di Cianjur, Sekaligus Memberikan Bantuan Langsung Ke Daerah Terdampak #gempacianjur 
#ahy
#demokratkabupatenbekasi
#demokratjawabarat
#jawabarat https://t.co/rMAnYQn417";ketua fraksi demokrat dprd kabupaten bekasi berbela sungkawa bencana gempa bumi menimpa saudara cianjur bantuan daerah terd ak
1595402467856232449;2022-11-23 13:02:44+00:00;DemokratSergai;"Jajaran DPC Partai Demokrat Kabupaten Serdang Bedagai, mengucapkan Selamat Ulang Tahun Bapak Made Rai Edi Astawa (Deputi BPOKK DPP Partai Demokrat)
22 November 2022.
#PartaiDemokrat
#AHY
#MadeRaiEdiAstawa
#UlangTahun
#BPOKK
#Yunasril
#Sergai https://t.co/7Pz4FUa7e9";jajaran dpc partai demokrat kabupaten serdang bedagai selamat ulang tahun made rai edi astawa deputi bpokk dpp partai demokrat november
1595400842579890176;2022-11-23 12:56:16+00:00;ekojhones77;"Nah ketemu rakyat tuh kayak mas ketum @PDemokrat mas @AgusYudhoyono dialog dgn rakyat bukan lepar kaos atau bagi sembako ada gambarnya

AHY Rajin Bersafari untuk Dialog Bersama Rakyat Bukan Melempar Hadiah 

 https://t.co/O8fHiTEnFE #demokrat #ahy #agusyudhoyono #ahyforall https://t.co/1mL3UYS4hN";ketemu rakyat tuh kayak mas ketum mas dialog dgn rakyat lepar kaos sembako gambarnya ahy rajin bersafari dialog rakyat melempar hadiah
1595392304843571201;2022-11-23 12:22:21+00:00;demokratsulsel;"Demokrat Hadir untuk #perubahan dan #perbaikan masa depan bangsa Indonesia

...
#AHY
#AHYPemimpinPerubahan
#DemokratProPerubahan
#BangkitBersama
#Nimatullaherbe
#UllA https://t.co/AW71oSrIf6";demokrat hadir bangsa indonesia
1595355172401975296;2022-11-23 09:54:48+00:00;benhilnet;"AHY Bilang Indonesia Tidak Baik-Baik Saja, Netizen Ingatkan Jadi Lurah Dulu. #AHY  
https://t.co/HXXFLnCjLV";ahy bilang indonesia baikbaik netizen ingatkan lurah
1595349563795193859;2022-11-23 09:32:30+00:00;bakomstrasulsel;"Demokrat tegaskan Koalisi Perubahan Semakin Solid
.
#koalisiperubahan 

...
#AHY
#AHYPemimpinPerubahan
#DemokratProPerubahan
#BangkitBersama
#Nimatullaherbe
#UllA https://t.co/5RwiqOjLSv";demokrat tegaskan koalisi perubahan solid
1595349187411038209;2022-11-23 09:31:01+00:00;bakomstrasulsel;"Jangan Hanya Fokus Pembangunan Fisik tapi Lupa Tingkatkan SDM

...

#AHY
#AHYPemimpinPerubahan
#DemokratProPerubahan
#BangkitBersama
#Nimatullaherbe
#UllA https://t.co/gA36PiG8x5";fokus pembangunan fisik lupa tingkatkan sdm
1595348875568549889;2022-11-23 09:29:46+00:00;bakomstrasulsel;"AHY: Demokrat Hadir Membawa Perubahan dan Perbaikan Masa Depan Indonesia

...

#AHY
#AHYPemimpinPerubahan
#DemokratProPerubahan
#BangkitBersama
#Nimatullaherbe
#UllA https://t.co/ZveGsHsQCz";ahy demokrat hadir membawa perubahan perbaikan indonesia
1595348871659802626;2022-11-23 09:29:45+00:00;pdemokratbanten;"“Saya Menjagokan Brazil, dan juga Argentina di Piala Dunia 2022. Kedua negara terlihat semenjak 2018 Pra Piala Dunia selalu mendominasi dalam permainan,” seru Ketua DPD.

#PartaiDemokrat
#AHY
#ItiJayabaya
#BantenJuara
#WorldCup2022 https://t.co/0Dfq29Kd2l";“saya menjagokan brazil argentina piala dunia negara semenjak pra piala dunia mendominasi permainan” seru ketua dpd
1595298954597396480;2022-11-23 06:11:24+00:00;pdemokratasahan;"""Setiap berdialog dengan rakyat apapun profesi maupun elemen masyarakatnya, semua menyampaikan bahwa Indonesia hari ini sedang tidak baik-baik saja.""
- AHY -
#dpcdemokratasahan
#ahy
#bakomstraasahan

https://t.co/M8qIpwoy9B";berdialog rakyat apapun profesi elemen masyarakatnya meny aikan indonesia baikbaik ahy
1595278953379688448;2022-11-23 04:51:55+00:00;pdemokratbanten;"Terima kasih kami sampaikan kepada Komisi Informasi Banten atas anugerah Keterbukaan Informasi Badan Publik 2022 bagi @pdemokrat Provinsi Banten. Semoga menjadikan Partai Demokrat terdepan terus dalam pembaruan dan kualitas informasi. 

#PartaiDemokrat 
#AHY 
#ItiJayabaya https://t.co/P9yKUups76";terima kasih aikan komisi informasi banten anugerah keterbukaan informasi badan publik provinsi banten semoga menjadikan partai demokrat terdepan pembaruan kualitas informasi
1595274932681773056;2022-11-23 04:35:57+00:00;ryanmatrex;"UNTUK MAJU, KITA HARUS MELANGKAH
UNTUK DIDENGAR, KITA HARUS BICARA.
.
#demokrat #pdemokrat #partaidemokrat #akdem #akademidemokrat #ahy #mamuju #sulbar #koalisi #partai #capres #cawapres #pilpres2024 #perubahandanperbaikan https://t.co/YLmwF1762B";maju melangkah didengar bicara
1595214997059407872;2022-11-23 00:37:47+00:00;mulyadi_izhaq;"Bagus sekali ketika antar tokoh bangsa antara politisi saling bertemu, berkomunikasi dan bersilaturahmi.
#PartaiDemokrat #pdemikrat #Demokrat #AHY https://t.co/qR9uUw4gx2";bagus tokoh bangsa politisi bertemu berkomunikasi bersilaturahmi
1595084549905469440;2022-11-22 15:59:26+00:00;Mix_Matt;"turut berduka atas bencana gempa bumi yang berpusat di Cianjur, Jawa Barat. Semoga kita semua mendapatkan perlindungan dari Allah SWT, Tuhan YME 🙏
. 
. 
#prayforcianjur
#PartaiDemokrat
#pdemikrat
#Demokrat
#AHY https://t.co/izdS1LGJLq";berduka bencana gempa bumi berpusat cianjur jawa barat semoga perlindungan allah swt tuhan yme 🙏
1595057288007614464;2022-11-22 14:11:06+00:00;MilenialSamaAH;"Airlangga Hadiri Penandatanganan MoU tv One sebagai TV Pemilu 2024

#airlanggahartarto #golkarindonesia #golkar #fyp #foryoupage #foryou #jokowi #fypシ #indonesia #capres #aniesbaswedan #pilkada #ahok #sandiagauno #ahy #CatatanDemokrasi #tvOne #LaunchingTVPemilu #FIFAWorldCup https://t.co/egtiDKLj4J";airlangga hadiri penandatanganan mou tv one tv pemilu
1595025306070700034;2022-11-22 12:04:01+00:00;gery_opret;"https://t.co/7CmqeiNxvy'MATULLAH,SE.Ak
Ketua DPD Partai Demokrat SulSel
Makassar-21-11-2022

@agusyudhoyono
#AHY Pelopor Perubahan&amp;Perbaikan
@ni'matullaherbe
@ikraropu
#DPD SULSEL
#DEWAN KEHORMATAN
#BPJK-DA https://t.co/JvuuTbMWIy";ketua dpd partai demokrat sulsel pelopor perubahan perbaikan matullaherbe sulsel kehormatan da
1595024522121719808;2022-11-22 12:00:54+00:00;IaNopret;"https://t.co/c0qstrpxmA'MATULLAH,SE.Ak
Ketua DPD Partai Demokrat SulSel
Makassar-21-11-2022

@agusyudhoyono
#AHY Pelopor Perubahan&amp;Perbaikan
@ni'matullaherbe
@ikraropu
#DPD SULSEL
#DEWAN KEHORMATAN
#BPJK-DA https://t.co/O6h7zw1lyS";ketua dpd partai demokrat sulsel pelopor perubahan perbaikan matullaherbe sulsel kehormatan da
1595016819680882688;2022-11-22 11:30:18+00:00;husinmunir27;"Dengan pikiran yang tenang dan matang AHY tidak terburu buru untuk mendeklarasikan untuk berkualisi

#DemokratBersamaRakyat
#AHY
#RAmujiono
#KudaHitam https://t.co/2MAzPbHIgb";pikiran tenang matang ahy terburu buru mendeklarasikan berkualisi
