ID;Datetime;Likes;Content;clean_text
1595766134493437953;2022-11-24 13:07:49+00:00;0;@masebolali Semoga segera kembali semangat para saudara kita di Cianjur.;semoga semangat saudara cianjur
1595765901848375296;2022-11-24 13:06:53+00:00;1;@zarazettirazr Apakabar mbak @zarazettirazr ? Semoga dalam keadaan baik.;apakabar mbak semoga
1595763572985909248;2022-11-24 12:57:38+00:00;1;@M_ninetySix_You @Kemhan_RI Saya sudah teruskan info anda ke pihak terkait. Semoga bantuan bisa segera sampai.;teruskan info terkait semoga bantuan ai
1595758976477827073;2022-11-24 12:39:22+00:00;38;Terima kasih. https://t.co/Y9cOuRynQX;terima kasih
1595757535197560840;2022-11-24 12:33:38+00:00;14;@Gerindra Laporan diterima. Terima kasih. Jangan lupa untuk memantau kesehatan dan stamina rekan @gerindra yang sedang menjadi relawan di Cianjur. Kalau perlu lakukan rotasi berkala dengan kader lain.;laporan diterima terima kasih lupa memantau kesehatan stamina rekan relawan cianjur lakukan rotasi berkala kader
1595754976030388225;2022-11-24 12:23:28+00:00;106;Gempa Cianjur adalah duka bagi kita sesama anak bangsa. Untuk itu, kita akan selalu bersama saudara-saudara kita di Cianjur dalam melewati musibah ini. https://t.co/EvHjncfMmq;gempa cianjur duka anak bangsa saudarasaudara cianjur melewati musibah
1595754258842144770;2022-11-24 12:20:37+00:00;138;Alhamdulillah hari ini saya bisa meninjau langsung proses membantu saudara-saudara yang terkena bencana gempa di Cianjur. Gotong royong dan persatuan semua unsur masyarakat dan institusi negara dapat mempercepat mitigasi penderitaan para korban dan pengungsi. https://t.co/3sd5U4o6Z8;alhamdulillah meninjau proses membantu saudarasaudara terkena bencana gempa cianjur gotong royong persatuan unsur masyarakat institusi negara mempercepat mitigasi penderitaan korban pengungsi
1594932109046841346;2022-11-22 05:53:41+00:00;751;"Indonesia selalu berusaha untuk menjaga hubungan terbaik dengan semua bangsa demi memajukan Indo-Pasifik yang lebih terhubung, sejahtera, aman, tangguh serta bebas dan terbuka.

Saya percaya untuk mencapai ini perlu kerja sama dan partisipasi negara-negara Indo-Pasifik. https://t.co/lJaw7CQUOE";indonesia berusaha menjaga hubungan terbaik bangsa memajukan indopasifik terhubung sejahtera aman tangguh bebas terbuka percaya mencapai partisipasi negaranegara indopasifik
1594631594320461824;2022-11-21 09:59:33+00:00;42;@Puutrii_Rahmaa @Gerindra Biasanya urunan sesama kader. Tidak selalu uang, ada sumbang kendaraan, ada yang bantu keahlian, ada yang bantu tenaga. Semua saling memberi yang mereka punya.;urunan kader uang sumbang kendaraan bantu keahlian bantu tenaga
1594627951777169408;2022-11-21 09:45:05+00:00;52;@Nyw2411 @Gerindra Sebaiknya diluar dulu. Waspadai gempa susulan. Semoga bantuan bisa segera datang.;diluar waspadai gempa susulan semoga bantuan
1594620537342464001;2022-11-21 09:15:37+00:00;1722;"Turut berduka cita sedalam-dalamnya atas bencana gempa yang terjadi di Cianjur, Sukabumi dan Bogor. Saya instruksikan kepada seluruh kader Gerindra yang tidak terdampak bencana gempa untuk segera turun langsung membantu.

@gerindra harap monitor.";berduka cita sedalamdalamnya bencana gempa cianjur sukabumi bogor instruksikan kader gerindra terd ak bencana gempa turun membantu harap monitor
1594502302378774528;2022-11-21 01:25:47+00:00;3;@ipungvice1 👍;👍
1594495313904926720;2022-11-21 00:58:01+00:00;17;@te_nago Sedang main apa anak-anak itu? Serius sekali.;main anakanak serius
1594491709203054592;2022-11-21 00:43:42+00:00;1639;"""Apa yang saya bisa tinggalkan hanya rohku saja, yaitu roh setia hingga terakhir kepada tanah air, dan tidak mundur sekalipun menemui rintangan apa pun menuju cita-cita kebangsaan yang tetap."" - Wolter Mongisidi -

Selamat pagi. Selamat beraktivitas.";tinggalkan rohku roh setia tanah air mundur menemui rintangan citacita kebangsaan wolter mongisidi selamat pagi selamat beraktivitas
