ID;Datetime;Username;Content;clean_text
1595997602855923712;2022-11-25 04:27:35+00:00;andizsss;"@Trending_Issue @panca66 @AgusYudhoyono @aniesbaswedan Salah satu kenapa Partainya nyungsep, karena pengkaderan anggotanya hanya ABS, dan pintar menjilat, bukan begitu @panca66 ?

Panja andieh😂😂😂";salah partainya nyungsep pengkaderan anggotanya abs pintar menjilat panja andieh😂😂😂
1595997568235843584;2022-11-25 04:27:27+00:00;Murdian09309315;@NuryaniAmy @BeiKhiar @Siantar72 @AgusYudhoyono @ElinaDio @SuhartiniTaurus @ekosepu49052970 @syaf_ml @ebe_ganzo @Gus_SyafML @SimbokeSarah @BatuKepla @mangunsong63 Noh kasih makan si @AgusYudhoyono biar gak ngawur dan ngacok trusss;noh kasih makan si biar gak ngawur ngacok trusss
1595997506046869505;2022-11-25 04:27:12+00:00;BeiKhiar;@Murdian09309315 @NuryaniAmy @Siantar72 @AgusYudhoyono @ElinaDio @SuhartiniTaurus @ekosepu49052970 @syaf_ml @ebe_ganzo @Gus_SyafML @SimbokeSarah @BatuKepla @mangunsong63 @indarsih72 https://t.co/BAZ097p72Y;
1595997423289405440;2022-11-25 04:26:52+00:00;medan_demokrat;"Selamat Hari Guru buat seluruh guru di Indonesia
@DppPDEMOKRAT @Herzaky__MP @BakomstraPD @PDemokrat @BakomstraTop @nasution_lokot @BennyHarmanID @AgusYudhoyono @YanHarahap @jansen_jsp https://t.co/FH70F79WLk";selamat guru guru indonesia
1595997276962721792;2022-11-25 04:26:17+00:00;BeiKhiar;@NuryaniAmy @Siantar72 @Murdian09309315 @AgusYudhoyono @ElinaDio @SuhartiniTaurus @ekosepu49052970 @syaf_ml @ebe_ganzo @Gus_SyafML @SimbokeSarah @BatuKepla @mangunsong63 https://t.co/UQ6QVrdvoY;
1595996887269593088;2022-11-25 04:24:44+00:00;NuryaniAmy;@BeiKhiar @Siantar72 @Murdian09309315 @AgusYudhoyono @ElinaDio @SuhartiniTaurus @ekosepu49052970 @syaf_ml @ebe_ganzo @Gus_SyafML @SimbokeSarah @BatuKepla @mangunsong63 Makan2 jangan berisik di TL,buktikan kalau rakyat Indonesia masih baik2 saja😅😅 https://t.co/SrteZ3iMIT;berisik tlbuktikan rakyat indonesia saja😅😅
1595996833687670785;2022-11-25 04:24:31+00:00;ubay3782;@alimuhsuharli @AgusYudhoyono @PDemokrat @RAMujiyono @PDemokratjkt @Edhie_Baskoro @FPD_DPR @MelaniLSuharli @SrikandiPD Guru Pahlawan tampa jasa, tampa guru akan tdk tertatah kehidupan ini.;guru pahlawan jasa guru tdk tertatah kehidupan
1595996439896674305;2022-11-25 04:22:58+00:00;Murdian09309315;@NuryaniAmy @BeiKhiar @Siantar72 @AgusYudhoyono @ElinaDio @SuhartiniTaurus @ekosepu49052970 @syaf_ml @ebe_ganzo @Gus_SyafML @SimbokeSarah @BatuKepla @mangunsong63 Noh denger ya @BeiKhiar 😂😂😂😂😂😂😂🔨🔨;noh denger 😂😂😂😂😂😂😂🔨🔨
1595996350138621952;2022-11-25 04:22:36+00:00;BeiKhiar;"@NuryaniAmy @Siantar72 @Murdian09309315 @AgusYudhoyono @ElinaDio @SuhartiniTaurus @ekosepu49052970 @syaf_ml @ebe_ganzo @Gus_SyafML @SimbokeSarah @BatuKepla @mangunsong63 Kata siapa???. Memang tante @NuryaniAmy nanyeaaaaaaa???.
Mbok Berek mah galak. Ky tante kesayangan aku @SimbokeSarah !!! https://t.co/cju7FMIJOG";tante nanyeaaaaaaa mbok berek mah galak ky tante kesayangan
1595996153518383104;2022-11-25 04:21:49+00:00;Murdian09309315;@SuhartiniTaurus @Siantar72 @NuryaniAmy @AgusYudhoyono @ElinaDio @BeiKhiar @ekosepu49052970 @syaf_ml @ebe_ganzo @Gus_SyafML @SimbokeSarah Noh denger noh @AgusYudhoyono kata kata bukthe @SuhartiniTaurus jngan hanya omdo ya,;noh denger noh bukthe jngan omdo
1595995765649723393;2022-11-25 04:20:17+00:00;NuryaniAmy;@BeiKhiar @Siantar72 @Murdian09309315 @AgusYudhoyono @ElinaDio @SuhartiniTaurus @ekosepu49052970 @syaf_ml @ebe_ganzo @Gus_SyafML @SimbokeSarah @BatuKepla @mangunsong63 Ku pingin jd mbok berek,ayam terenak yg pernah kudengar😅😅;ku pingin jd mbok berekayam terenak yg kudengar😅😅
1595994756915470337;2022-11-25 04:16:16+00:00;BeiKhiar;@Murdian09309315 @NuryaniAmy @Siantar72 @AgusYudhoyono @ElinaDio @SuhartiniTaurus @ekosepu49052970 @syaf_ml @ebe_ganzo @Gus_SyafML @SimbokeSarah @BatuKepla @mangunsong63 Mau kerumah tante @indarsih72 ahhhh. Mau minta sangu sama Pakdhe Ndhewor https://t.co/eR7aGu7zfZ;kerumah tante ahhhh sangu pakdhe ndhewor
1595994592658489344;2022-11-25 04:15:37+00:00;NusBhisma;Bang @AgusYudhoyono, jika abang benar² peduli rakyat, bacalah ini. Bacalah, bukan cuman mlotot. https://t.co/BxGfaJB8mk;bang abang benar² peduli rakyat bacalah bacalah cuman mlotot
1595994175526227968;2022-11-25 04:13:58+00:00;Murdian09309315;@BeiKhiar @NuryaniAmy @Siantar72 @AgusYudhoyono @ElinaDio @SuhartiniTaurus @ekosepu49052970 @syaf_ml @ebe_ganzo @Gus_SyafML @SimbokeSarah @BatuKepla @mangunsong63 Wakakkakk ngangkang eh salah ketik. Ngakakk https://t.co/7miZqKGSqV;wakakkakk ngangkang eh salah ketik ngakakk
1595993596179943425;2022-11-25 04:11:40+00:00;SuhartiniTaurus;@Murdian09309315 @Siantar72 @NuryaniAmy @AgusYudhoyono @ElinaDio @BeiKhiar @ekosepu49052970 @syaf_ml @ebe_ganzo @Gus_SyafML @SimbokeSarah Taktik mas @AgusYudhoyono itu tdk menyentuh rakyat Indonesia sama sekali🙃😎;taktik mas tdk menyentuh rakyat indonesia sekali🙃😎
1595993428290334720;2022-11-25 04:11:00+00:00;BeiKhiar;@Murdian09309315 @NuryaniAmy @Siantar72 @AgusYudhoyono @ElinaDio @SuhartiniTaurus @ekosepu49052970 @syaf_ml @ebe_ganzo @Gus_SyafML @SimbokeSarah @BatuKepla @mangunsong63 https://t.co/1YLSwzkP5W;
1595993355615318016;2022-11-25 04:10:42+00:00;PDemokratjkt;"Terima kasih sudah menjadi guru yang selalu memberi inspirasi bagi kami untuk membawa kebaikan bagi sesama, bangsa dan negara. 

Jasamu tak terhingga, sehingga patut kami apresiasi, hargai dan kami kenang. 

Selamat #HariGuru Nasional 2022 
@AgusYudhoyono 
@RAMujiyono https://t.co/gLTL7JrRz0";terima kasih guru inspirasi membawa kebaikan bangsa negara jasamu terhingga patut apresiasi hargai kenang selamat nasional
1595993270395379713;2022-11-25 04:10:22+00:00;Murdian09309315;@BeiKhiar @NuryaniAmy @Siantar72 @AgusYudhoyono @ElinaDio @SuhartiniTaurus @ekosepu49052970 @syaf_ml @ebe_ganzo @Gus_SyafML @SimbokeSarah @BatuKepla @mangunsong63 Aku senyumin ajha ya @BeiKhiar https://t.co/0nZ2ZGrn5Y;senyumin ajha
1595993020196798464;2022-11-25 04:09:22+00:00;BeiKhiar;@Murdian09309315 @NuryaniAmy @Siantar72 @AgusYudhoyono @ElinaDio @SuhartiniTaurus @ekosepu49052970 @syaf_ml @ebe_ganzo @Gus_SyafML @SimbokeSarah @BatuKepla @mangunsong63 Yaelaaahhhh, Om @Murdian09309315 ... Namanya juga usaha !!! https://t.co/xnGYGWJ4hI;yaelaaahhhh om namanya usaha
1595992908406013952;2022-11-25 04:08:56+00:00;Bambang06304959;"@HeryIdris5 @MIrvanDarwin1 @AgusYudhoyono @Herzaky__MP @PDemokrat Presiden Cikeas bang....
🤣🤣";presiden cikeas bang 🤣🤣
1595992791028334592;2022-11-25 04:08:28+00:00;Bambang06304959;"@MIrvanDarwin1 @AgusYudhoyono @Herzaky__MP @PDemokrat Presiden Cikeas mungkin....
🤣🤣🤣";presiden cikeas 🤣🤣🤣
1595992376853815296;2022-11-25 04:06:49+00:00;RatihPu00462534;@ChusnulCh__ @YRadianto @panca66 @SBYudhoyono @AgusYudhoyono @PDemokrat Kok kasihan??? Kudune jongor!!!;kasihan kudune jongor
1595992156677689345;2022-11-25 04:05:56+00:00;Murdian09309315;@BatuKepla @Siantar72 @NuryaniAmy @AgusYudhoyono @ElinaDio @SuhartiniTaurus @BeiKhiar @ekosepu49052970 @syaf_ml @ebe_ganzo @Gus_SyafML @SimbokeSarah @mangunsong63 Nah kann mana nih suaranya sang lukusan lemhanas S3 @SisiwittFrida;kann nih suaranya sang lukusan lemhanas
1595992145038409728;2022-11-25 04:05:54+00:00;Cupidlucky2;@Trending_Issue @panca66 @AgusYudhoyono @aniesbaswedan Omigoootttt 😱😱😱😱😱😱😱😱😱😱😱😱😱😱🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈;omigoootttt 😱😱😱😱😱😱😱😱😱😱😱😱😱😱🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈
1595991745887539201;2022-11-25 04:04:18+00:00;K_Wartika;@yusuf_dumdum @PDemokrat @AgusYudhoyono @SBYudhoyono jangan biarkan kader gagap spt ini bikin komentar yg justru menjatuhkan patai demokrat. Gak mutu gitu!!! Kasian nama besar denokrat;biarkan kader gagap spt bikin komentar yg menjatuhkan patai demokrat gak mutu gitu kasian nama denokrat
1595991609656897538;2022-11-25 04:03:46+00:00;Bramaneks;@soen_cak @panca66 @AgusYudhoyono Ndase wonge wis dibentuk2no nang tembok ambek Agus cak, rodok njendel uteke...saiki wis kopyor😆;ndase wonge wis nang tembok ambek agus cak rodok njendel utekesaiki wis kopyor😆
1595991563183628289;2022-11-25 04:03:35+00:00;benny_asion9;@AdrianneSerlo @RomeoWalker19 @AgusYudhoyono @PDemokrat @panca66 Maklum sj lah sama setan satu ini...  Ga ada isi otaknya;maklum sj setan ga isi otaknya
