ID;Datetime;Username;Content;clean_text
1595997653355331584;2022-11-25 04:27:47+00:00;UjKomar;@Madebylaluna CC @aniesbaswedan 🤣🤣🤣🤣;cc 🤣🤣🤣🤣
1595997602855923712;2022-11-25 04:27:35+00:00;andizsss;"@Trending_Issue @panca66 @AgusYudhoyono @aniesbaswedan Salah satu kenapa Partainya nyungsep, karena pengkaderan anggotanya hanya ABS, dan pintar menjilat, bukan begitu @panca66 ?

Panja andieh😂😂😂";salah partainya nyungsep pengkaderan anggotanya abs pintar menjilat panja andieh😂😂😂
1595997411532382209;2022-11-25 04:26:49+00:00;AnthonyXaxier;@maximillian2008 @aniesbaswedan @NasDem @NasDem_sulteng1 Mukanya kayak taik;mukanya kayak taik
1595997356150820864;2022-11-25 04:26:36+00:00;carnatavanhout;@LaskarUmmat @Metro_TV @aniesbaswedan @KhofifahIP @ChusnulCh__ https://t.co/Nt0CdHzwBK;
1595997317458722816;2022-11-25 04:26:27+00:00;Markadina88;"@Metro_TV @aniesbaswedan @KhofifahIP Diselenggarakan sendiri
Peraihnya pilih sendiri
Diberitakan sendiri

Salam:

Ngakak berjamaah 🤣🤣🤣";diselenggarakan peraihnya pilih diberitakan ngakak berjamaah 🤣🤣🤣
1595997317265469440;2022-11-25 04:26:27+00:00;mochhanafi1964;"@Booldozer1 @Dennysiregar7 Prof Tjipta &amp; Fahri mmg sangat jitu ungkapannya. Ngapain takut terdaftat capres aja blom. Kalo pencuri barang bisa digebukin pencuri start kampanye dihujat terbukti @aniesbaswedan halalkan semua cara untuk ambisi dimana (agamis) Masjid dijadikan ajang politik ... Masya Allah";prof tjipta fahri mmg jitu ungkapannya ngapain takut terdaftat capres aja blom kalo pencuri barang digebukin pencuri start anye dihujat terbukti halalkan ambisi dimana agamis masjid dijadikan ajang politik masya allah
1595997290036334592;2022-11-25 04:26:20+00:00;JohnnyTheBoyyyy;@Metro_TV @aniesbaswedan @KhofifahIP Versi Bewok.;versi bewok
1595997275645366272;2022-11-25 04:26:17+00:00;AnthonyXaxier;@aniesbaswedan @NasDem @NasDem_sulteng1 GUOBLOK TOLOL BEGO https://t.co/eLeKNUUUFP;guoblok tolol bego
1595997203620712448;2022-11-25 04:26:00+00:00;titik_cahaya12;"@Metro_TV @aniesbaswedan @KhofifahIP akhirnya @Metro_TV jadi TV IDIOT pendukung gerombolan ANJING2 RABIES KHILAFUCK berSYARIAH

TV SAMPAH!";tv idiot pendukung gerombolan rabies khilafuck bersyariah tv ah
1595996978705362948;2022-11-25 04:25:06+00:00;212bowie;@eric1986ptk Saban hari narasinya negatif terus terhadap @aniesbaswedan.;saban narasinya negatif
1595996977405505537;2022-11-25 04:25:06+00:00;delliAmin;@Metro_TV @aniesbaswedan @KhofifahIP TV KADRUN....udah ketahuan kemana arahnya..MAU DONGKRAK ANIES...orang udah pada paham BEWOK LICIK..nggak bakalan ada hasilnya;tv kadrunudah ketahuan kemana arahnyamau dongkrak aniesorang udah paham bewok liciknggak hasilnya
1595996822287577088;2022-11-25 04:24:29+00:00;Markadina88;@Metro_TV @aniesbaswedan @KhofifahIP Wkwkwk yg adakan Metro TV, yg beritakan Metro TV;wkwkwk yg adakan metro tv yg beritakan metro tv
1595996809909874688;2022-11-25 04:24:26+00:00;SayasetiaNKRI;@aniesbaswedan @NasDem @NasDem_sulteng1 UDAH LAPORAN YA... ABIS NYA BERAPA 🤣🤣🤣🤣🤣🤣🤣 https://t.co/eV34HdDGGK;udah laporan abis 🤣🤣🤣🤣🤣🤣🤣
1595996784425259008;2022-11-25 04:24:20+00:00;ForeverNkri;@baroesy @aniesbaswedan @tvOneNews Bahasa kafir kau puja2 lucknut......!!!!!! 😂😂;bahasa kafir kau lucknut 😂😂
1595996783582511104;2022-11-25 04:24:20+00:00;FSuferryandi;@aniesbaswedan @NasDem Selain pengemis partai,rupanya pny jiwa pencuri..pencuri start kampanye..apa ga malu ya 😄😄 https://t.co/t8zo2uN44q;pengemis partairupanya pny jiwa pencuripencuri start anyeapa ga malu 😄😄
1595996728431644672;2022-11-25 04:24:06+00:00;IJimbonk;@Hasanudin500 @DokterTifa @aniesbaswedan Baru Memulai itu harus di apresiasi yg baik Bro..nggak mungkin langsung baju kurung ..;apresiasi yg bronggak baju kurung
1595996650845376514;2022-11-25 04:23:48+00:00;H4ppym4n16;@olvaholvah @Nilam_NSL @aniesbaswedan @NasDem Napsu amat😏;napsu amat😏
1595996623506591745;2022-11-25 04:23:41+00:00;OPPOSISINKRI;"@tasontong @Metro_TV @aniesbaswedan @KhofifahIP Ketauan lw bloon ga pernah baca berita ,klo e budgeting ga benar ya harus diberesin lah spya ga ada kecurangan dlm anggaran ntar kaya tanah milik pemprov sendiri tp dibeli sendiri 
https://t.co/0bVuYTCdGx";ketauan lw bloon ga baca berita klo budgeting ga diberesin spya ga kecurangan dlm anggaran ntar kaya tanah milik pemprov tp dibeli
1595996602073636864;2022-11-25 04:23:36+00:00;hp_arel;@imanmilmil7 @ManafeRobert @olvaholvah @Nilam_NSL @aniesbaswedan @NasDem Lha siapa yg ngaku2 presiden 😆😆😆 koplak;lha yg presiden 😆😆😆 koplak
1595996352475193346;2022-11-25 04:22:37+00:00;suhandy_soh;@Andiarief__ @aniesbaswedan Perasaan dari kemaren, makan2 melulu.;perasaan kemaren melulu
1595996283545669632;2022-11-25 04:22:20+00:00;Muhammadsabriqu;@BorneoMandau @aniesbaswedan @NasDem @NasDem_sulteng1 @jokowi Satu kata ..nakjis jadi pemimpin..dan tenggelamkan !;nakjis pemimpindan tenggelamkan
1595996260992897024;2022-11-25 04:22:15+00:00;Habibanana007;@aniesbaswedan @NasDem Kampanye terussssss !!!!!;anye terussssss
1595996119774830592;2022-11-25 04:21:41+00:00;andizsss;@gerinisk2 @NinoN1N0 @Metro_TV @aniesbaswedan @KhofifahIP Jadi inget Firza....betul ka Ema😂😂😂;inget firzabetul ka ema😂😂😂
1595996108840636417;2022-11-25 04:21:39+00:00;TmHasiholan;@UsniErlangga @bambang20020901 @ZRsaja @BlueSvoja8503 @AllenWa51704921 @el_Banasari @agung_milala @ermi_purba @POs3idOn_177 @Bubut871 @tengkuzainalar1 @AntonKu44233833 @Rasto66010876 @AgusRia74905035 @Dewishintasurya @BoediTomo19 @AgusSup39011241 @JohnVirgoVj @MasBejo98u @ABhungs @Cyberknight24 @alexblck @supri_prp @ronaldua1 @AdamZakars @hs_meliala @AgusSantaiAja @JulBayur3 @ArisMustamin2 @jembersolo @MNurhuda0209 @ThrashMetal16 @HudAbdullah10 @Srikandiindo1 @setyoprihandono @najatom26 @dnayza1212 @jenong26297101 @BUKAN_THANOS__ @JembatanMerah11 @AntiBangsatBgs @aniesbaswedan Kerja keraslah drun .. klo pendidikan minim ya jd pengusahalah;keraslah drun klo pendidikan minim jd pengusahalah
1595995999708725249;2022-11-25 04:21:13+00:00;Dragon215485736;@sr_ayam Om @aniesbaswedan Adalah gambaran seolah SANTUN tapi banyak MUSLIHAT... Iblis di gua hira juga begitu... Dannn ..berlanjut..🤓;om gambaran santun muslihat iblis gua hira dannn berlanjut🤓
1595995993061101568;2022-11-25 04:21:11+00:00;Ghepenk08933698;@smartman1971 @Mdy_Asmara1701 @aniesbaswedan Bhahahahahahahahahahahahahahaha;bhahahahahahahahahahahahahahaha
1595995881345789954;2022-11-25 04:20:44+00:00;BBerizik;@MrPitulo @bege_52 @aniesbaswedan @ganjarpranowo Ulama kadrun https://t.co/i55H3ACkZw;ulama kadrun
1595995831307358208;2022-11-25 04:20:33+00:00;OPPOSISINKRI;Hebat euy pak @aniesbaswedan https://t.co/isR6MUrtfP https://t.co/vmLWFiTIR9;hebat euy
1595995798457966593;2022-11-25 04:20:25+00:00;sumehbangets;@aniesbaswedan @anwaribrahim semoga tidak meniru cara mantan gubernur dki yang hanya pintar main kata malah menghancurkan kotanya 😅😅😅;semoga meniru mantan gubernur dki pintar main menghancurkan kotanya 😅😅😅
1595995789066588160;2022-11-25 04:20:22+00:00;titik_cahaya12;"@RinjaniJB hei BERUK YAMAN @aniesbaswedan !
SIAPA KAU..?? PEDE SEKALI KAU??
SOK PENTING!

DASAR MONYET!";hei beruk yaman kau pede kau sok dasar monyet
1595995739724730368;2022-11-25 04:20:11+00:00;doktrinplasu;@lubis_punk @aniesbaswedan @anwaribrahim Enek suworo kentut;enek suworo kentut
1595995701397585920;2022-11-25 04:20:02+00:00;rusAMQ;@democrazymedia Baguslah hasil kerja @aniesbaswedan di pretelin pak heru budi,lgian hsil kerja @aniesbaswedan bnyk yg kontroversi,jln buat sepeda di jdkan parkir mobil bikin penyempitan jln aja;baguslah hasil pretelin heru budilgian hsil bnyk yg kontroversijln sepeda jdkan parkir mobil bikin penyempitan jln aja
1595995676072382465;2022-11-25 04:19:55+00:00;aiz_haryanto;@Metro_TV @aniesbaswedan @KhofifahIP Ga perlu dibahas....kau poles sprt apapun,FPI dan HTI yg untung;ga dibahaskau poles sprt apapunfpi hti yg untung
1595995455652909056;2022-11-25 04:19:03+00:00;maximillian2008;@aniesbaswedan @NasDem @NasDem_sulteng1 https://t.co/ayBuIL5HMS;
1595995356730658816;2022-11-25 04:18:39+00:00;Joxs56903272;@Rasambahyar1 @Ayanazahwa1 @coba_dipikir @Metro_TV @aniesbaswedan @KhofifahIP Jangan lupa sindiran menteri PUPR ke anis penanganan banjir yang ngga di kerjain hingga kena denda dari pengadilan...;lupa sindiran menteri pupr anis penanganan banjir ngga kerjain denda pengadilan
1595995338015354886;2022-11-25 04:18:35+00:00;peniti_meniti;"Pemerintah @KPU_ID harus menghentikan kegiatan kampanye capres @NasDem &amp; @aniesbaswedan , sangat jelas ini mencuri start kampanye.
Dan ini merupakan salah satu bentuk pemberontakan sekelompok oligarki yg merusak tatanan demokrasi negeri ini.
@jokowi
@ListyoSigitP
@mohmahfudmd";pemerintah menghentikan kegiatan anye capres mencuri start anye salah bentuk pemberontakan sekelompok oligarki yg merusak tatanan demokrasi negeri
1595995296332677120;2022-11-25 04:18:25+00:00;PresetyoTeguh;@aniesbaswedan @NasDem Sabar pak anis blm saatnya berkampanye,jgn terlalu ambisi;sabar anis blm berk anyejgn ambisi
1595995220713537537;2022-11-25 04:18:07+00:00;chandra_6813;@HelmiFelis_ Janji @aniesbaswedan??? https://t.co/IeW57pgrQp;janji
1595995176224591873;2022-11-25 04:17:56+00:00;sidhiezra;"@baroesy @aniesbaswedan @tvOneNews Fux.. ra butuh sing pinter boso londho
Butuh sing perhatian karo rakyate";fux ra butuh sing pinter boso londho butuh sing perhatian karo rakyate
1595995098101469185;2022-11-25 04:17:38+00:00;marbun_pm;@yashudha_naka Jejak kebrutalan @aniesbaswedan dlm pilkada tdk aka terhapus dr memory publik.. walaupun cb kalian hapus dgn sekuat selangkangan. https://t.co/q3VYzMOPna;jejak kebrutalan dlm pilkada tdk aka terhapus dr memory publik cb hapus dgn sekuat selangkangan
1595995092317507584;2022-11-25 04:17:36+00:00;HallOfHoaks;❗️HOAKS #23❗️ Pernyataan @AgustiHilary yang menyebutkan Pemprov @DKIJakarta (di masa kepemimpinan Pak @aniesbaswedan ) mengalihkan anggaran penanganan banjir Jakarta senilai Rp 160 M untuk membebaskan Imam Besar Front Pembela Islam ( FPI ) Habib Rizieq Shihab adalah HOAKS❗️ https://t.co/w2ZTiIZS72;❗️hoaks ❗️ pernyataan pemprov kepemimpinan mengalihkan anggaran penanganan banjir jakarta senilai rp membebaskan imam front pembela islam fpi habib rizieq shihab hoaks❗️
1595995070305828864;2022-11-25 04:17:31+00:00;ekosutrisno_;@Metro_TV @aniesbaswedan @KhofifahIP 🤣;🤣
1595994865900617729;2022-11-25 04:16:42+00:00;MelayuSejahtera;"@Metro_TV @aniesbaswedan @KhofifahIP kok junjunganmu tak ada mas bong @ChusnulCh__ ?? kan bisa saja kategori ""mengumbar nonton film bokep""";junjunganmu mas bong kategori mengumbar nonton film bokep
1595994821591961600;2022-11-25 04:16:32+00:00;Syapran_s;Bagi Muslim Hari Jum'at itu hari besar, penuh berkah dan Rahmat, Selamat Hari Jum'at, saya hanya bantu sampaikan pesan @aniesbaswedan untuk generasi muda, semoga bermanfaat https://t.co/MTAhUILzQL;muslim jumat penuh berkah rahmat selamat jumat bantu aikan pesan generasi muda semoga bermanfaat
1595994799089528833;2022-11-25 04:16:26+00:00;Trieszeguet;"@SalimLaw1 @Amruamum @ShamsiAli2 @aniesbaswedan @mohmahfudmd atau yg ini ; https://t.co/YDUxKLUS2b";yg
1595994664217501697;2022-11-25 04:15:54+00:00;ORakyat4;"@OposisiCerdas Nasib rakyat terutama umat islam di negeri terjajah... 
@SBYudhoyono @Nurmantyo_Gatot @RamliRizal @msaid_didu @aniesbaswedan  @mediaindonesia @suaraislam_id @republikaonline https://t.co/E47ry70hnu";nasib rakyat umat islam negeri terjajah
1595994624903942144;2022-11-25 04:15:45+00:00;erna_cherdiaty;@aniesbaswedan @NasDem @NasDem_sulteng1 klo pak Anies is the best…cebong komen sambil nangis bakalan gak dpt duit 2024🤣🤣🤣;klo anies is the best…cebong komen nangis gak dpt duit 🤣🤣🤣
1595994472428367872;2022-11-25 04:15:09+00:00;EGP73897132;@Metro_TV @aniesbaswedan @KhofifahIP https://t.co/wWe3wZRZoP;
1595994432444452864;2022-11-25 04:14:59+00:00;addin650_;"@Metro_TV @aniesbaswedan @KhofifahIP Ambil sisi positifnya, walaupun elektabilitas partai turun, tapi medianya naik karena no more ""metrotipu"" 🙂";ambil sisi positifnya elektabilitas partai turun medianya no more metrotipu 🙂
1595994315867971584;2022-11-25 04:14:31+00:00;MrPitulo;"@bege_52 @BBerizik @aniesbaswedan @ganjarpranowo Ada yang bilang penghargaan ayat mayat, biar dia tidak dongok kita paparkan video nya.
@ganjarpranowo dapat penghargaan...😁😁😁, Biar dia senang...!!!🐸🐕😅😂🤣😭😁😁 https://t.co/qDWEaZmlPt";bilang penghargaan ayat mayat biar dongok paparkan video penghargaan😁😁😁 biar senang🐸🐕😅😂🤣😭😁😁
1595994141447421952;2022-11-25 04:13:50+00:00;Cahyono_100;@HallOfHoaks @ruhutsitompul @jakprogroup @aniesbaswedan Aku pingin lihat dia melaksanakan nazar, potong kuping. Klo gak berani.......;pingin melaksanakan nazar potong kuping klo gak berani
1595994123705602049;2022-11-25 04:13:45+00:00;setiyo_welly;@aniesbaswedan @NasDem @NasDem_sulteng1 Goblok ngapain ke palu kalo mau pencitraan, mestinya ke cianjur biar dikira peduli dong? lagian sampe September th depan gak bakal ada copas capres nies, masih aja goblok kau ini.;goblok ngapain palu kalo pencitraan mestinya cianjur biar peduli september th gak copas capres nies aja goblok kau
1595994078751358976;2022-11-25 04:13:35+00:00;chep_ec;@aniesbaswedan Berita lamaygmadih enak dibaca2....wajar rame... https://t.co/SgYTFB4uwD;berita lamaygmadih rame
1595994065484451841;2022-11-25 04:13:32+00:00;Metdro2;"@RinjaniJB @SantorinisSun Anak SD pun bisa edit yg 
Gituan nis @aniesbaswedan kenal 
Jg kagak sok kenal hhhhh https://t.co/FG3chTqsw6";anak sd edit yg gituan nis kenal jg kagak sok kenal hhhhh
1595994062091231233;2022-11-25 04:13:31+00:00;Noorjamet;@aniesbaswedan @anwaribrahim Sudah merasa presiden ya ,, ga malu ?;presiden ga malu
1595994002314051585;2022-11-25 04:13:16+00:00;Purw99820924Eko;@Metro_TV @aniesbaswedan @KhofifahIP Modus beri penghargaan titipan SP..sayang banget media seperti metro tv cuma dipakai untuk kepentingan politik NasDem..ganti aja jadi NasDem TV;modus penghargaan titipan spsayang banget media metro tv dipakai kepentingan politik nasdemganti aja nasdem tv
1595993987625914368;2022-11-25 04:13:13+00:00;5f2a6b1becca45c;@Metro_TV @aniesbaswedan @KhofifahIP Kurang bisa dipercaya;dipercaya
1595993846407901184;2022-11-25 04:12:39+00:00;chep_ec;@aniesbaswedan @NasDem @NasDem_sulteng1 Berita lama enak dibaca, wajar rame...🤣🤣 https://t.co/lekSxxEhOD;berita dibaca wajar rame🤣🤣
1595993725250850816;2022-11-25 04:12:10+00:00;Phothel1;@olvaholvah @Nilam_NSL @aniesbaswedan @NasDem Akhirnya ngumpul jd satu dg gerombolannya 🤭🤭🤭;ngumpul jd dg gerombolannya 🤭🤭🤭
1595993719441788929;2022-11-25 04:12:09+00:00;streetlawyers85;"ANDAIKAN proyek ini dikerjakan @aniesbaswedan tentu Jakarta sdh lama terbebas dr banjir.

berlanjut normalisasi &amp; sodetan kali ciliwung bor raksasa pelubang tunel... https://t.co/4HrXRycwfB lewat @YouTube";andaikan proyek jakarta sdh terbebas dr banjir berlanjut normalisasi sodetan ciliwung bor raksasa pelubang tunel
1595993536243326976;2022-11-25 04:11:25+00:00;PresetyoTeguh;@DokterTifa @aniesbaswedan Panutan indonesia kata lho,epretttt;panutan indonesia lhoepretttt
1595993065319444481;2022-11-25 04:09:33+00:00;papanono10;@Metro_TV @aniesbaswedan @KhofifahIP diselenggarakan oleh ... ... https://t.co/c1JaDqZO7D;diselenggarakan
1595992992615366658;2022-11-25 04:09:16+00:00;iwan_gitulo;@aniesbaswedan @NasDem @NasDem_sulteng1 Acara Ini kampanye untuk pilpres 2022 ya?;acara anye pilpres
