ID;Datetime;Username;Content;clean_text
1595996867602845696;2022-11-25 04:24:40+00:00;kominfo_jtg;"Selamat ulang tahun Ibu Siti Atikoh @ganjarpranowo 
Semoga panjang umur, sehat, bahagia serta berkah sepanjang usia 😇 aamiin. https://t.co/7bW08LPloS";selamat ulang tahun siti atikoh semoga umur sehat bahagia berkah usia 😇 aamiin
1595996641454362624;2022-11-25 04:23:46+00:00;marv3llll;@RestyYa1 @ganjarpranowo @erickthohir @denni_sauya @seruanhl @twuicei Pasangan ideal 👍;pasangan ideal 👍
1595996476458401792;2022-11-25 04:23:06+00:00;pengarang_sajak;@SyafrilAlam @jokowi @gibran_tweet @ganjarpranowo Kadroenz itu manusia tholol yg maki sana maki sini cm modal congor..;kadroenz manusia tholol yg maki maki cm modal congor
1595996335945109505;2022-11-25 04:22:33+00:00;aries_bintan;@Uki23 Berarti elo tolak @ganjarpranowo  dong ki? https://t.co/wJd2A2jnnh;elo tolak ki
1595996051793924098;2022-11-25 04:21:25+00:00;Cahyo13Sigit;@ganjarpranowo @ganjarpranowo mohon bantuan pehatiannya terima kasih .. https://t.co/SxoUQIMTv6;bantuan pehatiannya terima kasih
1595995881345789954;2022-11-25 04:20:44+00:00;BBerizik;@MrPitulo @bege_52 @aniesbaswedan @ganjarpranowo Ulama kadrun https://t.co/i55H3ACkZw;ulama kadrun
1595995643654569985;2022-11-25 04:19:48+00:00;Cahyo13Sigit;@ganjarpranowo Mohon bantuan dan perhatiannya bpk ganjar...@ganjarpranowo https://t.co/J0MW8UW0wP;bantuan perhatiannya bpk ganjar
1595995538021036032;2022-11-25 04:19:23+00:00;ChebonxInsyaf;"@ganjarpranowo Ngapain loe ngurusin daerah lain? 
Daerah sendiri aja masih kacau balau, miskin, upah rendah..";ngapain loe ngurusin daerah daerah aja kacau balau miskin upah rendah
1595995357397549056;2022-11-25 04:18:40+00:00;aries_bintan;"@M45Broo Pendukung ganjar ya? 

bagus nih kalo belio kita juluki bapak politik rasisme, 
mau gak njar @ganjarpranowo ? 
:D";pendukung ganjar bagus nih kalo belio juluki politik rasisme gak njar
1595995330902126592;2022-11-25 04:18:33+00:00;doktrinplasu;"@INDONESIAPERKA2 @gibran_tweet @dennysirregar7 
@FerdinandHutah6 
@ganjarpranowo 
@mohmahfudmd";
