ID;Datetime;Username;Content;clean_text
1595996185684168704;2022-11-25 04:21:57+00:00;tambuntambun20;@Gerindra @prabowo https://t.co/Ub7xhBnv4Q;
1595996160824864769;2022-11-25 04:21:51+00:00;alanzhoo;@pangeransiahaan @prabowo Capres dan Cawapres 2024;capres cawapres
1595995644904509440;2022-11-25 04:19:48+00:00;rameeezt_;Pada @prabowo kita belajar banyak hal. Selain keihklasan dan kesabaran. Beliau juga memiliki moral dan loyalitas besar...sehat dan panjang umur pak! https://t.co/KCkrb8uBkR;belajar keihklasan kesabaran beliau memiliki moral loyalitas besarsehat umur
1595994937287315456;2022-11-25 04:16:59+00:00;khadnezzarjr;"Sumpah Pemuda.
Late Post.
❤️❤️❤️
#harigurunasional2022 #HariGuru @jokowi @susipudjiastuti @prabowo https://t.co/xfOCr0KM9D";sumpah pemuda late post ❤️❤️❤️
1595994860460576768;2022-11-25 04:16:41+00:00;sobat_ember;@TxtdariHI Piye bor??? Jangan ngemeng YNTKTS lho!!! @jokowi @binofficial_ri @prabowo cc mimin @Gerindra;piye bor ngemeng yntkts lho cc mimin
1595994425565401088;2022-11-25 04:14:57+00:00;Eko313okE;"@prabowo Bapak Prabowo pun perlu menjaga kesehatan dan keterangan dalam menjalani aktivitas sosial kemanusiaan yang padat.
God Allah bless you";prabowo menjaga kesehatan keterangan menjalani aktivitas sosial kemanusiaan padat god allah bless you
1595993779374546944;2022-11-25 04:12:23+00:00;gesmawati;@prabowo Sebaiknya Prabowo berpasangan dengan Ganjar agar menang telak 89 persen ,yang pada gilirannya Anis akan nyungsep.yang hanya mendapatkan 10 persen, dan 9 persen tidak memilih.itu adalah prediksi primbon Jawa.;prabowo berpasangan ganjar menang telak persen gilirannya anis nyungsepyang persen persen memilihitu prediksi primbon jawa
1595993342785249281;2022-11-25 04:10:39+00:00;Ipinmuach;"@prabowo @Gerindra انا لله وانا ليه را جعون
turut berduka cita atas musibah gempa di cianjur semoga segera mendapat bantuan dari pihak terkait ataupun dari pemerintah";انا لله وانا ليه را جعون berduka cita musibah gempa cianjur semoga bantuan terkait pemerintah
1595993337068077056;2022-11-25 04:10:38+00:00;RenaldiCicko;Komisi I DPR, @jokowi , @Prabowo, @Kemhan_RI, semuanya tau klo KSAD Dudung tak ada prestasi. Mulutnya saja yg besar, teriak2 merasa bangga udah nurunin baliho FPI (ormas yg sudah dibubarkan). Nih org, jgn dipilih jg jd WAKIL PANGLIMA. Klo bisa, dipecat aja dari KSAD ! https://t.co/UXGh5xVa4M;komisi dpr tau klo ksad dudung prestasi mulutnya yg bangga udah nurunin baliho fpi ormas yg dibubarkan nih org jgn dipilih jg jd wakil panglima klo dipecat aja ksad
1595992728374239232;2022-11-25 04:08:13+00:00;Ipinmuach;@prabowo Semoga dapat menjalin hubungan kerjasama bilateral yg harmonis saling menguntungkan yg dapat membawa negara Indonesia kearah yg lebih baik yang lebih maju;semoga menjalin hubungan kerjasama bilateral yg harmonis menguntungkan yg membawa negara indonesia kearah yg maju
1595992678055149571;2022-11-25 04:08:01+00:00;tambuntambun20;@prabowo @Gerindra Sekelas menhan cuitanya spr ni😂;sekelas menhan cuitanya spr ni😂
1595992204316508160;2022-11-25 04:06:08+00:00;gesmawati;@prabowo Hanya Prabowo yang peduli dengan rakyat kena musibah,kalo anis tidak peduli dengan rakyat ,karena Anis seperti raja yang hanya merepotkan rakyatnya. Maka di himbau seluruh rakyat Indonesia hati hati memilih anis.karena dia tidak pinter kerja tapi hanya pinter kata kata.;prabowo peduli rakyat musibahkalo anis peduli rakyat anis raja merepotkan rakyatnya himbau rakyat indonesia hati hati memilih aniskarena pinter pinter
1595992084158509056;2022-11-25 04:05:39+00:00;ai_hathaway;Spirit tuk bapak capres kesekian kali @prabowo Jaya.. Jaya..Jaya!! https://t.co/uka3nlXszi;spirit tuk capres kesekian jaya jayajaya
