ID;Datetime;Username;Content;clean_text
1595997967621967877;2022-11-25 04:29:02+00:00;feby_christina;"Mantap kang 
@ridwankamil
 #bersamajuara https://t.co/5DHbZ0INA9";mantap kang
1595997937615523840;2022-11-25 04:28:55+00:00;feby_christina;@RianajahRian Mantap kang @ridwankamil #bersamajuara;mantap kang
1595997866329153536;2022-11-25 04:28:38+00:00;EvanSuhendro;@ridwankamil Luar biasa;
1595997789670236162;2022-11-25 04:28:19+00:00;aslamnatsir;@Bamdros_ @ridwankamil Check lagi Video dari pak Gubernur sampai akhir  yang malak ini juga sama minta maaf;check video gubernur ai malak maaf
1595997496278364160;2022-11-25 04:27:09+00:00;aslamnatsir;@AndRohim @ridwankamil @ferrykoto Comen anda diatas aja udah ga ada etika kok ngomongin etika,empatinya juga ga ada .Miris;comen diatas aja udah ga etika ngomongin etikaempatinya ga miris
1595997228275232768;2022-11-25 04:26:06+00:00;BogdanoffReal;@ridwankamil Sok inget lalakon baladewa uji coba nengala. Aya buta2 megat bantuan;sok inget lalakon baladewa uji coba nengala aya megat bantuan
1595997170700017665;2022-11-25 04:25:52+00:00;AimanJudakusum1;"@ManafSamuel @MamiaAja @8_FERRY_8 @NgkongRoses @jokowi @ridwankamil @BNPB_Indonesia @KemenkesRI @PBIDI @KSPgoid @YRadianto hehe....ala2 mandor kebun jaman walanda
😁";mandor kebun jaman walanda 😁
1595996256421048321;2022-11-25 04:22:14+00:00;Koko_Jokos;@RidwanSaputrra @Nur_zaman16 @Hanif_Az19 @ridwankamil Jangan sotoy mas jembatan ini mah di buat pengusaha ya tinggal pengusaha ny mau tarifin brapa, yg lewat aja ga ngeluh karna emang brguna bgd haha;sotoy mas jembatan mah pengusaha tinggal pengusaha ny tarifin brapa yg aja ga ngeluh karna emang brguna bgd haha
1595996061843173376;2022-11-25 04:21:27+00:00;AndRohim;@aslamnatsir @ridwankamil @ferrykoto Siap nak trimash atas adabmu .klo sy nyinyirpyn msh menjaga etika kok ya 😀;nak trimash adabmu klo sy nyinyirpyn msh menjaga etika 😀
1595995861733212166;2022-11-25 04:20:40+00:00;RK_JabarJuara;"#rkjabarjuara #jabarjuara #indonesiajuara #rkjabar #ridwankamil #kangemil #jawabarat #jabar #JabarMasagi #HariGuru #PGRI #HariGuruNasional

@ridwankamil";
1595995860332335105;2022-11-25 04:20:39+00:00;GunaMahdani;@ridwankamil Semoga aja bencana ini tidak kian berlanjut,,dan memjadi wilayah yang maju dan makmur;semoga aja bencana kian berlanjutdan memjadi wilayah maju makmur
1595995858801070080;2022-11-25 04:20:39+00:00;RK_JabarJuara;@ridwankamil https://t.co/3thd7HYoz9;
1595995845056307200;2022-11-25 04:20:36+00:00;RK_JabarJuara;"Guru adalah pahlawan tanpa tanda jasa yang senantiasa selalu membimbing dan mengajarkan kita pada kebaikan. Orang tua kedua kita di sekolah.

Selamat Hari Guru untuk para guru se Indonesia!

@ridwankamil https://t.co/PpklWWXaMP";guru pahlawan tanda jasa senantiasa membimbing mengajarkan kebaikan tua sekolah selamat guru guru indonesia
1595995529418534912;2022-11-25 04:19:21+00:00;reza_granesha28;@ridwankamil dikircon itu truck2 yg lagi bangun rell baru juga d pintain, ntah warga biasa atau ormas;dikircon yg bangun rell pintain ntah warga ormas
1595995429392379904;2022-11-25 04:18:57+00:00;adalutfiaja;"@ridwankamil @jokowi Doa terbaik buat saudara q...
Cianjur dan sekitarnya..
Smoga Allah SWT memberikan kemudahan kesehatan dan keselamatan utk korban jiwa akibat gempa...
Ttp semangat ya...";doa terbaik saudara cianjur smoga allah swt kemudahan kesehatan keselamatan utk korban jiwa akibat gempa ttp semangat
1595995280532721665;2022-11-25 04:18:21+00:00;Ezzd6;@RidwanSaputrra @Nur_zaman16 @Hanif_Az19 @ridwankamil Jembatan perahu ini setahu saya bukan dibikin/dikelola  oleh pemerintah.;jembatan perahu setahu dibikindikelola pemerintah
1595995165541683201;2022-11-25 04:17:54+00:00;ayi_ayiujang;@ridwankamil Ulah kitu atuh euy, dosa jeung ngerakeun urang.;ulah kitu atuh euy dosa jeung ngerakeun urang
1595995140115398656;2022-11-25 04:17:48+00:00;searching_le;@hanipahafsa_ @panjidanumaya @ridwankamil dalam keadaan seperti ini memang masih sempat untuk mendapatkan surat dari rt/rw?;surat rtrw
1595995125192462337;2022-11-25 04:17:44+00:00;aslamnatsir;@AndRohim @ridwankamil @ferrykoto Pak kalau udah tua banyakin ibadah bukannya banyakin nyinyir;udah tua banyakin ibadah banyakin nyinyir
1595995062525374464;2022-11-25 04:17:29+00:00;asep24942597;@ManafSamuel @AimanJudakusum1 @8_FERRY_8 @NgkongRoses @jokowi @ridwankamil @BNPB_Indonesia @KemensosRI @KemenkesRI @PBIDI @KSPgoid @MamiaAja @YRadianto mari dukung pak @ridwankamil jadi presiden 2024 💪💪;mari dukung presiden 💪💪
1595994775211343874;2022-11-25 04:16:21+00:00;ebe_ganzo;"@handriwahyudi77 @sigitwid @Kemdikbud_RI @KPAI_official @DPRDKotaDepok @ridwankamil @mohmahfudmd @jokowi Ini hasil otonomi daerah wewenang urusan SD &amp; SMP ada di kepala daerah sehingga Pemprof dan Pempus tdk bisa langsung eksekusi permasalah seperti ini";hasil otonomi daerah wewenang urusan sd smp kepala daerah pemprof pempus tdk eksekusi permasalah
1595994627412148224;2022-11-25 04:15:45+00:00;aslamnatsir;@ManafSamuel @ridwankamil @jokowi Tos ulah ngabacot hungkul , Rujit;tos ulah ngabacot hungkul rujit
1595994594503581696;2022-11-25 04:15:38+00:00;AndRohim;@ridwankamil @ferrykoto Maaf no komen ini bukanya di wakanda sih pak ya😀;maaf no komen bukanya wakanda sih ya😀
1595994498898997248;2022-11-25 04:15:15+00:00;nana74716384;@siska16284484 @ManafSamuel @AimanJudakusum1 @8_FERRY_8 @NgkongRoses @jokowi @ridwankamil @BNPB_Indonesia @KemensosRI @KemenkesRI @PBIDI @KSPgoid @MamiaAja @YRadianto ia pak @ridwankamil nginep 2 hari;nginep
1595994392476540928;2022-11-25 04:14:49+00:00;aslamnatsir;Yang tidak berkepentingan lebih baik tidak masuk lokasi yg terdampak gempa Cianjur pak @ridwankamil akses jalan jadi macet utk petugas dan relawan. Mari sama-sama  berempati dengan berbagai cara baik tenaga moril maupun materil dan do'a dari kejauhan. #PrayForCianjur https://t.co/mZj38oCN6D;berkepentingan lokasi yg terd ak gempa cianjur akses jalan macet utk petugas relawan mari samasama berempati tenaga moril materil doa kejauhan
1595994362789306368;2022-11-25 04:14:42+00:00;Ngadinopanser;@SAMMONIN @sigitwid @Kemdikbud_RI @KPAI_official @DPRDKotaDepok @ridwankamil Ironisnya ada yang lebih seneng sholat di jalan ngaji di trotoar 😭😭;ironisnya seneng sholat jalan ngaji trotoar 😭😭
1595994058286977024;2022-11-25 04:13:30+00:00;aslamnatsir;@ridwankamil Yang tidak berkepentingan lebih baik tidak masuk lokasi yg terdampak gempa Cianjur pak @ridwankamil akses jalan jadi macet utk petugas dan relawan. Mari sama-sama  berempati dengan berbagai cara baik tenaga moril maupun materil dan do'a dari kejauhan. #PrayForCianjur;berkepentingan lokasi yg terd ak gempa cianjur akses jalan macet utk petugas relawan mari samasama berempati tenaga moril materil doa kejauhan
1595994027995774976;2022-11-25 04:13:23+00:00;hanipahafsa_;@panjidanumaya @ridwankamil bukan ga sampai, hanya kalo lewat pemerintah daerah yg mau ambil bantuannya harus bawa surat dri rt/rw dengan cap desa, sedangkan tidak semua rt/rw dan pemerintah desanya aktif, jadi susah;ga ai kalo pemerintah daerah yg ambil bantuannya bawa surat dri rtrw cap desa rtrw pemerintah desanya aktif susah
1595993900875124736;2022-11-25 04:12:52+00:00;KangDickyAjah;@JafYaya2150 @ridwankamil @dprdjawabarat @Verraagustian_ @KaredokLeunca__ @Sundakiwari1 @OmDickyajah @kangdede78 @YRadianto @AnsorMaja @rieke_diah @cagubnyinyir2 Euleuh eta barudak inisiatif sorangan sabari euweuh guru na;euleuh eta barudak inisiatif sorangan sabari euweuh guru na
1595993716376100866;2022-11-25 04:12:08+00:00;siska16284484;@ManafSamuel @AimanJudakusum1 @8_FERRY_8 @NgkongRoses @jokowi @ridwankamil @BNPB_Indonesia @KemensosRI @KemenkesRI @PBIDI @KSPgoid @MamiaAja @YRadianto yng di lakukan pak @ridwankamil sudah sangat tepat beliou ada di lapan beberapa jam jam stelelah musibah terjadi pak jok satu hari setelah nya baru datang itu pun cuma beberapa jam,;yng lakukan beliou lapan jam jam stelelah musibah jok jam
1595993638957625344;2022-11-25 04:11:50+00:00;SAMMONIN;@sigitwid @Kemdikbud_RI @KPAI_official @DPRDKotaDepok @ridwankamil Menyedihkan 😭😭😭;menyedihkan 😭😭😭
1595993514613297152;2022-11-25 04:11:20+00:00;prasetya2233;@rihandaulah @ridwankamil Suka melebar ke orang lain nih model akun @rihandaulah, mirip umpan bola aja. Woyy😂;suka melebar nih model akun umpan bola aja woyy😂
1595993245448040449;2022-11-25 04:10:16+00:00;RidwanSaputrra;"@Nur_zaman16 @Hanif_Az19 @ridwankamil Gausah jauh2 bro,
Jembatan perahu aja setiap lewat diminta 2ribu,
Naha kunaon teu nyieun jembatan anu pageuh dan gratis?, itu kan buat sarana transportasi publik,
Bener ga? https://t.co/fkZzvykXhu";gausah bro jembatan perahu aja naha kunaon teu nyieun jembatan anu pageuh gratis sarana transportasi publik bener ga
1595993023770681345;2022-11-25 04:09:23+00:00;RaffaBabang;@ridwankamil Ga habis pikir sama orang seperti itu,saya ngerti kalian juga perlu bantuan tp kan apa2 harus ada kordinasi biar terukur tepat sasaran.;ga habis pikir itusaya ngerti bantuan tp kordinasi biar terukur sasaran
1595992901515096064;2022-11-25 04:08:54+00:00;hamdandianto;"@ridwankamil Izin bertanya pak
Apakah biaya pendidikan untuk Sekolah Dasar gratis?
Apakah Buku Paket tidak termasuk didalamnya?
Bagaimana jika murid diminta utk membeli Buku Paket dengan alasan Kurikulum baru?
Jika gratis, lantas kenapa Buku Paket tersebut masih diperjualbelikan?";izin biaya pendidikan sekolah dasar gratis buku paket didalamnya murid utk membeli buku paket alasan kurikulum gratis lantas buku paket diperjualbelikan
1595992720249847808;2022-11-25 04:08:11+00:00;a_virgonia;"Dalam kesempatan itu @ridwankamil mengatakan Jabar mendapatkan apresiasi dari Kemendikbudristek terkait 3 program Merdeka Belajar,yaitu literasi,numerasi &amp; karakter.Khususnya poin karakter,penerapan di Jabar dinilai sangat siap.
https://t.co/VaXSMXJTOc";kesempatan jabar apresiasi kemendikbudristek terkait program merdeka belajaryaitu literasinumerasi karakterkhususnya poin karakterpenerapan jabar dinilai
1595992629363507202;2022-11-25 04:07:49+00:00;ORakyat4;"@HambaAllah_411 Duh kok  masih ada aja orang-orang macam itu di setiap bencana ya??? 
@ListyoSigitP @DivHumas_Polri @humaspoldajbr @kodam3siliwangi @jabarprovgoid @ridwankamil @PemkabCianjur @suaraislam_id @pikiran_rakyat @republikaonline";duh aja orangorang bencana
1595992382419259392;2022-11-25 04:06:50+00:00;Jarwo94504889;orang stres modal bacot daong ini bantu kagak!👎👎👎 lebih ok pak @ridwankamil ke mana2. https://t.co/VWU5IBTwH1;stres modal bacot daong bantu kagak👎👎👎 ok
1595992367328555008;2022-11-25 04:06:47+00:00;edhi_shi;"@widarto63285827 @ridwankamil @PemprovJabar @PemdaCianjur @Poldajabar @SPKT_POLDAJABAR @PolresCianjur Pungli itu bukan?
Kok seakan aparat keamanan tak ada giginya.
Gimana sih @DivHumas_Polri @Puspen_TNI @ListyoSigitP kok ada yg spt ini seakan dibiarkan tanpa sangsi.
Tangkap dan hukum berat.";pungli seakan aparat keamanan giginya gimana sih yg spt seakan dibiarkan sangsi tangkap hukum berat
1595992364429979649;2022-11-25 04:06:46+00:00;a_virgonia;"Dengan pendidikan Jabar Masagi,Gubernur Jawa Barat @ridwankamil berharap bisa memperkuat karakter anak didik berdasarkan tiga irisan budaya yang hadir di Jabar. 
Jabar Masagi pun telah mendapatkan apresiasi dari Pemerintah Pusat dan akan direplikasi secara nasional. https://t.co/6rTmDboIm3";pendidikan jabar masagigubernur jawa barat berharap memperkuat karakter anak didik berdasarkan irisan budaya hadir jabar jabar masagi apresiasi pemerintah pusat direplikasi nasional
1595992155147100166;2022-11-25 04:05:56+00:00;sundakeras98;@ridwankamil kampung cugenang kampung saya , 50 meter dari rumah ,area ini sepertinya harus direlokasi pak gubernur https://t.co/p4a69KgXCB;ung cugenang ung meter rumah area direlokasi gubernur
1595992044744642560;2022-11-25 04:05:30+00:00;a_virgonia;"Gubernur Jawa Barat @ridwankamil  menghadiri Peresmian Tugu Sekolah Model Profil Pelajar Pancasila Jabar Masagi dan Festival Praktik Baik Tempat Kearifan dan Potensi Lokal “Niti Bukti"" Sakola Masagi dari Jawa Barat Untuk Indonesia"" di SMA Negeri 25,Kota Bandung,Kamis (24/11/2022. https://t.co/zmxlA8T4aH";gubernur jawa barat menghadiri peresmian tugu sekolah model profil pelajar pancasila jabar masagi festival praktik kearifan potensi lokal “niti bukti sakola masagi jawa barat indonesia sma negeri bandungkamis
1595991904033726464;2022-11-25 04:04:56+00:00;gs_juge;@ridwankamil Orang mau ngasih bantuan. Malah dipalak. Hadeh. Sungguh meresahkan.;ngasih bantuan dipalak hadeh sungguh meresahkan
1595991652333924353;2022-11-25 04:03:56+00:00;a_virgonia;"""Sesungguhnya ini semua adalah jalan dari Allah,saya hanya berdoa di manapun Allah menempatkan adalah dgn cara yang baik,dimudahkan juga jalan masuk &amp; keluarnya,""
Tapi saya doakan Ibu jadi Ibu negara &amp; pak @ridwankamil jadi presidennya dimasa depan nanti  https://t.co/sZeo4LqH4a";sesungguhnya jalan allahsaya berdoa manapun allah menempatkan dgn baikdimudahkan jalan keluarnya doakan negara presidennya dimasa
1595991553956540417;2022-11-25 04:03:33+00:00;EddiKusmana1;"@ManafSamuel @ridwankamil @jokowi Pak Presiden  @jokowi 
Sama Pak @ridwankamil 
Sudah tahu....
Apa yang harus di lakukan
Boss.......
.";presiden lakukan boss
1595991320807370753;2022-11-25 04:02:37+00:00;a_virgonia;Istri Gubernur Jabar @ridwankamil Atalia Praratya,mengungkapkan bahwa ia dan suaminya bukanlah orang yg ambisius. Bahkan menjadi pemimpin seperti saat ini bukanlah sesuatu yg menjadi target Ridwan Kamil.Sebelum jadi Walikota pun tidak ada kepikiran untuk menjadi Walikota/Gubernur https://t.co/AjPHrgHEg3;istri gubernur jabar atalia praratyamengungkapkan suaminya yg ambisius pemimpin yg target ridwan kamilsebelum walikota kepikiran walikotagubernur
