ID;Datetime;Likes;Content;clean_text
1595767280000196611;2022-11-24 13:12:22+00:00;911;"Sejak hari pertama Gempa Cianjur, saya terus berkomunikasi dengan Gubernur dan Wagub Jawa Barat. Dan hari ini kami lepas delegasi relawan dan bantuan untuk Cianjur. 

Ini tanda cinta dan persaudaraan kami warga Jawa Tengah. Salam dan doa kami untuk saudara-saudara di Cianjur. https://t.co/P7xNssMIIZ";gempa cianjur berkomunikasi gubernur wagub jawa barat lepas delegasi relawan bantuan cianjur tanda cinta persaudaraan warga jawa tengah doa saudarasaudara cianjur
1595743392503255041;2022-11-24 11:37:26+00:00;92;Semoga dengan cara ini membantu percepatan perkembangan Cilacap untuk lebih maju.;semoga membantu percepatan perkembangan cilacap maju
1595743358647144449;2022-11-24 11:37:18+00:00;637;"Untuk saudara-saudaraku warga Cilacap. Inilah PJ. Bupati jenengan Ibu Yunita Dyah Suminar . 

Tugas utama beliau yang mesti dilakukan adalah optimalisasi pelayanan pemerintahan dan membuka seluas-luasnya aduan masyarakat. https://t.co/NYsJHW8ODb";saudarasaudaraku warga cilacap pj bupati jenengan yunita dyah suminar tugas utama beliau mesti optimalisasi pelayanan pemerintahan membuka seluasluasnya aduan masyarakat
1595657750952169475;2022-11-24 05:57:08+00:00;73;"Dari 24 - 26 November ini ulama perempuan Indonesia dan dunia menyelenggarakan kongres di Jepara. Berbagai persoalan kemasyarakatan akan jadi bahasan utama. 

Semoga diberi kelancaran dan bisa merangkul banyak elemen untuk memperkuat pergerakan.";november ulama perempuan indonesia dunia menyelenggarakan kongres jepara kemasyarakatan bahasan utama semoga kelancaran merangkul elemen memperkuat pergerakan
1595657728319717377;2022-11-24 05:57:02+00:00;82;Maka no one left behind, itulah prinsip kita dalam menata kehidupan bersama. Termasuk memberikan peran kepada perempuan. Karena kesetaraan adalah sebuah keniscayaan.;no one left behind prinsip menata kehidupan peran perempuan kesetaraan keniscayaan
1595657635260502016;2022-11-24 05:56:40+00:00;657;"Perempuan selalu punya sudut pandang lain dalam melihat permasalahan. 

Maka ketika perempuan turun tangan, ada saja kerja-kerja yang luput dr perhatian lelaki bisa terselesaikan. https://t.co/EdScynZCcu";perempuan sudut pandang permasalahan perempuan turun tangan kerjakerja luput dr perhatian lelaki terselesaikan
1595584548355866625;2022-11-24 01:06:15+00:00;117;Begitu ada tanda bencana langsung mengungsi. Semoga kondisinya segera membaik.;tanda bencana mengungsi semoga kondisinya membaik
1595584528080261120;2022-11-24 01:06:10+00:00;147;Tetap waspada dan saling mengingatkan nggih. Intensitas hujannya masih kencang. Jadi untuk seluruh saudaraku yang tinggal di dekat sungai, di dekat tebing atau daerah2 yg rawan bencana agar meningkatkan kewaspadaan.;waspada nggih intensitas hujannya kencang saudaraku tinggal sungai tebing yg rawan bencana meningkatkan kewaspadaan
1595584474586439680;2022-11-24 01:05:57+00:00;772;Alhamdulillah tidak ada saudara kita yang jadi korban longsor di Banyumas ini. Selain jalan darurat yang cuma bisa dilalui jalan kaki ini, jembatan darurat akan langsung kita kerjakan agar saudara-saudara kita di Gumelar bisa kembali beraktivitas. https://t.co/znS6fbHZnk;alhamdulillah saudara korban longsor banyumas jalan darurat jalan kaki jembatan darurat kerjakan saudarasaudara gumelar beraktivitas
1595393203129024512;2022-11-23 12:25:55+00:00;86;Semoga Muktamar ke 41 Al Irsyad Al Islamiyah di Purwokerto ini jadi stimulan untuk melahirkan banyak kemaslahatan dalam tata keagamaan, kenegaraan dan kemanusiaan.;semoga muktamar al irsyad al islamiyah purwokerto stimulan melahirkan kemaslahatan tata keagamaan kenegaraan kemanusiaan
