ID;Datetime;Username;Content
1595764176223338499;2022-11-24 13:00:02+00:00;OfficialiNewsTV;"Menteri Pertahanan Prabowo Subianto tiba di RSUD Sayang Cianjur, Jawa Barat. Prabowo memantau bantuan dan perawatan yang diberikan kepada pasien korban gempa Cianjur. PAA

#Menhan #PrabowoSubianto #Prabowo #GempaCianjur #PrayForCianjur #BreakingNews #iNews https://t.co/3kZPMR11LH"
1595759976336986112;2022-11-24 12:43:20+00:00;dekade_08;"Kalau menurut dekamin sih ini alasan Argentina dan Jepang kalah🤯 kalau menurut kalian gimana??

#pialadunia #worldcup2022 #argentina #prabowo #jerman #mendingprabowo #qatar #kalah #terusmajubersamaprabowo #dekade08 #PialaDunia2022 https://t.co/1PSikptmug"
1595756013906452480;2022-11-24 12:27:36+00:00;Ricky_Tamba;#prayforcianjur #cianjurpulih #doauntukcianjur #prabowo #gerindra https://t.co/53OmXUS4eb
1595755915159871489;2022-11-24 12:27:12+00:00;Ricky_Tamba;#prayforcianjur #cianjurpulih #doauntukcianjur #prabowo #gerindra https://t.co/b2cahDvunl
1595755478763438080;2022-11-24 12:25:28+00:00;Ricky_Tamba;#prayforcianjur #cianjurpulih #doauntukcianjur #prabowo #gerindra https://t.co/AlG0jJj7cn
1595755398392340480;2022-11-24 12:25:09+00:00;Ricky_Tamba;#prayforcianjur #cianjurpulih #doauntukcianjur #prabowo #gerindra https://t.co/41MdLVkpQK
1595753077419540480;2022-11-24 12:15:55+00:00;Ricky_Tamba;#prayforcianjur #cianjurpulih #doauntukcianjur #prabowo #gerindra https://t.co/9ZU3TdhyIw
1595747707049881600;2022-11-24 11:54:35+00:00;erickpandey0;#Prabowo #Menhan https://t.co/8l8acVBNq2
1595734739130126336;2022-11-24 11:03:03+00:00;tiaradput;#prabowo #IndonesiaMenang #13jakarta https://t.co/MGcYYUAdc4
1595730803195277313;2022-11-24 10:47:25+00:00;ER_R_OR;Semangat Juang #Ir_soekarno Ada Pada diri #prabowo
1595730740045832192;2022-11-24 10:47:10+00:00;rahmanalqadr;"Setibanya dari kamboja, pak @prabowo langsung ke daerah terdampak bencana gempa bumi di cianjur.
#Prabowo #IndonesiaMenang #13jakarta https://t.co/SQ07NhvcFP"
1595725993989509121;2022-11-24 10:28:18+00:00;andre_rosiade;"Pak @prabowo turun langsung meninjau lokasi pengungsian para korban bencana alam gempa bumi di Cianjur.

Selain menyapa dan menanyakan kondisi para warga, pak Prabowo juga menyalurkan bantuan untuk para korban.

#Prabowo
#AndreRosiade
#Gerindra https://t.co/jQGWr9Q9AO"
1595721910918254595;2022-11-24 10:12:05+00:00;heraldindo;"Jokowi Beri Sinyal Prabowo Maju Pilpres 2024, Rahayu Saraswati: Beliau Bisa Mempin Indonesia ke Masa Lebih Jaya.

#Jokowi #pilpres2024 #prabowo https://t.co/aYJgkVJBXj"
1595721872951345154;2022-11-24 10:11:56+00:00;HeraldSulsel;"Jokowi Beri Sinyal Prabowo Maju Pilpres 2024, Rahayu Saraswati: Beliau Bisa Mempin Indonesia ke Masa Lebih Jaya.

#Jokowi #pilpres2024 #prabowo https://t.co/eIZeDEyC0K"
1595720292449812480;2022-11-24 10:05:39+00:00;SumbuPolitik;"Elektabilitas Pasangan Prabowo-Ganjar Pranowo Kian Melesat, Bagaimana Nasib Cak Imin?

#sumbupolitik #cakimin #Prabowo #ganjarpranowo https://t.co/oWlsnoM4oB"
1595717525341605890;2022-11-24 09:54:39+00:00;Kemhan_RI;"“Presiden katakan harus cepat. Reaksi TNI juga luar biasa. Reaksi dokter-dokter, perawat juga. Jadi kami sampaikan penghargaan setinggi-tingginya,” kata Menhan Prabowo.

#Kemhan #KemhanRI #MenhanRI #MenhanPrabowo #PrabowoSubianto #Prabowo #PresidenRI #Jokowidodo #Jokowi https://t.co/xZqSrwAcSA"
1595701359990513666;2022-11-24 08:50:25+00:00;heraldindo;Perkuat Basis Indonesia Timur, Gerindra Lantik Pengurus Organisasi Milenial di Sulsel. #Gerindra #Prabowo #Pemilu2024 https://t.co/ftCMvNmjH9
1595701327136403456;2022-11-24 08:50:17+00:00;HeraldSulsel;Perkuat Basis Indonesia Timur, Gerindra Lantik Pengurus Organisasi Milenial di Sulsel. #Gerindra #Prabowo #Pemilu2024 https://t.co/H069exgx5D
1595700420860526592;2022-11-24 08:46:41+00:00;dekade_08;"Ya Allah, Bantu mereka 😭
Terimakasih Pak sudah datang ke Cianjur. 

#Prabowo #dekade08 #gempabumicianjur #prayforcianjur #CianjurBerduka #cianjurgempa #GempaBumi #Cianjur https://t.co/8GtT6QNDcD"
1595699259466452992;2022-11-24 08:42:04+00:00;IDefenseMagz;"Dalam pertemuan tersebut, Menhan @prabowo mendorong kerja sama ASEAN-India khususnya di bidang pertahanan maritim melalui ASEAN-India Maritime Exercise yang akan diselenggarakan perdana pada awal tahun 2023. 

https://t.co/qqgmW2rsxi

@Kemhan_RI 

#IDM #MenhanPrabowo #Prabowo"
1595697802642100225;2022-11-24 08:36:17+00:00;IDefenseMagz;"“Sinergi melalui dialog dan kerja sama antara ASEAN dan mitra eksternal ASEAN berdasarkan prinsip keterbukaan, transparansi, dan saling menguntungkan diharapkan dapat meningkatkan stabilitas di kawasan,” jelas Menhan @prabowo.

https://t.co/eajFF6xbJP

@Kemhan_RI 

#IDM #Prabowo"
1595697674136653824;2022-11-24 08:35:46+00:00;portalmediaid;"Resmi dilantik, Tidar Sulsel Diberi Mandat Menangkan Gerindra dan Prabowo di Pemilu 2024

Baca Selengkapnya: https://t.co/lWyJ5o7mdI

#BeritaTerkini #media #Online #news #BreakingNews #resmi #lantik #tidar #sulsel #mandat #gerindra #prabowo #PemiluSerentak2024 #Indonesia #Politik"
1595693301205590016;2022-11-24 08:18:24+00:00;papandu08;Menhan Prabowo turun langsung serahkan bantuan korban gempa Cianjur #prabowo #gempa #Cianjur https://t.co/QzPeYCGxYD
1595692283289968641;2022-11-24 08:14:21+00:00;prabowomuda08;"Prabowo Mengunjungi Korban Gempa Cianjur 

#masbowo #prabowo #prabowomuda #prabowosubianto #menhan #menteri #pertahanan #kemhan #menhanprabowo #indonesia #capres #gempa #cianjur #korban #kunjungan #rsud #bantuan #distribusi #bangunan #obat #tenda #makanan #pakaian #bencana https://t.co/k4Aundnw15"
1595690034384207875;2022-11-24 08:05:25+00:00;mypresidentid;"Setelah sebelumnya mengimbau kader Gerindra, Pak Bowo pagi tadi berkunjung langsung ke Cianjur untuk mengecek kondisi terkini. Mantap Pak Bowo 🔥

#mypresident #prabowo #prabowosubianto #prabowopresiden #indonesiaadilmakmur #mendingprabowo #prabowomypresident #presiden2024 https://t.co/Ar4fs9ZTGJ"
1595673823348609024;2022-11-24 07:01:00+00:00;newsmerahputih;"Prabowo Subianto akan menyerukan Negara ASEAN untuk menjaga perdamaian.

#merahputihcom #prabowo #ASEAN #menjaga #perdamaian 

https://t.co/2FTVMgtyM9"
1595671755414437888;2022-11-24 06:52:47+00:00;dekade_08;"#PrayForCianjur | Ayo gotong-royong bantu masyarakat Cianjur. Hari ini Menhan Prabowo Subianto  sampai di #cianjur untuk melihat langsung kondisi korban #gempabumicianjur 

#CianjurBerduka #dekade08 #prabowo #jokowi #gempabumicianjur https://t.co/5a66RAIunA"
1595670481956270081;2022-11-24 06:47:43+00:00;billyfissabilly;"Yuk saling rangkul untuk keselamatan sodara kita yang terdampak bencana 😇
#prabowo #IndonesiaMenang #12Jakarta https://t.co/PsUavxF2Fm"
1595669253490757632;2022-11-24 06:42:50+00:00;pasti_2024;"Inilah kita relawan Pasti untuk @prabowo - @erickthohir  sukses di Pilpres 2024. Kami akan terus mengerahkan seluruh daya untuk menjadikan keduanya sebagai pemimpin bangsa selanjurnya.

#jawabarat #bogor #prabowo #erickthohir #prabowoerick #pasti2024 https://t.co/c4jqrfHbH7"
