ID;Datetime;Likes;Content
1595699140826402817;2022-11-24 08:41:36+00:00;71;Terima kasih Kang Hadi dan teman2 Demokrat Cianjur yang selalu hadir memberikan bantuan kepada para korban sejak terjadi gempa. Semoga posko ini dapat bermanfaat dan membantu pemulihan Cianjur. Semangat terus, salam saya utk semuanya https://t.co/Qoceci2HEI
1595698674298150912;2022-11-24 08:39:45+00:00;57;Terima kasih Bu Mia dan teman2 Demokrat Bekasi atas kepeduliannya membantu para korban gempa di Cianjur. Semoga bermanfaat untuk mereka. Mari bersama mendoakan agar bencana ini segera berlalu dan Cianjur segera bangkit. Aamiin https://t.co/Dun5ZE7PAO
1595698276518744070;2022-11-24 08:38:10+00:00;95;"Terima kasih Kang Anton, Pak ABS dan teman2 Demokrat Jabar yg turun langsung membantu &amp; memberikan support moril kpd para korban. Semoga bantuan ini dapat meringankan beban mereka dan membantu pemulihan Cianjur. Aamiin https://t.co/1sfw29E8uA"
1595323610918719488;2022-11-23 07:49:23+00:00;163;Insya Allah, kita upayakan agar @PDemokrat bisa terus berada di tengah2 masyarakat, membantu warga Cianjur di masa-masa yang sulit ini.
1595322882103865344;2022-11-23 07:46:29+00:00;202;Terima kasih kpd teman2 @FPD_DPR yg telah menyiapkan bantuan utk saudara2 kita di Cianjur. Semoga bantuan ini bs disalurkan tepat sasaran dan dapat meringankan warga yg saat ini masih berada di tempat pengungsian. https://t.co/5ABJywPdXm
1595024498172264454;2022-11-22 12:00:49+00:00;215;"Alhamdulillah, apresiasi kpd pengurus @dpcpdcianjur yang sejak semalam ikut turun langsung mengevakuasi &amp; memberikan bantuan di bbrp titik wilayah terdampak gempa. Terima kasih, tetap waspada. Kita berdoa untuk keselamatan warga Cianjur. https://t.co/XXGxk3Dwog"
1594891815966347264;2022-11-22 03:13:35+00:00;77;"Info yang saya terima, hingga dini hari, evakuasi warga tertibun reruntuhan masih dilakukan &amp; para pengungsi menetap ditenda tanpa penerangan akibat aliran listrik yg masih padam. Mari berdoa untuk warga Cianjur, juga agar korban luka segera pulih. Cianjur lekas bangkit. Aamiin"
1594891813361700864;2022-11-22 03:13:34+00:00;456;"Terima kasih pak @syariefhasan,  bu @ingrid_kansil  &amp; jajaran @PDemokrat Jabar &amp; Cianjur atas kesigapannya membantu para korban gempa di wilayah Cianjur, semoga bantuan yang diberikan bermanfaat dan dapat meringankan beban mereka. https://t.co/a2481Rw1mv"
1594646941736267776;2022-11-21 11:00:32+00:00;354;Teman2, Insya Allah saya bersama dengan sejumlah tokoh lainnya akan hadir dalam acara Catatan Demokrasi Spesial Launching TV Pemilu yang akan disiarkan secara langsung oleh @tvOneNews  pada malam nanti pukul 20.00 WIB. Sampai ketemu! https://t.co/l0wAm9Mkfp
1594603196546437120;2022-11-21 08:06:43+00:00;314;"Turut berduka cita atas gempa yang menimpa Cianjur &amp; sekitarnya. Saya meminta jajaran pengurus @PDemokrat di Jabar, khususnya Cianjur untuk segera turun memberikan bantuan. Tetap utamakan keselamatan. Semoga kita semua dalam lindungan Allah SWT."
