ID;Datetime;Likes;Content
1595743392503255041;2022-11-24 11:37:26+00:00;30;Semoga dengan cara ini membantu percepatan perkembangan Cilacap untuk lebih maju.
1595743358647144449;2022-11-24 11:37:18+00:00;179;"Untuk saudara-saudaraku warga Cilacap. Inilah PJ. Bupati jenengan Ibu Yunita Dyah Suminar . 

Tugas utama beliau yang mesti dilakukan adalah optimalisasi pelayanan pemerintahan dan membuka seluas-luasnya aduan masyarakat. https://t.co/NYsJHW8ODb"
1595657750952169475;2022-11-24 05:57:08+00:00;60;"Dari 24 - 26 November ini ulama perempuan Indonesia dan dunia menyelenggarakan kongres di Jepara. Berbagai persoalan kemasyarakatan akan jadi bahasan utama. 

Semoga diberi kelancaran dan bisa merangkul banyak elemen untuk memperkuat pergerakan."
1595657728319717377;2022-11-24 05:57:02+00:00;63;Maka no one left behind, itulah prinsip kita dalam menata kehidupan bersama. Termasuk memberikan peran kepada perempuan. Karena kesetaraan adalah sebuah keniscayaan.
1595657635260502016;2022-11-24 05:56:40+00:00;472;"Perempuan selalu punya sudut pandang lain dalam melihat permasalahan. 

Maka ketika perempuan turun tangan, ada saja kerja-kerja yang luput dr perhatian lelaki bisa terselesaikan. https://t.co/EdScynZCcu"
1595584548355866625;2022-11-24 01:06:15+00:00;103;Begitu ada tanda bencana langsung mengungsi. Semoga kondisinya segera membaik.
1595584528080261120;2022-11-24 01:06:10+00:00;129;Tetap waspada dan saling mengingatkan nggih. Intensitas hujannya masih kencang. Jadi untuk seluruh saudaraku yang tinggal di dekat sungai, di dekat tebing atau daerah2 yg rawan bencana agar meningkatkan kewaspadaan.
1595584474586439680;2022-11-24 01:05:57+00:00;608;Alhamdulillah tidak ada saudara kita yang jadi korban longsor di Banyumas ini. Selain jalan darurat yang cuma bisa dilalui jalan kaki ini, jembatan darurat akan langsung kita kerjakan agar saudara-saudara kita di Gumelar bisa kembali beraktivitas. https://t.co/znS6fbHZnk
1595393203129024512;2022-11-23 12:25:55+00:00;85;Semoga Muktamar ke 41 Al Irsyad Al Islamiyah di Purwokerto ini jadi stimulan untuk melahirkan banyak kemaslahatan dalam tata keagamaan, kenegaraan dan kemanusiaan.
1595393081402007557;2022-11-23 12:25:26+00:00;559;"Al Irsyad memegang sejarah panjang dalam kehidupan berbangsa dan bernegara. Pemikiran dan pergerakannya jadi penguat kita semua. 

Mulai dari gerakan keagamaan, sosial, perekonomian sampai pendidikan. https://t.co/Q8iqP1YHp3"
1595294674721206272;2022-11-23 05:54:24+00:00;1337;Swiss jadi salah satu negara penanaman modal besar di Jawa Tengah. Mulai dari kimia dan farmasi, perikanan, perdagangan, makanan hingga reparasi. https://t.co/ndu386M68c
1595267667585159168;2022-11-23 04:07:05+00:00;81;"Ilmu ada, sumberdaya pendukung ada, biaya bisa kita upayakan bersama. Apalagi selain lebih irit, pemakaian energi baru terbarukan ini jauh lebih ramah terhadap lingkungan. 

Di tempatmu saya yakin potensi seperti ini juga ada kok"
1595267625084284928;2022-11-23 04:06:55+00:00;91;Pemerintah mencoba memberi stimulan bahwa tidak selamanya kita mesti bergantung pada energi fosil.
1595267571258793984;2022-11-23 04:06:42+00:00;575;"Bahagia melihat Anda bahagia. 

Sebenarnya ini adalah hal sederhana dan bisa diterapkan di mana saja. Sumber energi di sekitar kita banyak sekali. Kalau tidak bisa perorangan, kita bisa bergerak secara koloni. https://t.co/vcHXqMwnLa"
1595228874572431361;2022-11-23 01:32:56+00:00;91;"Kehadiran GIIAS ini akan semakin lengkap dengan mejengnya kendaraan listrik terbaru yang ada di negara kita. 

Jangan lupa ayo hadir dan nikmati seluruh pameran kemajuan itu di Marina Convention Center Semarang pada tanggal 23 sampai 27 November."
1595228815906709505;2022-11-23 01:32:42+00:00;441;"Teknologi otomotif pergerakan dan kemajuannya memang luar biasa. 

Pameran yang diinisiasi oleh temen-temen Gaikindo ini tentu kita harapkan jadi penyemangat kita untuk belajar lebih agar seluruh perangkat kemajuan itu bisa kita ciptakan sendiri. https://t.co/GUeRxRvKEp"
