ID;Datetime;Likes;Content
1595766134493437953;2022-11-24 13:07:49+00:00;0;@masebolali Semoga segera kembali semangat para saudara kita di Cianjur.
1595765901848375296;2022-11-24 13:06:53+00:00;1;@zarazettirazr Apakabar mbak @zarazettirazr ? Semoga dalam keadaan baik.
1595763572985909248;2022-11-24 12:57:38+00:00;1;@M_ninetySix_You @Kemhan_RI Saya sudah teruskan info anda ke pihak terkait. Semoga bantuan bisa segera sampai.
1595758976477827073;2022-11-24 12:39:22+00:00;38;Terima kasih. https://t.co/Y9cOuRynQX
1595757535197560840;2022-11-24 12:33:38+00:00;14;@Gerindra Laporan diterima. Terima kasih. Jangan lupa untuk memantau kesehatan dan stamina rekan @gerindra yang sedang menjadi relawan di Cianjur. Kalau perlu lakukan rotasi berkala dengan kader lain.
1595754976030388225;2022-11-24 12:23:28+00:00;106;Gempa Cianjur adalah duka bagi kita sesama anak bangsa. Untuk itu, kita akan selalu bersama saudara-saudara kita di Cianjur dalam melewati musibah ini. https://t.co/EvHjncfMmq
1595754258842144770;2022-11-24 12:20:37+00:00;138;Alhamdulillah hari ini saya bisa meninjau langsung proses membantu saudara-saudara yang terkena bencana gempa di Cianjur. Gotong royong dan persatuan semua unsur masyarakat dan institusi negara dapat mempercepat mitigasi penderitaan para korban dan pengungsi. https://t.co/3sd5U4o6Z8
1594932109046841346;2022-11-22 05:53:41+00:00;751;"Indonesia selalu berusaha untuk menjaga hubungan terbaik dengan semua bangsa demi memajukan Indo-Pasifik yang lebih terhubung, sejahtera, aman, tangguh serta bebas dan terbuka.

Saya percaya untuk mencapai ini perlu kerja sama dan partisipasi negara-negara Indo-Pasifik. https://t.co/lJaw7CQUOE"
1594631594320461824;2022-11-21 09:59:33+00:00;42;@Puutrii_Rahmaa @Gerindra Biasanya urunan sesama kader. Tidak selalu uang, ada sumbang kendaraan, ada yang bantu keahlian, ada yang bantu tenaga. Semua saling memberi yang mereka punya.
1594627951777169408;2022-11-21 09:45:05+00:00;52;@Nyw2411 @Gerindra Sebaiknya diluar dulu. Waspadai gempa susulan. Semoga bantuan bisa segera datang.
1594620537342464001;2022-11-21 09:15:37+00:00;1722;"Turut berduka cita sedalam-dalamnya atas bencana gempa yang terjadi di Cianjur, Sukabumi dan Bogor. Saya instruksikan kepada seluruh kader Gerindra yang tidak terdampak bencana gempa untuk segera turun langsung membantu.

@gerindra harap monitor."
1594502302378774528;2022-11-21 01:25:47+00:00;3;@ipungvice1 👍
1594495313904926720;2022-11-21 00:58:01+00:00;17;@te_nago Sedang main apa anak-anak itu? Serius sekali.
1594491709203054592;2022-11-21 00:43:42+00:00;1639;"""Apa yang saya bisa tinggalkan hanya rohku saja, yaitu roh setia hingga terakhir kepada tanah air, dan tidak mundur sekalipun menemui rintangan apa pun menuju cita-cita kebangsaan yang tetap."" - Wolter Mongisidi -

Selamat pagi. Selamat beraktivitas."
1593766151246336003;2022-11-19 00:40:35+00:00;8708;"Pagi yang sejuk di Kota Solo. Semoga lancar kegiatan hari ini.
Jangan lupa kopi mengawali hari. https://t.co/MlwC7ptg0W"
1593629044712427520;2022-11-18 15:35:47+00:00;113;@fleurvybwry Semoga bisa terwujud cita-citanya. Aamiin.
1593625250058895360;2022-11-18 15:20:42+00:00;86;@sitisorayani Medan masih musim durian?
1593623352131784704;2022-11-18 15:13:09+00:00;180;@Danj1r Bismillah. Mergo ono. Semoga segera dapat.
1593622016761819136;2022-11-18 15:07:51+00:00;49;@flyn7stark Jaih tidak dari tempat latihan berkuda?
1593616228697808897;2022-11-18 14:44:51+00:00;3908;Selamat malam sahabat. Apakah besok ada yang ke Kota Solo?
1591704868036947975;2022-11-13 08:09:47+00:00;359;@infotwitwor_ @Gerindra Hmm… @Gerindra
1591701883701411840;2022-11-13 07:57:56+00:00;19;@sitisorayani Terima kasih
1591700958731730944;2022-11-13 07:54:15+00:00;25;@padiiillllle_ Wa’alaikumsalam. Ambil baiknya ya.
1591697995552411648;2022-11-13 07:42:29+00:00;48;@little_ardian Banyak sekali, harus ekstra hati-hati.
1591588865772785664;2022-11-13 00:28:50+00:00;17;@rismawy Tunggu dengan sabar dan do’akan selalu.
1591588687774887939;2022-11-13 00:28:08+00:00;79;@vivinda_ Hahaha demikian suasana meja makan pagi ini. Ada sumringah sekali tapi ada juga yang…
1591588261948190721;2022-11-13 00:26:26+00:00;186;@denny_agoes Diaduk
1591585326690357248;2022-11-13 00:14:46+00:00;2314;Di hari Minggu ada sahabat yang sedang liburan, ada yang bersilaturahmi ke sanak saudara, ada yang sedang bergotong royong bahkan ada yang sedang betugas. Apa pun yang sahabat lakukan semoga semua menikmati akhir pekan dan semua berjalan baik. Salam hormat untuk keluarga.
1590525771428528129;2022-11-10 02:04:29+00:00;45;@bengkeldodo Jangan pernah berhenti untuk mengingatkan.
1590525393089728513;2022-11-10 02:02:58+00:00;24;@Bambang_Budimab @Akubknultramen Tidak perlu juga memancing hal yang tidak baik. Kita berkumpul disini untuk melakukan hal yang baik.
1590524253769969664;2022-11-10 01:58:27+00:00;9;@MimiBchy Wa’alaikumsalam. Aamiin. Terima kasih doanya.
1590523770393219074;2022-11-10 01:56:32+00:00;6;@C4k_Tun_PhD Salam kenal. Salam hormat untuk keluarga.
1590523200869654528;2022-11-10 01:54:16+00:00;254;Saya mengajak sahabat sekalian untuk setiap anak bangsa untuk bersatu dengan keahliannya masing-masing berkarya dalam mengisi masa kemerdekaan yang telah diwarisi kepada kita. Selamat Hari Pahlawan. Selamat beraktivitas mengisi kemerdekaan. 🇲🇨
1590522334699720707;2022-11-10 01:50:49+00:00;166;Robert Wolter Mongisidi sosok anak muda yang berjuang mempertahankan kemerdekaan dengan berani dan terhormat selalu pengingat saya pribadi untuk tidak menyerah dalam pengabdian kepada bangsa dan negara dalam mengisi kemerdekaan sehingga seluruh rakyat bisa tersenyum bahagia.
1590521741809717253;2022-11-10 01:48:28+00:00;124;Robert Wolter Monginsidi membuktikan diri sebagai pemimpin yang tidak mementingkan diri sendiri serta memiliki kesetiaan terhadap anak buah dan temannya, yaitu dengan mengambil alih semua tanggung jawab atas dakwaan dan ancaman hukum yang ditujukan kepada mereka.
1590521451509329920;2022-11-10 01:47:19+00:00;113;Keyakinan pada cita-cita kemerdekaan membuat Wolter Monginsidi tidak gentar menjalani proses persidangan yang penuh dengan penyiksaan dan berkepanjangan, serta ancaman dan bahkan putusan hukuman mati terhadap beliau.
1590520860913602560;2022-11-10 01:44:58+00:00;146;"Kepada anggota regu penembak saat pelaksanaan hukuman mati, Wolter Monginsidi sempat mengatakan: ""Jalankan kewajibanmu, dan tembaklah dengan tepat."" Pada Kitab Suci yang dijadikan bantal beliau, ditemukan tulisan tangan berbunyi: ""Setia hingga akhir di dalam keyakinan."""
1590519847662006272;2022-11-10 01:40:56+00:00;117;26 Maret 1949, hakim beri putusan hukuman mati kepada Wolter Mongisidi yang dilaksanakan pada tanggal 5 September 1949. Surat keputusan langsung disetujui dan ditandatangani beliau. Padahal Belanda kerap membujuk Mongisidi agar mau bekerja sama, tapi ia tegas menolak.
1590519192566255616;2022-11-10 01:38:20+00:00;110;"Tegar mengakui dakwaan sebagai pemimpin pemberontak dan saat dijadikan saksi persidangan teman-temannya yang diadili, ia menyatakan bahwa apa yang dituduhkan adalah tanggung jawab beliau dengan mengatakan: ""Mereka berbuat atas perintah saya, maka sayalah yang bertanggung jawab."""
1590518551605313537;2022-11-10 01:35:47+00:00;111;"Setelah banyak aksi perlawanan kepada Belanda, Robert Wolter Mongisidi tertangkap namun berhasil melarikan diri dan melakukan perlawanan kembali menyerang pos-pos Belanda. Tertangkap untuk kedua kali dan diadili.

#ceritapahlawan"
1590517141660635142;2022-11-10 01:30:11+00:00;102;Mobil direbut, Mongisidi dan seperkawanan menuju ke arah tangsi. Tak dikenali, mereka berhasil masuk ke kandang musuh. Suasana mendadak riuh saat Mongisidi memberondongkan senapannya ke area tangsi. Para penghuninya pun panik, bubar, dan lari menyelamatkan diri ke segala penjuru.
1590516684523470849;2022-11-10 01:28:22+00:00;106;Salah satu aksinya saat mencegat jip militer milik Belanda bersama tiga orang teman lainnya. Mongisidi lalu menodongkan pistol ke arah kepala satu-satunya orang yang ada di mobil itu, seorang kapten. Seragam dan tanda pangkat sang kapten dilucuti, lalu dikenakan Mongisidi.
1590515753211809793;2022-11-10 01:24:40+00:00;45;"Tanpa ragu ia memutuskan untuk ikut serta dalam perjuangan mempertahankan kemerdekaan Indonesia di usianya yang masih remaja. Robert Wolter Mongisidi turut dalam pembentukan Laskar Pemberontak Rakyat Indonesia Sulawesi (LAPRIS) pada 17 Juli 1946.

#ceritapahlawan"
1590515314428903424;2022-11-10 01:22:55+00:00;113;Perlawanan Robert Wolter Mongisidi dimulai ketika baru merantau dari Manado ke Makassar. Terhenyak karena kemerdekaan yang baru sesaat tiba-tiba terancam. Belanda kembali dengan wujud baru, Netherlands Indies Civil Administration alias NICA dengan tujuan berkuasa kembali.
1590513323745120258;2022-11-10 01:15:01+00:00;148;"Quotes Robert Wolter Mongisidi di atas adalah penggalan kalimat pada surat yang ditulis kepada Marie adiknya ketika beliau di penjara menunggu hukuman mati akibat melawan Belanda yang membonceng NICA.

#ceritapahlawan"
1590511817566334976;2022-11-10 01:09:02+00:00;2864;"""Jangan takut melihat masa yang akan datang, saya telah turut membersihkan jalanan bagi kalian meskipun belum semua tenagaku kukeluarkan."" - Robert Wolter Mongisidi -

Selamat Hari Pahlawan. Selamat berkarya membangun negerimu hingga seluruh rakyat bisa tersenyum bahagia. https://t.co/oNPswSetsv"
1589978772694274048;2022-11-08 13:50:54+00:00;43;@aldisianturi @mutiahnegara Selamat malam. Semoga selalu bahagia dalam berkeluarga. Aamiin. Terima kasih.
1589977485168762880;2022-11-08 13:45:47+00:00;6271;@Missyalnya @Gerindra 😊
1589974899325808641;2022-11-08 13:35:30+00:00;3138;@petabencana Banjir
1589974173484724224;2022-11-08 13:32:37+00:00;120;@httpandar Daerah mana?
1589973416450625539;2022-11-08 13:29:37+00:00;121;@mutiahnegara @aldisianturi Selamat malam. Akun @aldisianturi digembok.
1589972063888232448;2022-11-08 13:24:14+00:00;172;@Laydiyanto Terima kasih. Semoga kita semua selalu diberik kesehatan.
1589970774970236933;2022-11-08 13:19:07+00:00;399;@sayacutricky Ya benar. Semoga banjir segera surut.
1589970465690636288;2022-11-08 13:17:53+00:00;38;@Gerindra Terima kasih laporannya. Boleh juga kepedulian DPC @Gerindra Kota Langsa. Membantu daerah tetangga yang terkena musibah. Luar biasa DPC Gerindra Aceh Tamiang, terkena musibah tetap berbuat untuk masyarakat sekitar. Terima kasih.
1589968231745585153;2022-11-08 13:09:01+00:00;271;@rendddzzzzz Tinggal di Desa Bojong Koneng.
1589967807072305153;2022-11-08 13:07:20+00:00;119;@anaknya_PakDul @Gerindra Sarungan menjadi andalan ketika tinggal di gunung,
1589965689389191169;2022-11-08 12:58:55+00:00;1826;@PremieRara Wa’alaikumsalam. Sering juga gak apa-apa.
1589962198281224198;2022-11-08 12:45:02+00:00;29961;Selamat malam. Sedang ada keramaian apa di twitland?
1589203598508191744;2022-11-06 10:30:38+00:00;1578;"@amadramadan91 @Me_Hana_Nan @Gerindra Hmm…
@Gerindra"
1588722092778098689;2022-11-05 02:37:18+00:00;162;"@Me_Hana_Nan Infonya memutus jalur Sumatera Utara Aceh. 
@Gerindra harap dimonitor."
1588706667319164929;2022-11-05 01:36:00+00:00;71;@Me_Hana_Nan Kapan tejadinya?
1588706067365916672;2022-11-05 01:33:37+00:00;73;@AgoezMust @SudahToh Jangan berseteru hingga ngetwit yang tidak baik. Jadilah pribadi yang menyebarkan kebaikan. Kita nikmati akhir pekan dengan melakukan hal baik.
1588705370541019137;2022-11-05 01:30:51+00:00;23;@kurli_anis Jalani dengan yakin, dengan semangat. Mergo ono, Mergo ono.
1588703091989557249;2022-11-05 01:21:48+00:00;14;@kapten_imel Semua menjalankan tugasnya sesuai tupoksi. Ada kekurangan, ada kendala pasti. Tapi tindakan untuk mengatasi kekurangan dan kendala terus dilakukan dengan giat tanpa mengurangi semangat pengabdian di lapangan.
1588701326208552960;2022-11-05 01:14:47+00:00;22;@zomet13 Maksudnya?
1588700524232441862;2022-11-05 01:11:36+00:00;66;@_______sandy Sabar ya. Sekarang masih 2022.
1588699820247887874;2022-11-05 01:08:48+00:00;27;@hanggiawan_ Sabtu pagi boleh lah rehat sebentar tuk ngetwit.
1588698146083078146;2022-11-05 01:02:09+00:00;47;@eri_riviana Sabar. Setiap orang memang punya masalah masing-masing. Tapi bukan berarti bersikap tidak baik kepada orang lain. Mergo ono, pasti ada jalan.
1588697501808615424;2022-11-05 00:59:35+00:00;2;@eko_ks Alhamdulillah. Selamat berakhir pekan.
1588697413740802048;2022-11-05 00:59:14+00:00;27;@rikardoriki102 Wajib. Kopi susu.
