ID;Datetime;Likes;Content
1595766469245407233;2022-11-24 13:09:08+00:00;0;Bantuan ini juga bersama dari @ojkindonesia akan langsung dibelanjakan malam ini untuk besok pagi dikirim ke warga Cianjur yang membutuhkan. Hatur Nuhun.
1595766466548142081;2022-11-24 13:09:08+00:00;0;Kerja sama kebencanaan, ekonomi dan diplomasi politik diteguhkan oleh kongres ini agar masa dunia bisa lebih aman, lebih tangguh, lebih damai dan lebih sejahtera bersama-sama.
1595766460609355778;2022-11-24 13:09:06+00:00;1;Donasi dan sumbangan sebesar 1,5 Milyar rupiah untuk warga Cianjur, dari para gubernur dan wali kota se-Asia Timur yang hadir ke Bandung di acara Kongres ke-11, East Asia Local and Regional Government, selain ucapan dan surat duka cita. https://t.co/tVgJ9kBhXu
1595579393866633216;2022-11-24 00:45:46+00:00;156;"Jika masih ada yg belum terbantu, silakan bantu jadi relawan jempol dengan mengontak hotline 115 &amp; 117, atau via akun @QrJabar. 

Jika ada gangguan oknum saat memberikan bantuan kepada para pengungsi bisa hubungi kepolisian via no hp Bpk Kapolda Jabar 082128667356. 

Hatur nuhun."
1595579389483552768;2022-11-24 00:45:45+00:00;490;Desa-desa terpencil dikoordinasikan logistiknya dengan tim relawan yang membantu tim utama TNI/Polri dan BNPB. Sekitar Rp 2 Milyar dari Pemprov Jabar kemarin dibelanjakan segera setelah mereview kebutuhan-kebutuhan para pengungsi di desa-desa terpencil. https://t.co/DC40EQ8De1
1595414194584944641;2022-11-23 13:49:20+00:00;91;"Selain menyemangati warga, juga dikoordinasikan kebutuhan para pengungsi di tenda-tenda kecil tersebut untuk segera didistribusi hari ini.

Jika ingin membantu, bisa koordinasi via @BPBDJabar maupun @QrJabar. Hatur nuhun."
1595414185563029505;2022-11-23 13:49:17+00:00;1011;"Tenda-tenda kecil warga banyak didirikan di area pelosok terpencil, selain tenda-tenda besar di pusat-pusat pengungsian. 

Karenanya kami menyisir satu persatu di rute-rute jalan desa yang sempit dan tidak bisa dimasuki mobil. Sehingga harus naik motor. https://t.co/7XuaeGErP5"
1595198611272630273;2022-11-22 23:32:40+00:00;406;"Menolong sesama manusia adalah tugas semua manusia. Semoga banyak dari kita bisa membantu juga untuk meringankan beban warga Cianjur. Mayoritas hari ini yang dibutuhkan adalah makanan, obat-obatan, kebutuhan bayi dan selimut.

Mohon doanya selalu. Hatur nuhun."
1595198605849395200;2022-11-22 23:32:39+00:00;4025;"Data terakhir korban jiwa 268 jiwa. Korban hilang 151 jiwa. Korban luka-luka 1,083. Pengungsi 58,000. 

Kemarin mendampingi Presiden @jokowi yg hadir memberikan arahan &amp; bantuan kepada semua tim yang bekerja dalam tanggap darurat kebencanaan gempa Cianjur. https://t.co/uDUIbhZo2o"
1595061731226968064;2022-11-22 14:28:46+00:00;204;"Semoga semua dari kita bisa mengambil pelajaran dan hikmah dari setiap takdir peristiwa yang hadir dalam hidup kita ini.

Hatur Nuhun."
1595061729146589185;2022-11-22 14:28:45+00:00;239;"Ini bayi ke-3 yang lahir hari ini di tenda yang sama. 

Di balik ujian bencana ini dan banyak yang berpulang, Allah juga memberikan rahmatnya dengan lahirnya bayi-bayi yang akan meneruskan perjalanan peradaban manusia ini."
1595061722968363008;2022-11-22 14:28:44+00:00;2354;"Gempita Shalihah Kamil, nama yg saya berikan untuk bayi perempuan yg lahir di tenda pengungsian. Kebetulan ibunya, Ibu Dewi, meminta saya memberi nama.

Gempita, karena lahir saat gempa. Shalihah, doa agar menjadi insan yg shalihah. Kamil, artinya agar jadi manusia yg paripurna. https://t.co/TWfMlBTAl9"
1595048259537735682;2022-11-22 13:35:14+00:00;760;Hari ini masih meninjau langsung lokasi gempa bumi di Cianjur. Dari takziah ke TPU Sirnalaya, sampai meninjau langsung daerah Kecamatan Cugenang. Pak Presiden @jokowi turut datang ke lokasi dan memberikan bantuan. Mohon doanya selalu. Hatur nuhun.  -Admin- https://t.co/1mPJD3N9Hv
1594911107638259712;2022-11-22 04:30:14+00:00;202;"Call Center 115 Basarnas dan 117 BNPB bisa digunakan untuk mencari informasi terkait nama-nama warga Cianjur yang menjadi korban luka-luka atau meninggal dunia.

Mohon doanya selalu untuk warga Cianjur. Hatur nuhun."
1594911105599811584;2022-11-22 04:30:14+00:00;187;"Seluruh kepala dinas/camat diminta untuk membersamai pemakaman 160-an warga yang menjadi korban meninggal dunia.

100 korban yang dirawat outdoor sudah kami pindahkan ke Rumah Sakit di kota Sukabumi, Cimahi dan Bandung."
1594911101304856577;2022-11-22 04:30:13+00:00;1498;Takziah di pemakaman almarhumah Alinda Dela Puspita, Warga Cianjur yang meninggal dunia karena gempa bumi kemarin, sambil terus mengoordinasikan tim untuk memberi pertolongan pertama pada korban dan evakuasi di 14 titik kebencanaan. https://t.co/tl2iXKdGvG
