id,dateTime,userName,content,clean_text,clean_text_stem
1599367046349099008,2022-12-04 11:36:33+00:00,DemokratProbo1,"apa kata Mas @EmilDardak @JatimDemokrat terkait loyalitas kpd @AgusYudhoyono @PDemokrat dan @KhofifahIP yuk simak.
#ahy #emilsangdemokrat #demokratharapanrakyat https://t.co/FkGjd09DKM",mas terkait loyalitas yuk simak,mas kait loyalitas yuk simak
1599358078939693062,2022-12-04 11:00:55+00:00,DemokratProbo1,"@agusyudhoyono bersama tuan rumah Round Table Discussion di University of Melbourne Prof. Vedi Hadiz
#AHY #AHYPimpinPerubahan #demokrat #emilsangdemokrat #demokratjatim https://t.co/5XIJ7Oeynf",tuan rumah round table discussion university of melbourne prof vedi hadiz,tuan rumah round table discussion university of melbourne prof vedi hadiz
1599337631011463169,2022-12-04 09:39:40+00:00,fajaronline,AHY Ajak Indonesia-Australia Jaga Kualitas Demokrasi https://t.co/NmEL5eneMs #AHY #Indonesia-Australia #KetuaUmumDemokrat #KualitasDemokrasi,ahy ajak indonesiaaustralia jaga kualitas demokrasi australia,ahy ajak indonesiaaustralia jaga kualitas demokrasi australia
1599336193405210626,2022-12-04 09:33:57+00:00,demokratkotapas,"Demokrat bersama rakyat memperjuangkan Perubahan dan Perbaikan.

#dpcdemokratpasuruan #demokratjatimmenang #demokratbersamarakyat #kotapasuruan #pasuruanapik #pasuruanhits #AHY #2024INDONESIAMEMBIRU @ Kota Pasuruan https://t.co/Ddl7HcoyMB",demokrat rakyat memperjuangkan perubahan perbaikan kota pasuruan,demokrat rakyat juang ubah baik kota pasuruan
1599050771777351681,2022-12-03 14:39:47+00:00,pdemokratasahan,"Repost @pdemokrat
""Hubungan politik kita terjalin sangat baik, namun kita harus meningkatkan kerjasama ekonomi kedua negara, khususnya dalam bidang perdagangan dan investasi.""

 - AHY -

#2024Demokratajah
#dpcdemokratasahan
#ahy
#bakomstraasahan

https://t.co/nb4UzIVWk5",repost hubungan politik terjalin meningkatkan kerjasama ekonomi negara bidang perdagangan investasi ahy,repost hubung politik jalin tingkat kerjasama ekonomi negara bidang dagang investasi ahy
1599011627990679552,2022-12-03 12:04:14+00:00,OfficialBMI__,"Rapat Bulanan DPN BMI: Membahas Program Kerja dan Pembentukan Panitia HUT Ke-3 dan Rakernas BMI

 https://t.co/XVamKmX55G

#AHY
#BMIuntukAHY
#ahypimpinperubahan",rapat bulanan dpn bmi membahas program pembentukan panitia hut rakernas bmi,rapat bulan dpn bmi bahas program bentuk panitia hut rakernas bmi
1598991332458270720,2022-12-03 10:43:36+00:00,OfficialBMI__,"Rapat Bulanan DPN BMI, membahas program kerja tahunan dan pembentukan panitia HUT ke-3 BMI
#ahypimpinperubahan
#bmiuntukahy
#ahy https://t.co/d7Vur7QDVI",rapat bulanan dpn bmi membahas program tahunan pembentukan panitia hut bmi,rapat bulan dpn bmi bahas program tahun bentuk panitia hut bmi
1598983693691158529,2022-12-03 10:13:14+00:00,dpcdemokratpmk,"""Hubungan antara warga Indonesia dan Australia atau ""people-to-people contact"" menjadi key driver dan elemen penting bagi kedua negara.""

#PartaiDemokrat #pdemokrat #Demokrat #AHY https://t.co/DeWu6HGnsJ",hubungan warga indonesia australia peopletopeople contact key driver elemen negara,hubung warga indonesia australia peopletopeople contact key driver elemen negara
1598974955613741056,2022-12-03 09:38:31+00:00,ryanmatrex,"Demokrat desak presiden tertibkan pendukung yang tebar kebencian.
.
#demokrat #pdemokrat #partaidemokrat #perubahan #perubahandanperbaikan #ahy #herzakymahendraputra #ahypemimpinperubahan #pemilu #pilpres #menang #mamuju #sulbar https://t.co/eIuFlzNcf3",demokrat desak presiden tertibkan pendukung tebar kebencian,demokrat desak presiden tertib dukung tebar benci
1598919962625703939,2022-12-03 06:00:00+00:00,Demokrat_TV,"Wakil Sekretatis Fraksi Partai Demokrat DPR RI, Irwan, menganggap dukungan Presiden Joko Widodo ke calon presiden (capres) penggantinya tidak etis meski disampaikan secara tersirat.

Simak selengkapnya pada video berikut ini.

#AHY
#PartaiDemokrat https://t.co/BaxMX1mbTo",wakil sekretatis fraksi partai demokrat dpr ri irwan menganggap dukungan presiden joko widodo calon presiden capres penggantinya etis dis aikan tersirat simak selengkapnya video,wakil sekretatis fraksi partai demokrat dpr ri irwan anggap dukung presiden joko widodo calon presiden capres ganti etis dis aikan sirat simak lengkap video
