ID;Datetime;Username;Content;clean_text;text_token
1596152059136733184;2022-11-25 14:41:20+00:00;The4_9Institute;"@kba_news Alhamdulillah wa syukrulillah 🤲
#AniesPresiden2024 
#AniesPresiden2024";alhamdulillah wa syukrulillah;['alhamdulillah', 'wa', 'syukrulillah']
1596151627593175046;2022-11-25 14:39:37+00:00;The4_9Institute;"@Mars_Sahsa Dukung Penuh Anies
#AniesPresiden2024 
#AniesPresiden2024";dukung penuh anies;['dukung', 'penuh', 'anies']
1596151249510236161;2022-11-25 14:38:07+00:00;The4_9Institute;"@Sekber_AniesId Istiqomah mencerdaskan kehidupan bangsa
#AniesPresiden2024 
#AniesPresiden2024 https://t.co/AxaNj3Tpte";istiqomah cerdas hidup bangsa;['istiqomah', 'cerdas', 'hidup', 'bangsa']
1596149436924952578;2022-11-25 14:30:55+00:00;The4_9Institute;"@aniesbaswedan Stay tune on the track Brother
#AniesPresiden2024
#AniesPresiden2024 https://t.co/560Qr3kHZw";stay tune on the track brother;['stay', 'tune', 'on', 'the', 'track', 'brother']
1596145857145237504;2022-11-25 14:16:41+00:00;The4_9Institute;"@kba_news Alhamdulillah wa syukrulillah 🤲
#AniesPresiden2024 
#AniesPresiden2024";alhamdulillah wa syukrulillah;['alhamdulillah', 'wa', 'syukrulillah']
1596145435944841217;2022-11-25 14:15:01+00:00;dndtirani;"Rocky Gerung: Jokowi Mulai Khawatir, Jangan-jangan Ganjar kalau Head to Head dengan Anies Kalah | 
Jokowi Pemain Cebong LGBT Cianjur Fajar Pray For Cianjur Gitasav Iran Jeddah Asia  #GempaBumi #FIFAWorldCup #PenguasaPengkhianatRakyat  #AniesPresiden2024 https://t.co/qA3YJeKs0W";rocky gerung jokowi khawatir janganjangan ganjar head to head anies kalah jokowi main cebong lgbt cianjur fajar pray for cianjur gitasav iran jeddah asia;['rocky', 'gerung', 'jokowi', 'khawatir', 'janganjangan', 'ganjar', 'head', 'to', 'head', 'anies', 'kalah', 'jokowi', 'main', 'cebong', 'lgbt', 'cianjur', 'fajar', 'pray', 'for', 'cianjur', 'gitasav', 'iran', 'jeddah', 'asia']
1596145302901526528;2022-11-25 14:14:29+00:00;dndtirani;"Sikap Ruhut Jadi Pertanda Anies Bakal Menangkan Pilpres 2024, Dulu Dia Hujat Jokowi Malah jadi Presiden | 
Jokowi Pemain Cebong LGBT Cianjur Fajar Pray For Cianjur Gitasav Iran Jeddah Asia Jepang #GempaBumi #FIFAWorldCup #PradaHoliday22  #AniesPresiden2024 https://t.co/jOZaHOf5HR";sikap ruhut tanda anies menang pilpres hujat jokowi presiden jokowi main cebong lgbt cianjur fajar pray for cianjur gitasav iran jeddah asia jepang;['sikap', 'ruhut', 'tanda', 'anies', 'menang', 'pilpres', 'hujat', 'jokowi', 'presiden', 'jokowi', 'main', 'cebong', 'lgbt', 'cianjur', 'fajar', 'pray', 'for', 'cianjur', 'gitasav', 'iran', 'jeddah', 'asia', 'jepang']
1596145154423160832;2022-11-25 14:13:54+00:00;dndtirani;"Halunya Ustadz Yusuf Mansur Bakal Beli Klub Manchester United: Asli, Murah Itu! | 
Jokowi Pemain Cebong LGBT Cianjur Fajar Pray For Cianjur Gitasav Iran Jeddah Asia Jepang #GempaBumi #FIFAWorldCup #PenguasaPengkhianatRakyat #reformasi #AniesPresiden2024 https://t.co/YoVzhu1Dq1";halunya ustadz yusuf mansur beli klub manchester united asli murah jokowi main cebong lgbt cianjur fajar pray for cianjur gitasav iran jeddah asia jepang;['halunya', 'ustadz', 'yusuf', 'mansur', 'beli', 'klub', 'manchester', 'united', 'asli', 'murah', 'jokowi', 'main', 'cebong', 'lgbt', 'cianjur', 'fajar', 'pray', 'for', 'cianjur', 'gitasav', 'iran', 'jeddah', 'asia', 'jepang']
1596145029776801792;2022-11-25 14:13:24+00:00;dndtirani;"Gerindra Geser Posisi Aulia Rachman dari Kursi Sekretaris DPD Sumut, Imbas Foto Bareng Anies? | 
Jokowi Pemain Cebong LGBT Cianjur Fajar Pray For Cianjur Gitasav Iran Jeddah Asia Jepang #GempaBumi #FIFAWorldCup #PenguasaPengkhianatRakyat #AniesPresiden2024 https://t.co/WE17Uw5gFK";gerindra geser posisi aulia rachman kursi sekretaris dpd sumut imbas foto bareng anies jokowi main cebong lgbt cianjur fajar pray for cianjur gitasav iran jeddah asia jepang;['gerindra', 'geser', 'posisi', 'aulia', 'rachman', 'kursi', 'sekretaris', 'dpd', 'sumut', 'imbas', 'foto', 'bareng', 'anies', 'jokowi', 'main', 'cebong', 'lgbt', 'cianjur', 'fajar', 'pray', 'for', 'cianjur', 'gitasav', 'iran', 'jeddah', 'asia', 'jepang']
1596144884100255745;2022-11-25 14:12:49+00:00;dndtirani;"Kabar Terbaru Bikin Geger: Isu Brigadir J Punya Tabungan Rp 100 Triliun hingga Rekening Diblokir PPATK | 
Jokowi Pemain Cebong LGBT Cianjur Fajar Pray For Cianjur Gitasav Iran Jeddah Asia Jepang #GempaBumi #FIFAWorldCup #reformasi  #AniesPresiden2024 https://t.co/0N8MtbkMSG";kabar bikin geger isu brigadir tabung rp triliun rekening blokir ppatk jokowi main cebong lgbt cianjur fajar pray for cianjur gitasav iran jeddah asia jepang;['kabar', 'bikin', 'geger', 'isu', 'brigadir', 'tabung', 'rp', 'triliun', 'rekening', 'blokir', 'ppatk', 'jokowi', 'main', 'cebong', 'lgbt', 'cianjur', 'fajar', 'pray', 'for', 'cianjur', 'gitasav', 'iran', 'jeddah', 'asia', 'jepang']
1596144732513927168;2022-11-25 14:12:13+00:00;dndtirani;"Berat! Mahfud MD Akui Mafia Hukum Ada di Mana-mana, Orang yang Mau Perbaiki Langsung Disikat | 
Jokowi Pemain Cebong LGBT Cianjur Fajar Pray For Cianjur Gitasav Iran Jeddah Asia Jepang #GempaBumi #FIFAWorldCup #PenguasaPengkhianatRakyat  #AniesPresiden2024 https://t.co/EdUeusT68n";berat mahfud md mafia hukum manamana sikat jokowi main cebong lgbt cianjur fajar pray for cianjur gitasav iran jeddah asia jepang;['berat', 'mahfud', 'md', 'mafia', 'hukum', 'manamana', 'sikat', 'jokowi', 'main', 'cebong', 'lgbt', 'cianjur', 'fajar', 'pray', 'for', 'cianjur', 'gitasav', 'iran', 'jeddah', 'asia', 'jepang']
1596144531640291333;2022-11-25 14:11:25+00:00;dndtirani;"PKS: Jika Hari Ini Oposisi, Tahun Depan Kita Memimpin Negeri Ini | 
Jokowi Pemain Cebong LGBT Cianjur Fajar Pray For Cianjur Gitasav Iran Jeddah Asia Jepang #GempaBumi #FIFAWorldCup #PenguasaPengkhianatRakyat #BuzzeRp_SampahPeradaban #AniesPresiden2024 https://t.co/J8YmZoAZYR";pks oposisi tahun pimpin negeri jokowi main cebong lgbt cianjur fajar pray for cianjur gitasav iran jeddah asia jepang;['pks', 'oposisi', 'tahun', 'pimpin', 'negeri', 'jokowi', 'main', 'cebong', 'lgbt', 'cianjur', 'fajar', 'pray', 'for', 'cianjur', 'gitasav', 'iran', 'jeddah', 'asia', 'jepang']
1596144383547813888;2022-11-25 14:10:50+00:00;dndtirani;"Alasan Masyarakat Pilih Anies , Ganjar dan Prabowo di Pilpres 2024 Terungkap, Berdasarkan Data |
Jokowi Pemain Cebong LGBT Cianjur Fajar Pray For Cianjur Gitasav Iran Jeddah Asia Jepang #GempaBumi #FIFAWorldCup #PenguasaPengkhianatRakyat #AniesPresiden2024 https://t.co/8LoMmmcu0d";alas masyarakat pilih anies ganjar prabowo pilpres dasar data jokowi main cebong lgbt cianjur fajar pray for cianjur gitasav iran jeddah asia jepang;['alas', 'masyarakat', 'pilih', 'anies', 'ganjar', 'prabowo', 'pilpres', 'dasar', 'data', 'jokowi', 'main', 'cebong', 'lgbt', 'cianjur', 'fajar', 'pray', 'for', 'cianjur', 'gitasav', 'iran', 'jeddah', 'asia', 'jepang']
1596144215947628544;2022-11-25 14:10:10+00:00;dndtirani;"JK Buka Suara Soal Hubungan Megawati dan SBY, Sebut Hal Ini Bikin SBY Tidak Disenangi | 
Jokowi Pemain Cebong LGBT Cianjur Fajar Pray For Cianjur Gitasav Iran Jeddah Asia Jepang #GempaBumi #FIFAWorldCup #PenguasaPengkhianatRakyat #PM10 #AniesPresiden2024 https://t.co/FXKq2FTrZN";jk buka suara hubung megawati sby bikin sby nang jokowi main cebong lgbt cianjur fajar pray for cianjur gitasav iran jeddah asia jepang;['jk', 'buka', 'suara', 'hubung', 'megawati', 'sby', 'bikin', 'sby', 'nang', 'jokowi', 'main', 'cebong', 'lgbt', 'cianjur', 'fajar', 'pray', 'for', 'cianjur', 'gitasav', 'iran', 'jeddah', 'asia', 'jepang']
1596144067821592580;2022-11-25 14:09:35+00:00;dndtirani;"Tegas, Fraksi Demokrat Menolak Revisi UU IKN! | 
Jokowi Pemain Cebong LGBT Cianjur Fajar Pray For Cianjur Gitasav Iran Jeddah Asia Jepang #GempaBumi #FIFAWorldCup #PenguasaPengkhianatRakyat #BuzzeRp_SampahPeradaban #AniesPresiden2024 #WorldcupQatar2022 https://t.co/D1xpL8Awx1";fraksi demokrat tolak revisi uu ikn jokowi main cebong lgbt cianjur fajar pray for cianjur gitasav iran jeddah asia jepang;['fraksi', 'demokrat', 'tolak', 'revisi', 'uu', 'ikn', 'jokowi', 'main', 'cebong', 'lgbt', 'cianjur', 'fajar', 'pray', 'for', 'cianjur', 'gitasav', 'iran', 'jeddah', 'asia', 'jepang']
1596143952096526336;2022-11-25 14:09:07+00:00;dndtirani;"Isu Perpanjangan Jabatan Jokowi Mencuat Kembali, Rocky Bocorkan Penyebabnya: Anies Bikin Cemas Istana | 
Jokowi Pemain Cebong LGBT Cianjur Fajar Pray For Cianjur Gitasav Iran Jeddah Asia Jepang #GempaBumi #FIFAWorldCup #PradaHoliday22  #AniesPresiden2024 https://t.co/rBKFmUQ65K";isu jabat jokowi cuat rocky bocor anies bikin cemas istana jokowi main cebong lgbt cianjur fajar pray for cianjur gitasav iran jeddah asia jepang;['isu', 'jabat', 'jokowi', 'cuat', 'rocky', 'bocor', 'anies', 'bikin', 'cemas', 'istana', 'jokowi', 'main', 'cebong', 'lgbt', 'cianjur', 'fajar', 'pray', 'for', 'cianjur', 'gitasav', 'iran', 'jeddah', 'asia', 'jepang']
1596143516031549440;2022-11-25 14:07:23+00:00;dndtirani;"Menegangkan! Polantas Polda Metro Tangkap DPO Bareskrim di Jalan Tol | 
Jokowi Pemain Cebong LGBT Cianjur Fajar Pray For Cianjur Gitasav Iran Jeddah Asia Jepang #GempaBumi #FIFAWorldCup #PenguasaPengkhianatRakyat #BuzzeRp_SampahPeradaban #AniesPresiden2024 https://t.co/5g25aDKltc";tegang polantas polda metro tangkap dpo bareskrim jalan tol jokowi main cebong lgbt cianjur fajar pray for cianjur gitasav iran jeddah asia jepang;['tegang', 'polantas', 'polda', 'metro', 'tangkap', 'dpo', 'bareskrim', 'jalan', 'tol', 'jokowi', 'main', 'cebong', 'lgbt', 'cianjur', 'fajar', 'pray', 'for', 'cianjur', 'gitasav', 'iran', 'jeddah', 'asia', 'jepang']
1596143421059923968;2022-11-25 14:07:01+00:00;dndtirani;"Yusril Beri Prabowo Saran Agar Bisa Menang Pilpres 2024 Hingga Kalahkan Anies dan Ganjar |
Jokowi Pemain Cebong LGBT Cianjur Fajar Pray For Cianjur Gitasav Iran Jeddah Asia Jepang #GempaBumi #FIFAWorldCup #PenguasaPengkhianatRakyat #PM10 #AniesPresiden2024 https://t.co/CsrMmjNHWN";yusril prabowo saran menang pilpres kalah anies ganjar jokowi main cebong lgbt cianjur fajar pray for cianjur gitasav iran jeddah asia jepang;['yusril', 'prabowo', 'saran', 'menang', 'pilpres', 'kalah', 'anies', 'ganjar', 'jokowi', 'main', 'cebong', 'lgbt', 'cianjur', 'fajar', 'pray', 'for', 'cianjur', 'gitasav', 'iran', 'jeddah', 'asia', 'jepang']
1596143200808624128;2022-11-25 14:06:08+00:00;dndtirani;"KIB Bisa Ditinggal Para Kader Jika Usung Ganjar | 
Jokowi Pemain Cebong LGBT Cianjur Fajar Pray For Cianjur Gitasav Iran Jeddah Asia Jepang #GempaBumi #FIFAWorldCup #PenguasaPengkhianatRakyat #BuzzeRp_SampahPeradaban #AniesPresiden2024 #JumatBerkah https://t.co/hhs65OZjXA";kib tinggal kader usung ganjar jokowi main cebong lgbt cianjur fajar pray for cianjur gitasav iran jeddah asia jepang;['kib', 'tinggal', 'kader', 'usung', 'ganjar', 'jokowi', 'main', 'cebong', 'lgbt', 'cianjur', 'fajar', 'pray', 'for', 'cianjur', 'gitasav', 'iran', 'jeddah', 'asia', 'jepang']
1596143064426631174;2022-11-25 14:05:36+00:00;dndtirani;"Bandara Sepi Pesawat dan Penumpang, Menhub dan Komisi V Belum Temukan Solusi Jitu | 
Jokowi Pemain Cebong LGBT Cianjur Fajar Pray For Cianjur Gitasav Iran Jeddah Asia Jepang #GempaBumi #FIFAWorldCup #PenguasaPengkhianatRakyat #reformasi #AniesPresiden2024 https://t.co/nTEuKTuchv";bandara sepi pesawat tumpang menhub komisi temu solusi jitu jokowi main cebong lgbt cianjur fajar pray for cianjur gitasav iran jeddah asia jepang;['bandara', 'sepi', 'pesawat', 'tumpang', 'menhub', 'komisi', 'temu', 'solusi', 'jitu', 'jokowi', 'main', 'cebong', 'lgbt', 'cianjur', 'fajar', 'pray', 'for', 'cianjur', 'gitasav', 'iran', 'jeddah', 'asia', 'jepang']
