id,dateTime,userName,content,clean_text,clean_text_stem
1599288083807371264,2022-12-04 06:22:47+00:00,AzzahraMasyitah,"ada aja nih, yang menyebar kan hoax di kala bencana ini hanya untuk kepentingan pribada #bersamacianjur #ridwankamil https://t.co/hf002tUT7N",aja nih menyebar hoax bencana kepentingan pribada,aja nih sebar hoax bencana penting pribada
1599286914049536000,2022-12-04 06:18:08+00:00,AzzahraMasyitah,Pak Ridwan Kamil terpilih pasti nya kedepannya #bersamajuara #ridwankamil https://t.co/MBDO6w8rjn,ridwan kamil terpilih kedepannya,ridwan kamil pilih depan
1599286895095451649,2022-12-04 06:18:03+00:00,AzzahraMasyitah,@ihdanziga Pak Ridwan Kamil terpilih pasti nya kedepannya #bersamajuara #ridwankamil,ridwan kamil terpilih kedepannya,ridwan kamil pilih depan
1599286252549050369,2022-12-04 06:15:30+00:00,AzzahraMasyitah,"Menurut saya dari kerja dan pengalaman banyak di pak @ridwankamil , kalau menurut kalian ? #bersamajuara #ridwankamil https://t.co/noD2NjixnC",pengalaman,alam
1599286207154126849,2022-12-04 06:15:19+00:00,AzzahraMasyitah,"@aku_penggembira Menurut saya dari kerja dan pengalaman banyak di pak @ridwankamil , kalau menurut kalian ? #bersamajuara #ridwankamil",pengalaman,alam
1599254416569139200,2022-12-04 04:09:00+00:00,tribunkaltim,"Pemilih Rasional tak Lirik Isu Primordial, Ridwan Kamil, Erick Thohir, Sandiaga Uno Jadi Alternatif
 
#Pilpres2024 #Pemilu2024 #ErickThohir #RidwanKamil #SandiagaUno #MemilihDamai #MataLokalMemilih

https://t.co/nxDvUBJjX2 lewat @tribunkaltim",pemilih rasional lirik isu primordial ridwan kamil erick thohir sandiaga uno alternatif,pilih rasional lirik isu primordial ridwan kamil erick thohir sandiaga uno alternatif
1599224914967662593,2022-12-04 02:11:46+00:00,bpsdmjabar,"Cek yuk! Kabupaten atau Kota #bestie masuk ngak nih. 

Selamat kepada yang masuk dan bersiap untuk mengikuti tahap selanjutnya.🤗 

@ridwankamil
@PaUuRuzhanul
#RidwanKamil
#bpsdmjabar
#banggamelayanibangsa
#rakorbangkom2022 https://t.co/BI8LoeE3r8",cek yuk kabupaten kota ngak nih selamat mengikuti tahap selanjutnya🤗,cek yuk kabupaten kota ngak nih selamat ikut tahap lanjut
1599224217421189120,2022-12-04 02:09:00+00:00,tribunkaltim,"Survei: Pemilih Ganjar Pranowo, Anies Baswedan dan Prabowo Memilih Ridwan Kamil sebagai Cawapres
 
#RidwanKamil #KangEmil #GubernurJawaBarat #Pilpres2024 #cawapres #Anies #Ganjar #Prabowo

https://t.co/V6pFH568DZ lewat @tribunkaltim",survei pemilih ganjar pranowo anies baswedan prabowo memilih ridwan kamil cawapres,survei pilih ganjar pranowo anies baswedan prabowo pilih ridwan kamil cawapres
1599210934043807744,2022-12-04 01:16:13+00:00,OfficialiNewsTV,"Ridwan Kamil Ingatkan Masyarakat Waspadai Konten Hoax yang Dilabeli Gempa Garut. FDL
https://t.co/7a0TnCOtUj

#iNews #Gempa #GempaBumi #GempaGarut #Bandung #Cianjur #GempaCianjur #Hoax #RidwanKamil #RK #Emil #KangEmil #Gubernur #JawaBarat https://t.co/Onsdg40nBM",ridwan kamil ingatkan masyarakat waspadai konten hoax dilabeli gempa garut fdl,ridwan kamil ingat masyarakat waspada konten hoax label gempa garut fdl
1599106204441415681,2022-12-03 18:20:03+00:00,wahananewsdotco,"Garut Diguncang Gempa Besar, Ridwan Kamil: Waspadai Hoaks! https://t.co/OHfQ5qIkBH #GempaBumi #GempaGarut #Hoax #RidwanKamil",garut diguncang gempa ridwan kamil waspadai hoaks,garut guncang gempa ridwan kamil waspada hoaks
1599076735370547200,2022-12-03 16:22:57+00:00,twettyayu,Langsung gercep Bu Cinta  #bersamajuara #ridwankamil https://t.co/3YLJE5c5wL,gercep bu cinta,gercep bu cinta
1599076546165510146,2022-12-03 16:22:12+00:00,twettyayu,@IechaNaasha Ibu Cinta yang benar2 cinta ama warganya #bersamajuara #ridwankamil,cinta cinta ama warganya,cinta cinta ama warga
