id,dateTime,userName,content,clean_text,clean_text_stem
1599310181657092102,2022-12-04 07:50:35+00:00,infobalamp,tidak diragukan  For Ganjar Terbaik #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab https://t.co/p8ctJKvH8T,diragukan for ganjar terbaik,ragu for ganjar baik
1599310156353110016,2022-12-04 07:50:29+00:00,brianjeje10,"GANJAR PALING LAYAK SEBAGAI CALON PRESIDEN
#ganjarpranowo
#ganjar_pranowo
#ganjarkita
#ganjaruntukindonesia
#sahabatganjar
#relawanganjar
#GanjarPilihanJokowi
#ganjarpranowofor2024
#GanjarPilihanRakyat
#GanjarHebat
#GanjarAmanah
#GanjarBertanggungjawab https://t.co/b5jLySEFMS",ganjar layak calon presiden,ganjar layak calon presiden
1599310023083294721,2022-12-04 07:49:57+00:00,brianjeje10,"BERKAT GANJAR PETANI JAMUR DI MAGELANG BISA BIKIN WISATA EDUKASI
#ganjarpranowo
#ganjar_pranowo
#ganjarkita
#ganjaruntukindonesia
#sahabatganjar
#relawanganjar
#GanjarPilihanJokowi
#ganjarpranowofor2024
#GanjarPilihanRakyat
#GanjarHebat
#GanjarAmanah
#GanjarBertanggungjawab https://t.co/H4TgnBO7ba",berkat ganjar petani jamur magelang bikin wisata edukasi,berkat ganjar tani jamur magelang bikin wisata edukasi
1599309974626533376,2022-12-04 07:49:46+00:00,Yunita_Mahusiwa,"Pak Ganjar Pranowo memang terbaik. Ayo dukung Ganjar Pranowo. 
#ganjarpranowo
#ganjar_pranowo
#ganjarkita
#ganjaruntukindonesia
#sahabatganjar
#relawanganjar
#GanjarPilihanJokowi
#ganjarpranowofor2024
#GanjarPilihanRakyat
#GanjarHebat
#GanjarAmanah
#GanjarBertanggungjawab https://t.co/xm2kEvDMFo",ganjar pranowo terbaik ayo dukung ganjar pranowo,ganjar pranowo baik ayo dukung ganjar pranowo
1599309939503144965,2022-12-04 07:49:37+00:00,infobalamp,Ganjar terbaik  For Ganjar Terbaik #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab https://t.co/CWlb5soZWZ,ganjar terbaik for ganjar terbaik,ganjar baik for ganjar baik
1599309938752471040,2022-12-04 07:49:37+00:00,infobalamp,The best ganjar number one  Dukung Ganjar Terbaik Maju 2024 #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab https://t.co/cmvo9JcKpM,the best ganjar number one dukung ganjar terbaik maju,the best ganjar number one dukung ganjar baik maju
1599309938639228929,2022-12-04 07:49:37+00:00,infobalamp,Ra enek saingan pak ganjar  Dukung Ganjar Terbaik Maju 2024 #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab https://t.co/YGRUUJij7V,ra enek saingan ganjar dukung ganjar terbaik maju,ra enek saing ganjar dukung ganjar baik maju
1599309848898068480,2022-12-04 07:49:16+00:00,mdiamedan,"Ganjar nih, bukan kaleng kaleng #ganjarpranowo
#ganjar_pranowo
#ganjarkita
#ganjaruntukindonesia
#sahabatganjar
#relawanganjar
#capres2024
#ganjarpranowofor2024
#GanjarPilihanRakyat
#GanjarHebat
#GanjarAmanah
#GanjarBertanggungjawab https://t.co/22TMT0780N",ganjar nih kaleng kaleng,ganjar nih kaleng kaleng
1599309848872914945,2022-12-04 07:49:16+00:00,brianjeje10,"KIAI MUDA NGAWI DUKUNG PROGRAM EKOTREN ALA GANJAR
#ganjarpranowo
#ganjar_pranowo
#ganjarkita
#ganjaruntukindonesia
#sahabatganjar
#relawanganjar
#GanjarPilihanJokowi
#ganjarpranowofor2024
#GanjarPilihanRakyat
#GanjarHebat
#GanjarAmanah
#GanjarBertanggungjawab https://t.co/usTDWQoepl",kiai muda ngawi dukung program ekotren ala ganjar,kiai muda ngawi dukung program ekotren ala ganjar
1599309788906913793,2022-12-04 07:49:02+00:00,Yunita_Mahusiwa,"Kemistrinya menunjukkan kode untuk melanjutkan estafet Presiden. 
#ganjarpranowo
#ganjar_pranowo
#ganjarkita
#ganjaruntukindonesia
#sahabatganjar
#relawanganjar
#GanjarPilihanJokowi
#ganjarpranowofor2024
#GanjarPilihanRakyat
#GanjarHebat
#GanjarAmanah
#GanjarBertanggungjawab https://t.co/Qdr4iWNRaC",kemistrinya kode melanjutkan estafet presiden,mistri kode lanjut estafet presiden
