id,dateTime,userName,content,clean_text,clean_text_stem
1599367175135191048,2022-12-04 11:37:04+00:00,wahananewsdotco,Anies Baswedan Tumbangkan Prabowo https://t.co/XbwmaP7sNQ #Prabowo #AniesBaswedan #Capres #Wahananewsco,anies baswedan tumbangkan prabowo,anies baswedan tumbang prabowo
1599334266248527873,2022-12-04 09:26:17+00:00,Ricky_Tamba,"Paten puenak tenan iki, Pak Jenderal PSD08 ngupi2 karo Masbro Denny Caknan. Pak Prabowo pancen oye, capres liane biasa waeeee 💕🇮🇩

#Prabowo #PrabowoSubianto #Menhan #Gerindra #Denny #DennyCaknan #Kopi #KopiPakBowo #Milenial #Santuy #IndonesiaMaju #AdilMakmur #IndonesiaRaya https://t.co/84dLn4eqtS",paten puenak tenan iki jenderal karo masbro denny caknan prabowo pancen oye capres liane waeeee 💕🇮🇩,paten puenak tenan iki jenderal karo masbro denny caknan prabowo pancen oye capres liane waeeee
1599326258638094337,2022-12-04 08:54:28+00:00,prabowomuda08,"Denny Caknan menemui Prabowo pada Jumat lalu. Keduanya berbincang sambil minum kopi bersama

#masbowo #prabowo #prabowomuda #prabowosubianto #menhan #menteri #kemhan #menhanprabowo #pertahanan #indonesia #capres #militer #viral #viralvideo #fyp #denny #caknan #jakarta #kopi #BA https://t.co/gfMtxmQsL9",denny caknan menemui prabowo jumat berbincang minum kopi,denny caknan temu prabowo jumat bincang minum kopi
1599278427189936128,2022-12-04 05:44:24+00:00,mirendraya_PS,"Argentina lolos ke 8 besar 

Video legeda sepakbola #Argentina #Maradona support @prabowo 
Semoga 2024 terwujud..!! 

@Gerindra 
#prabowo
#QatarWorldCup2022
#ArgentinavsAustralia 
#Pele https://t.co/eXUPxIrptw",argentina lolos video legeda sepakbola support semoga terwujud,argentina lolos video legeda sepakbola support moga wujud
1599256555345522688,2022-12-04 04:17:30+00:00,ER_R_OR,Semangat Juang #Ir_soekarno Ada Pada diri #prabowo,semangat juang,semangat juang
1599256555333234690,2022-12-04 04:17:30+00:00,ER_R_OR,Semangat Juang #Ir_soekarno Ada Pada diri #prabowo,semangat juang,semangat juang
1599244861810495495,2022-12-04 03:31:02+00:00,GrdBMS,"Kegiatan mas @denny_caknan bersama Pak @prabowo dalam sebuah video singkat, pertemuan yang sangat menyenangkan yah lurrr 😎

#mendingprabowo #prabowo #gerindra #gerindrajawatengah #gerindrajateng https://t.co/vTWJGbZNe9",kegiatan mas video singkat pertemuan menyenangkan yah lurrr 😎,giat mas video singkat temu senang yah lurrr
1599243100517728257,2022-12-04 03:24:02+00:00,papandu08,"Libur gini di hari minggu, enaknya minum Kopi Pak Bowo #kopi #prabowo #dennycaknan https://t.co/PX8CU6J1cm",libur gini minggu enaknya minum kopi bowo,libur gin minggu enak minum kopi bowo
1599236920445665282,2022-12-04 02:59:28+00:00,GerindraDemak,"PRABOWO DAN SENI

(( A THREAD PART 2 ))

 #mendingprabowo #prabowo #gerindra #gerindrajawatengah #gerindrajateng #gerindrademak https://t.co/sSVcqeFPuW",prabowo seni thread part,prabowo seni thread part
1599234393478139904,2022-12-04 02:49:26+00:00,GerindraDemak,"PRABOWO DAN SENI

(( A THREAD ))

 #mendingprabowo #prabowo #gerindra #gerindrajawatengah #gerindrajateng #gerindrademak https://t.co/QFvHhTKAJW",prabowo seni thread,prabowo seni thread
