id,dateTime,userName,content,clean_text,clean_text_stem
1599370260188368896,2022-12-04 11:49:19+00:00,suketi666,@KIBCentre @SBYudhoyono Seneng lihat mereka masih sempet denger keluhan warga susah makan Dan mereka masih bisa makan sekeluarga di bakmi golek.... @AgusYudhoyono,seneng sempet denger keluhan warga susah makan makan sekeluarga bakmi golek,neng sempet denger keluh warga susah makan makan keluarga bakmi golek
1599370253263589376,2022-12-04 11:49:17+00:00,dedik_riyawan,"@DemokratProbo1 @EmilDardak @JatimDemokrat @AgusYudhoyono @PDemokrat @KhofifahIP Keren , mantap ketua DPD Jatim .muda adalah kekuatan,perubahan dan perbaikan",keren mantap ketua dpd jatim muda kekuatanperubahan perbaikan,keren mantap ketua dpd jatim muda kekuatanperubahan baik
1599369156528259074,2022-12-04 11:44:56+00:00,jocerah,@AgusYudhoyono Kasih tau teman australi bang.jangan ngelunjak di papua dan kalimantan.,kasih tau teman australi bangjangan ngelunjak papua kalimantan,kasih tau teman australi bangjangan ngelunjak papua kalimantan
1599369044465192960,2022-12-04 11:44:29+00:00,AntiCukong,Gimana nih pak @cakimiNOW @TeddGus @JSuryoP1 @prastow @ZUL_Hasan @Pak_JK @Yusrilihza_Mhd @JimlyAs @AgusYudhoyono ?? https://t.co/ftyohVDlIC,gimana nih,gimana nih
1599369010256437248,2022-12-04 11:44:21+00:00,ch_chotimah2,"Ga punya partai, bukan ketua umum partai dan bukan anak mantan presiden, tapi elektabilitas Erick Thohir terus naik dan mau dicalonkan bbrp partai.
Apa kabar @AgusYudhoyono?😊

Survei Indikator Sebut Erick Thohir Cawapres Pilihan Rakyat.
#BangkitBersamaET 
https://t.co/A1XwbSfrRS https://t.co/0wNvr24YGi",ga partai ketua umum partai anak mantan presiden elektabilitas erick thohir dicalonkan bbrp partai kabar 😊 survei indikator erick thohir cawapres pilihan rakyat,ga partai ketua umum partai anak mantan presiden elektabilitas erick thohir calon bbrp partai kabar survei indikator erick thohir cawapres pilih rakyat
1599367801382502402,2022-12-04 11:39:33+00:00,supraward,"@AgusYudhoyono Mantabb bangga dg canberra, sydney dan mebourne dibanding ke cianjur, benar2 calon pemimpin yg memikirkan rakyat👏👏",mantabb bangga dg canberra sydney mebourne dibanding cianjur calon pemimpin memikirkan rakyat👏👏,mantabb bangga dg canberra sydney mebourne banding cianjur calon pimpin pikir rakyat
1599367275366486016,2022-12-04 11:37:27+00:00,IriawanW,@AgusYudhoyono Sukses slalu Mas Agus HY.Amiin yra,sukses slalu mas agus hyamiin yra,sukses slalu mas agus hyamiin yra
1599367046349099008,2022-12-04 11:36:33+00:00,DemokratProbo1,"apa kata Mas @EmilDardak @JatimDemokrat terkait loyalitas kpd @AgusYudhoyono @PDemokrat dan @KhofifahIP yuk simak.
#ahy #emilsangdemokrat #demokratharapanrakyat https://t.co/FkGjd09DKM",mas terkait loyalitas yuk simak,mas kait loyalitas yuk simak
1599366633747017728,2022-12-04 11:34:54+00:00,MOCHAMADIWAN5,@AgusYudhoyono Nggk penting gus aguuuus,nggk gus aguuuus,nggk gus aguuuus
1599365567152295936,2022-12-04 11:30:40+00:00,Sigitsoenoto,@sig4rpenjalin @rachlannashidik Lho kader @PDemokrat to .. koq bikin malu @AgusYudhoyono aja,lho kader to koq bikin malu aja,lho kader to koq bikin malu aja
1599364821522460675,2022-12-04 11:27:42+00:00,Aryalangit6,@AgusYudhoyono Wooooh pulang bawa nasi bungkus berapa banyak buat rakyat yang susaaaaahhh haha,wooooh pulang bawa nasi bungkus rakyat susaaaaahhh haha,wooooh pulang bawa nasi bungkus rakyat susaaaaahhh haha
1599364175230537729,2022-12-04 11:25:08+00:00,medan_demokrat,Tetap semangat buat warga Kabupaten Lumajang semoga selalu dalam lindungan Allah SWT...Amin Ya Robbal Alamin ( Ketua DPC @medan_demokrat H.Iswanda https://t.co/dpr690o5Er ) @Herzaky__MP @PDemokrat @BakomstraPD @akang_hero @ANDINURPATI3 @AgusYudhoyono @YanHarahap @jansen_jsp https://t.co/XmDofLZ42t,semangat warga kabupaten lumajang semoga lindungan allah swtamin robbal alamin ketua dpc hiswanda,semangat warga kabupaten lumajang moga lindung allah swtamin robbal alamin ketua dpc hiswanda
1599363614309494785,2022-12-04 11:22:55+00:00,Abdultokwes,"@AgusYudhoyono @PDemokrat Masha allah,  berkah bermanfaat",masha allah berkah bermanfaat,masha allah berkah manfaat
1599363613869113345,2022-12-04 11:22:54+00:00,sumirah652,"@AgusYudhoyono Katanya rakyat susah 
Booong dong
Nyatanya Anda bisa jalan2 ke LN berhari2 tentuny tdk sedikit biaya yg dikeluarkan",rakyat susah booong ln tentuny tdk biaya dikeluarkan,rakyat susah booong ln tentuny tdk biaya keluar
1599363479403892737,2022-12-04 11:22:22+00:00,Abdultokwes,"@AlhidayatRohmat @AgusYudhoyono @PDemokrat Ya pastilah, demokrat ada dimana2",demokrat,demokrat
1599363351502802946,2022-12-04 11:21:52+00:00,AlhidayatRohmat,"@AgusYudhoyono @PDemokrat Pak Agus Semeru meletus, terjunkan Demokrat peduli",agus semeru meletus terjunkan demokrat peduli,agus meru letus terjun demokrat peduli
1599363283022393344,2022-12-04 11:21:36+00:00,su7loo,@AgusYudhoyono Ketumnya halan2 mulu tapi kadernya sibuk ngurus safari bacapres partai lain... 😅,ketumnya mulu kadernya sibuk ngurus safari bacapres partai 😅,tum mulu kader sibuk ngurus safari bacapres partai
1599362312393330689,2022-12-04 11:17:44+00:00,icatwps,"@hipohan @aniesbaswedan @NasDem @partaigeloraid @PKSejahtera @Official_PAN @PDemokrat @AgusYudhoyono @syariefhasan @pranandapaloh @ZUL_Hasan @syaikhu_ahmad @vivayogamauladi @PlateJohnny @anismatta 
Dukung Anies Baswedan dan Khilafah! Bersama Anies Baswedan Presiden Khilafah Akan Lahir! https://t.co/sNRQQ8AzOZ",dukung anies baswedan khilafah anies baswedan presiden khilafah lahir,dukung anies baswedan khilafah anies baswedan presiden khilafah lahir
1599361447146180609,2022-12-04 11:14:18+00:00,insptb,"Kalo begini, bisa hancur partai PEKAES, PARTAI GELORA, PARTAI DEMOKRAT, PARTAI UMMAT, PARTAI PERINDO dan partai² kecil lainnya.

Gimana reaksimu @PKSejahtera ,@AgusYudhoyono @fadlizon @Fahrihamzah https://t.co/4mAyqBKJ3K",kalo hancur partai pekaes partai gelora partai demokrat partai ummat partai perindo partai² gimana reaksimu,kalo hancur partai pekaes partai gelora partai demokrat partai ummat partai perindo partai gimana reaksi
1599360220815585281,2022-12-04 11:09:25+00:00,anies_kom,Detik- detik Bung Anies tiba di pekanbaru ( Riau ) pukul 15 : 30 WIB @aniesbaswedan @AgusYudhoyono https://t.co/q46myEQOsC,detik detik anies pekanbaru riau wib,detik detik anies pekanbaru riau wib
1599359519645368320,2022-12-04 11:06:38+00:00,riduansilalahi1,@AgusYudhoyono Iya indah gak seperti bangunan Hambalang mangkrak,iya indah bangunan hambalang mangkrak,iya indah bangun hambalang mangkrak
1599358645984448513,2022-12-04 11:03:10+00:00,AgusYudhoyono,"Selain bantuan sembako, @PDemokrat juga memberikan bantuan pengobatan gratis. Dokter Gobind yg juga kepala Badan Pengabdian &amp; Pemberdayaan Masyarakat (BPPM) keliling tenda untuk melihat situasi saudara2 kita di Cianjur. Insya Allah Demokrat bisa terus membantu warga di sana. https://t.co/mU4GaB7zbD",bantuan sembako bantuan pengobatan gratis dokter gobind kepala badan pengabdian pemberdayaan masyarakat bppm keliling tenda situasi cianjur insya allah demokrat membantu warga,bantu sembako bantu obat gratis dokter gobind kepala badan abdi daya masyarakat bppm keliling tenda situasi cianjur insya allah demokrat bantu warga
1599358247185833984,2022-12-04 11:01:35+00:00,HwieSek,"@Aryprasetyo85 @PDemokrat @AgusYudhoyono @FerdinandHutah6 @alifahzi @Putri_Aalona2 @Arida_237 @ex_AnakLolina @vita_AVP @DS_yantie @denni_sauya Serasi sama sama tidak bermutu 
🤣🤣🤣🤣🤣 https://t.co/pcaXMSsVYr",serasi bermutu 🤣🤣🤣🤣🤣,serasi mutu
1599358078939693062,2022-12-04 11:00:55+00:00,DemokratProbo1,"@agusyudhoyono bersama tuan rumah Round Table Discussion di University of Melbourne Prof. Vedi Hadiz
#AHY #AHYPimpinPerubahan #demokrat #emilsangdemokrat #demokratjatim https://t.co/5XIJ7Oeynf",tuan rumah round table discussion university of melbourne prof vedi hadiz,tuan rumah round table discussion university of melbourne prof vedi hadiz
1599356568956731398,2022-12-04 10:54:55+00:00,ProfylHenuk,"Orang Kupang bilang @AgusYudhoyono bekin hati enak hanya ketemu ""Menlu"" bayangan sa berarti AHY mau ketemu PM bayangan sudah susah, apalagi mau ketemu PM Terang @AlboMP sudah pasti tidak mungkin, karena @PartaiDemokrat merupakan partai gurem jadi AHY hanya paksa diri tutup malu. https://t.co/zmh6paiHH8",kupang bilang bekin hati ketemu menlu bayangan sa ahy ketemu pm bayangan susah ketemu pm terang partai gurem ahy paksa tutup malu,kupang bilang bekin hati ketemu menlu bayang sa ahy ketemu pm bayang susah ketemu pm terang partai gurem ahy paksa tutup malu
1599354830262525952,2022-12-04 10:48:00+00:00,Tarso50726830,@AgusYudhoyono Ngaruh gak yaa?,ngaruh yaa,ngaruh yaa
1599353225467297792,2022-12-04 10:41:38+00:00,pissi_piccasso,@AgusYudhoyono rakyat (huruf kecil) mungkin akan merasa tidak baik² saja kalo melihat RAKYAT (HURUF BESAR) keluyuran keluar negeri melulu...... https://t.co/WEMqPzubd4,rakyat huruf baik² kalo rakyat huruf keluyuran negeri melulu,rakyat huruf baik kalo rakyat huruf keluyur negeri melulu
1599352737950740481,2022-12-04 10:39:41+00:00,macanutara_,@Jokotar04811029 @AgusYudhoyono @PDemokrat LO BABI PIARAN ISTANA KODOK 🤣🤣🤣,lo babi piaran istana kodok 🤣🤣🤣,lo babi piaran istana kodok
1599351560525721602,2022-12-04 10:35:01+00:00,MARQUEZ__93,@JohnDamanik0408 @PDemokrat @SBYudhoyono @AgusYudhoyono @jokowi @ganjarpranowo @gibran_tweet @PDI_Perjuangan @psi_id @PKSejahtera @Gerindra @DPP_PKB @DPP_PPP @DPPPerindo @dpp_pan Luar biasah ya Anies 🤣🤣,biasah anies 🤣🤣,biasah anies
1599351246691135488,2022-12-04 10:33:46+00:00,Kayakuwek,@ahmadyan83 @ch_chotimah2 @AgusYudhoyono @NasDem @PDemokrat @PKSejahtera Yg dimaksud capres berambut putih dan berkerut ternyata PRABOWO 🤣🤣😂🤣 https://t.co/DwwaVsc5uK,capres berambut putih berkerut prabowo 🤣🤣😂🤣,capres rambut putih kerut prabowo
1599350399307481089,2022-12-04 10:30:24+00:00,Fitrinisa01,@AgusYudhoyono Oh mau jadi KACUNG AUSTRALIA🤧,oh kacung australia🤧,oh kacung australia
1599349990027296768,2022-12-04 10:28:46+00:00,Matahari_1912,@CindyBexter @RadarKorupsi @uusbustami @mueeza02 @basela71008 @IiiZahrah @paidjo2018 @k4yyona_ @yaminhariyanto @Patiunus14 @DrEvaChaniago @DrTaufan1 @CutSarina5 @effzar_za @agungmozin @nugrohost7 @HerrySuryya @DjudjuP @Mdy_Asmara1701 @IJM @HRF @HeriMaryadi15 @msaid_didu @MichelAdam5l5 @masdwika @AgusYudhoyono @SahabatAB @MuhammadJafarK4 @FPD_DPR @LAZARUSCHAKWERA @dr_koko28 @democrazymedia @resep_JSR @Fatah_drSPM @BanggaKadrun @FPKSDPRRI @RiswanHaris212 @liem_id @suryapaloh18 @NasDem @PDemokrat @aniesbaswedan @susno2g @MSKaban3 @BennyHarmanID @hincapandjaitan @Amien__Rais @RidhoRahmadi85 @say_ulva @KPU_ID 🌅KETUM Parpol PANci si Zulleha ternyata benar² P(B)ANci... Berkelit &amp; Kabur..!.🌅 https://t.co/t2C1ALCGTa,🌅ketum parpol panci zulleha benar² pbanci berkelit kabur🌅,tum parpol panci zulleha benar pbanci kelit kabur
1599348949088980992,2022-12-04 10:24:38+00:00,pd_kabtangerang,"Kader DPC  PD Kab. Tangerang bantu korban gempa cianjur.

#ahypemimpinperubahaban #ahymudaadalahkekuatan @pdemokrat @agusyudhoyono @dpddemokratbanten @viajayabaya @cak_nawa @0j0dumeh @sahabat_muhammad_azis https://t.co/FybxLdkGzX",kader dpc pd kab tangerang bantu korban gempa cianjur,kader dpc pd kab tangerang bantu korban gempa cianjur
