id,dateTime,userName,content,clean_text,clean_text_stem
1599371081642840064,2022-12-04 11:52:35+00:00,suketi666,@Mdy_Asmara1701 @aniesbaswedan Semoga di sana @aniesbaswedan menjelaskan kondisi pohon monas yg di sehatkan ada di mana jadi kita selain bisa berdoa buat kesehatan pohon pohon itu juga kita jenguk sambil bawa pupuk.... Iya gak.. Namti hutan jg di sehatkan yaaa tapi jgn gak jelas loh,semoga kondisi pohon monas sehatkan berdoa kesehatan pohon pohon jenguk bawa pupuk iya namti hutan sehatkan yaaa jgn loh,moga kondisi pohon monas sehat doa sehat pohon pohon jenguk bawa pupuk iya namti hutan sehat yaaa jgn loh
1599371081231798272,2022-12-04 11:52:35+00:00,CarlaP5a,@Anak__Ogi @aniesbaswedan  naek jet nya oligarki nih😁,naek jet oligarki nih😁,naek jet oligarki nih
1599371075372318720,2022-12-04 11:52:33+00:00,KaredokLeunca__,@MediaMusicMania @prabowo @aniesbaswedan @jokowi Iya....alias belum jelas gkgkgk😜😂🤣,iyaalias gkgkgk😜😂🤣,iyaalias gkgkgk
1599371068422385665,2022-12-04 11:52:32+00:00,Haryrech46,@BriyantBraspla @NasDem @aniesbaswedan @bawaslu_RI baca lagi apa ketentuan kampanye bapak,baca ketentuan anye,baca tentu anye
1599371063154339841,2022-12-04 11:52:30+00:00,LaodeHanifa,@aniesbaswedan @NasDem @dpw_nasdem_aceh Tai,tai,tai
1599371011233058817,2022-12-04 11:52:18+00:00,rintohi71,"@aniesbaswedan @NasDem Yes, semangat p Anis,aku selalu mendukung mu",yes semangat anisaku mendukung mu,yes semangat anisaku dukung mu
1599370989460422656,2022-12-04 11:52:13+00:00,Candra77779216,@a8a86983bda44dd @bangpoerslalu @P_etkLeeSegh @aniesbaswedan Pki teriak pki,pki teriak pki,pki teriak pki
1599370974126043137,2022-12-04 11:52:09+00:00,PutraBachtiar9,@trieva051 @SemestaBicara11 @aniesbaswedan @Dennysiregar7 Anjing dan babi lebih mulia drpd lu bangsat turunan haram jadah jahanam @trieva051 !!! Lu biasa nangkring di pohon ya jadah bedebah !!!😜,anjing babi mulia drpd bangsat turunan haram jadah jahanam nangkring pohon jadah bedebah 😜,anjing babi mulia drpd bangsat turun haram jadah jahanam nangkring pohon jadah bedebah
1599370950008795136,2022-12-04 11:52:04+00:00,KaredokLeunca__,@Siantar72 @prabowo @aniesbaswedan @jokowi Okeh..gkgkgk😜😂🤣,okehgkgkgk😜😂🤣,okehgkgkgk
1599370830034919425,2022-12-04 11:51:35+00:00,Affan69251408,@aniesbaswedan @NasDem SEMUA YAMAN BINATANG INI DIPIARA AMERIKA https://t.co/i0tdoqLZLI,yaman binatang dipiara amerika,yaman binatang piara amerika
