id,dateTime,userName,content,clean_text,clean_text_stem
1599370264282034177,2022-12-04 11:49:20+00:00,aries_bintan,@onni_saputra994 @PKI_PERJUANGAN_ @nusantara_one @ListyoSigitP @ganjarpranowo kalo tampilan durasinya ga ada jangan di klik,kalo ilan durasinya ga klik,kalo ilan durasi ga klik
1599370093309603840,2022-12-04 11:48:39+00:00,Dhanidjafar,@ganjarpranowo Mau capres tapi pernah terima duit e-KTP waktu itu,capres terima duit ektp waktu,capres terima duit ektp waktu
1599369965005836288,2022-12-04 11:48:09+00:00,disdukcapil_pml,"PELAYANAN JEMPUT BOLA AKTA KELAHIRAN bagi warga se-Kec Randudongkal di Desa Kejene - Kec Randudongkal, Minggu, 4/12/2022. Monggo merapat Aden @ganjarpranowo @dukcapil_jateng @Mansur_Hidayat2 @PemkabPemalang Akta Kelahiran LANGSUNG JADI &amp; GRATIIISS!!! #gisa #dukcapil #pemalang https://t.co/ufFPSWYdq2",pelayanan jemput bola akta kelahiran warga sekec randudongkal desa kejene kec randudongkal minggu monggo merapat aden akta kelahiran gratiiiss,layan jemput bola akta lahir warga sekec randudongkal desa kejene kec randudongkal minggu monggo rapat aden akta lahir gratiiiss
1599369928389586947,2022-12-04 11:48:00+00:00,Masrizani,@BagusPribumi @ganjarpranowo Sukarno nggak hobi bokep. Tapi tukang kawin..... jangan2 kusno yang jadi pemain bokepnya ya,sukarno nggak hobi bokep tukang kawin kusno pemain bokepnya,sukarno nggak hobi bokep tukang kawin kusno main bokepnya
1599369898844901376,2022-12-04 11:47:53+00:00,disdukcapil_pml,"PELAYANAN DOKUMEN KEPENDUDUKAN &amp; AKTA CAPIL dalam setiap giat CAR FREE DAY di Alun-Alun Pemalang, Minggu, 4/12/2022 mulai jam 06.00-09.00 WIB. Monggo merapat Aden @ganjarpranowo @dukcapil_jateng @Mansur_Hidayat2 @PemkabPemalang Seluruh Plyn GRATIIISSS!! #gisa #dukcapil #pemalang https://t.co/JIJqvpUVr5",pelayanan dokumen kependudukan akta capil giat car free day alunalun pemalang minggu jam wib monggo merapat aden plyn gratiiisss,layan dokumen duduk akta capil giat car free day alunalun malang minggu jam wib monggo rapat aden plyn gratiiisss
1599369850555895808,2022-12-04 11:47:41+00:00,lastiko,@SuaraWargaSkh @ganjarpranowo @erickthohir @puanmaharani_ri @Hj_EtikSuryani @sukoharjo_kab @satpolsukoharjo @bawaslukab_skh Jln mangesti Deket lapangan Gentan juga ada min,jln mangesti deket lapangan gentan min,jln mangesti deket lapang gentan min
1599368868077932545,2022-12-04 11:43:47+00:00,_Umamlik,"Pak @ganjarpranowo 
Cari spotnya tau aja nih 😊
Jennie jadi sasaran kan jadi malu tuh 
Saya bilangin bu Atikoh loh pak😛
Hasilnya jepretannya keren pak 🤣🤣🤣🤣 https://t.co/P2OdoHjv9c",cari spotnya tau aja nih 😊 jennie sasaran malu tuh bilangin bu atikoh loh pak😛 hasilnya jepretannya keren 🤣🤣🤣🤣,cari spotnya tau aja nih jennie sasar malu tuh bilangin bu atikoh loh pak hasil jepret keren
1599368430595211264,2022-12-04 11:42:03+00:00,ugan_jefe,@ganjarpranowo @SIntianto GP-ET 👍👍👍,gpet 👍👍👍,gpet
1599368421741047809,2022-12-04 11:42:01+00:00,zeinvey,"@ganjarpranowo Lawan mafia di daerah kekuasaan aja LUMPUH, gimana mau lawan mafia di daerah lain??? 👎👎👎",lawan mafia daerah kekuasaan aja lumpuh gimana lawan mafia daerah 👎👎👎,lawan mafia daerah kuasa aja lumpuh gimana lawan mafia daerah
1599368165599109122,2022-12-04 11:41:00+00:00,jhonsjokers,@Julian_s_w @BangSurya72 @ganjarpranowo Jateng Daerah urut sewu kebumen,jateng daerah urut sewu kebumen,jateng daerah urut sewu kebumen
