id,dateTime,userName,content,clean_text,clean_text_stem
1599315396938829824,2022-12-04 08:11:19+00:00,indagjabar,"#Insight with @desianwar bersama Gubernur Jawa Barat, @ridwankamil akan membahas bagaimana peluang kerja sama Indonesia dalam East Asia Local and Regional Government Congress ke-11.

Saksikan selengkapnya, Minggu (4/12) pukul 18.00 WIB di https://t.co/mfmeuhHwam! https://t.co/t9s10MF1qV",with gubernur jawa barat membahas peluang indonesia east asia local and regional government congress saksikan selengkapnya minggu wib,with gubernur jawa barat bahas peluang indonesia east asia local and regional government congress saksi lengkap minggu wib
1599315302688624640,2022-12-04 08:10:56+00:00,Meey1235,"@AdilJuju @Diek_Clev @Karsono12732862 @tanya_napa @Biang05553051 @brew_oq @Wawan_74 @Afridu6 @yantireinke @Sigromilir01 @winoto_ali @mamat_tobat @Anwarbohebo @HeryIdris5 @ESitohag @Uplu7 @NembeNetes @panjianom102 @veelgeno @Bonaleles @AlamTimur3 @syahriyalkamil @topan268 @suprayoga123 @ntar_yaa @rondamedsos @alekda @Jebenk63285910 @12uwongdeso @wbintoro101209 @shield17845 @mahasiswigenz @KemurahanTuhan @K7_m0en @Mantova42167289 @Wandystjk @dwynur666 @salimbonim @AKamas0911 @Juniwun_007 @Humaira922 @ridwankamil @H_HermanCianjur @infocianjur @PemkabCianjur @pemkabcjr @BPBDJabar @Poldajabar @ResNgawi @TukangMu Tidak bisa kerja 
Menghabiskan anggaran dgn pembangunan receh..tak brtma faat bat  warga..duduk manis di dlm ruangan ber ACP... 
Terakhir rekam jejak... di dukung ormas2 radikal..di dukung. Intoleran.. uang negara di hambur2 kan bat org2 yg ada di dekatnya.",menghabiskan anggaran pembangunan recehtak brtma faat bat wargaduduk manis ruangan ber acp rekam jejak dukung radikaldi dukung intoleran uang negara bat dekatnya,habis anggar bangun recehtak brtma faat bat wargaduduk manis ruang ber acp rekam jejak dukung radikaldi dukung intoleran uang negara bat dekat
1599314885711495169,2022-12-04 08:09:17+00:00,Diek_Clev,@yantireinke @Wawan_74 @mR_4tha @Anwarbohebo @brew_oq @mamat_tobat @K7_m0en @panjianom102 @winoto_ali @Karsono12732862 @tanya_napa @Biang05553051 @gumukcandi @AdilJuju @Afridu6 @Sigromilir01 @HeryIdris5 @ESitohag @Meey1235 @Uplu7 @NembeNetes @veelgeno @Bonaleles @AlamTimur3 @syahriyalkamil @topan268 @suprayoga123 @ntar_yaa @rondamedsos @alekda @Jebenk63285910 @12uwongdeso @wbintoro101209 @shield17845 @mahasiswigenz @KemurahanTuhan @Mantova42167289 @Wandystjk @dwynur666 @salimbonim @AKamas0911 @Juniwun_007 @Humaira922 @ridwankamil @H_HermanCianjur @infocianjur @PemkabCianjur @pemkabcjr @BPBDJabar Paling kau ini.😀😀🤣🤣🤣🤣 https://t.co/SMwolUC5vo,kau ini😀😀🤣🤣🤣🤣,kau ini
1599314095681200129,2022-12-04 08:06:08+00:00,Diek_Clev,"@Uplu7 @Karsono12732862 @AdilJuju @tanya_napa @Biang05553051 @brew_oq @Wawan_74 @Afridu6 @yantireinke @Sigromilir01 @winoto_ali @mamat_tobat @Anwarbohebo @HeryIdris5 @ESitohag @Meey1235 @NembeNetes @panjianom102 @veelgeno @Bonaleles @AlamTimur3 @syahriyalkamil @topan268 @suprayoga123 @ntar_yaa @rondamedsos @alekda @Jebenk63285910 @12uwongdeso @wbintoro101209 @shield17845 @mahasiswigenz @KemurahanTuhan @K7_m0en @Mantova42167289 @Wandystjk @dwynur666 @salimbonim @AKamas0911 @Juniwun_007 @Humaira922 @ridwankamil @H_HermanCianjur @infocianjur @PemkabCianjur @pemkabcjr @BPBDJabar @Poldajabar @ResNgawi @TukangMu Kan buat cianjur.
Mang korban bencana cianjur kadrun.????",cianjur mang korban bencana cianjur kadrun,cianjur mang korban bencana cianjur kadrun
1599313943037902848,2022-12-04 08:05:32+00:00,RaqhuelH,@ridwankamil gubernur medsos,gubernur medsos,gubernur medsos
1599313918845149184,2022-12-04 08:05:26+00:00,Diek_Clev,"@tanya_napa @Karsono12732862 @AdilJuju @Biang05553051 @brew_oq @Wawan_74 @Afridu6 @yantireinke @Sigromilir01 @winoto_ali @mamat_tobat @Anwarbohebo @HeryIdris5 @ESitohag @Meey1235 @Uplu7 @NembeNetes @panjianom102 @veelgeno @Bonaleles @AlamTimur3 @syahriyalkamil @topan268 @suprayoga123 @ntar_yaa @rondamedsos @alekda @Jebenk63285910 @12uwongdeso @wbintoro101209 @shield17845 @mahasiswigenz @KemurahanTuhan @K7_m0en @Mantova42167289 @Wandystjk @dwynur666 @salimbonim @AKamas0911 @Juniwun_007 @Humaira922 @ridwankamil @H_HermanCianjur @infocianjur @PemkabCianjur @pemkabcjr @BPBDJabar @Poldajabar @ResNgawi @TukangMu Partai apa yg calonin dia..???
🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣😀",partai calonin 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣😀,partai calonin
1599313665840193538,2022-12-04 08:04:26+00:00,Diek_Clev,"@Uplu7 @Karsono12732862 @AdilJuju @tanya_napa @Biang05553051 @brew_oq @Wawan_74 @Afridu6 @yantireinke @Sigromilir01 @winoto_ali @mamat_tobat @Anwarbohebo @HeryIdris5 @ESitohag @Meey1235 @NembeNetes @panjianom102 @veelgeno @Bonaleles @AlamTimur3 @syahriyalkamil @topan268 @suprayoga123 @ntar_yaa @rondamedsos @alekda @Jebenk63285910 @12uwongdeso @wbintoro101209 @shield17845 @mahasiswigenz @KemurahanTuhan @K7_m0en @Mantova42167289 @Wandystjk @dwynur666 @salimbonim @AKamas0911 @Juniwun_007 @Humaira922 @ridwankamil @H_HermanCianjur @infocianjur @PemkabCianjur @pemkabcjr @BPBDJabar @Poldajabar @ResNgawi @TukangMu Oooooo...
Ini penampakan rumah dp nol rupiah ..??
Udah berapa persen warga dki yg menikmatinya..
Keberpihakan..???🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣",oooooo pen rumah dp nol rupiah udah persen warga dki menikmatinya keberpihakan🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,oooooo pen rumah dp nol rupiah udah persen warga dki nikmat pihak
1599310149508042753,2022-12-04 07:50:28+00:00,arifbsantoso,"@pandusatria_32 @emerson_yuntho @ridwankamil Maaf, plus lagi perawatan kulit.",maaf plus perawatan kulit,maaf plus awat kulit
1599309296583733248,2022-12-04 07:47:04+00:00,andhykaCOMs,"@PutraTouring @ndasmuabuh @Hristomilano @dellmarHarlinyo @HelmiFelis_ @aniesbaswedan @ridwankamil Karena gak ada otak dan gak tau malu , UD ilegal tapi masih sok eksis , UD tau tinggal di RI tapi gak mau ikutin aturan negara , cabut aja ke gurun sana 🤣🤣🤣",otak tau malu ud ilegal sok eksis ud tau tinggal ri ikutin aturan negara cabut aja gurun 🤣🤣🤣,otak tau malu ud ilegal sok eks ud tau tinggal ri ikutin atur negara cabut aja gurun
1599306544109490177,2022-12-04 07:36:08+00:00,pandusatria_32,"@emerson_yuntho Maaf kak, aa lagi sibuk mengurus gempa...
Ttd
@ridwankamil",maaf kak aa sibuk mengurus gempa ttd,maaf kak aa sibuk urus gempa ttd
