id,dateTime,likes,content,clean_text,clean_text_stem
1599249056735571969,2022-12-04 03:47:42+00:00,2202,"Ba’a kaba?

Alhamdulillah, senang bisa kembali lagi ke Ranah Minang.

Terima kasih atas sambutan hangat teman-teman sejak dari Bandara Internasional Minangkabau hingga Padang Panjang, walaupun semalam sempat diguyur hujan. Semoga silaturahmi ini tetap terjaga.

#UntukIndonesia https://t.co/E6CRuzGfs3",ba’a kaba alhamdulillah senang ranah minang terima kasih sambutan hangat temanteman bandara internasional minangkabau padang semalam diguyur hujan semoga silaturahmi terjaga,ba a kaba alhamdulillah senang ranah mang terima kasih sambut hangat temanteman bandara internasional minangkabau padang malam guyur hujan moga silaturahmi jaga
1599046142716948482,2022-12-03 14:21:23+00:00,1004,"Siap menjadi bagian dari perubahan? Siap untuk berjalan bersama?

#JalanSehatRestorasi #AniesBaswedan #UntukIndonesia #Aceh #BandaAceh

https://t.co/XhM6IGprZu https://t.co/j1IKF8O2xR",perubahan berjalan,ubah jalan
1599046132554141697,2022-12-03 14:21:21+00:00,1467,"Kepada seluruh masyarakat Aceh, terima kasih telah ambil bagian dalam perjuangan ini. Terima kasih telah menunjukkan bahwa kita adalah rombongan perubahan yang membawa keteduhan. Insya Allah keberhasilan dari Aceh akan menular ke daerah lain di Indonesia.

#UntukIndonesia https://t.co/spT7hG6Ynv",masyarakat aceh terima kasih ambil perjuangan terima kasih rombongan perubahan membawa keteduhan insya allah keberhasilan aceh menular daerah indonesia,masyarakat aceh terima kasih ambil juang terima kasih rombong ubah bawa teduh insya allah hasil aceh tular daerah indonesia
1599046120294191104,2022-12-03 14:21:18+00:00,6580,"Hari ini, kita meniatkan untuk jalan sehat dan Alhamdulillah, Allah teduhkan bumi Banda Aceh untuk kita jalan bersama.

Kami ingin mengajak semua. Mari kita berjuang sama-sama, untuk bisa melakukan perubahan demi hadirnya rasa keadilan bagi semua.

#UntukIndonesia https://t.co/g02I1KtpaK",meniatkan jalan sehat alhamdulillah allah teduhkan bumi banda aceh jalan mengajak mari berjuang samasama perubahan hadirnya keadilan,niat jalan sehat alhamdulillah allah teduh bumi banda aceh jalan ajak mari juang samasama ubah hadir adil
1598985310016180224,2022-12-03 10:19:40+00:00,3245,"Semalam nobar Piala Dunia: Portugal Vs Korea Selatan. Saya menjagokan Korsel dan akhirnya lolos ke 16 besar! 

Kejutan yang menyenangkan, saat tim underdog mengalahkan tim yang selalu diunggulkan. 

Tim mana yang menjadi jagoan teman-teman di Piala Dunia? https://t.co/XWazu3IBss",semalam nobar piala dunia portugal korea selatan menjagokan korsel lolos kejutan menyenangkan tim underdog mengalahkan tim diunggulkan tim jagoan temanteman piala dunia,malam nobar piala dunia portugal korea selatan jago korsel lolos kejut senang tim underdog kalah tim unggul tim jago temanteman piala dunia
1598897513809207297,2022-12-03 04:30:48+00:00,1085,"Kiban, kaleuh neu jep kupi beungoeh nyo?
(Gimana, sudah ngopi pagi ini?)

https://t.co/pMKz5wORTo https://t.co/XMFpOMOkGo",kiban kaleuh neu jep kupi beungoeh nyo gimana ngopi pagi,kiban kaleuh neu jep kupi beungoeh nyo gimana ngopi pagi
1598897503692554240,2022-12-03 04:30:45+00:00,3952,"Senang sekali semalam bisa mampir ngopi sambil nobar piala dunia di Waroeng Pak Haji, Lamlagang, Banda Aceh. Sempat diajarkan juga cara meracik kopi Aceh, yang harus disaring berkali-kali, setiap kedai bisa menghasilkan cita rasa kopi yang berbeda. https://t.co/RGt4BvjRH2",senang semalam ir ngopi nobar piala dunia waroeng haji lamlagang banda aceh diajarkan meracik kopi aceh disaring berkalikali kedai menghasilkan cita kopi berbeda,senang malam ir ngopi nobar piala dunia waroeng haji lamlagang banda aceh ajar racik kopi aceh saring berkalikali kedai hasil cita kopi beda
1598863910098329601,2022-12-03 02:17:16+00:00,1160,Sarapan pagi di Kopi Solong… https://t.co/Czu3NPpwPl,sarapan pagi kopi solong…,sarap pagi kopi solong
1598714861856624640,2022-12-02 16:25:00+00:00,8049,"Alhamdulillah, dapat kembali ke Serambi Mekah, kembali bersujud di Masjid Raya Baiturrahman.

Kami merasa terhormat atas sambutan hangat warga Aceh yang luar biasa. Insya Allah silaturahmi hari ini makin mempererat persaudaraan kita.

#AniesBaswedan #SilaturahmiKebangsaan #Aceh https://t.co/0IlbIFZPgB",alhamdulillah serambi mekah bersujud masjid raya baiturrahman terhormat sambutan hangat warga aceh insya allah silaturahmi mempererat persaudaraan,alhamdulillah serambi mekah sujud masjid raya baiturrahman hormat sambut hangat warga aceh insya allah silaturahmi erat saudara
1598701161728835586,2022-12-02 15:30:34+00:00,2135,"Innalilllahi wa inna ilaihi raji'un. Turut berdukacita atas berpulangnya Bpk. Ferry Mursyidan Baldan (Menteri ATR/Kepala BPN 2014-2016). Insya Allah husnul khatimah. Semoga keluarga yang ditinggalkan senantiasa diberikan ketabahan, kesabaran dan keikhlasan.",innalilllahi wa inna ilaihi rajiun berdukacita berpulangnya bpk ferry mursyidan baldan menteri atrkepala bpn insya allah husnul khatimah semoga keluarga ditinggalkan senantiasa ketabahan kesabaran keikhlasan,innalilllahi wa inna ilaihi rajiun dukacita pulang bpk ferry mursyid baldan menteri atrkepala bpn insya allah husnul khatimah moga keluarga tinggal senantiasa tabah sabar ikhlas
1598541565215248384,2022-12-02 04:56:23+00:00,8713,"Alhamdulillah, telah mendarat di Aceh. Skrng menuju Masjid Raya. https://t.co/jmiGvHwhrb",alhamdulillah mendarat aceh skrng masjid raya,alhamdulillah darat aceh skrng masjid raya
1598512287727616002,2022-12-02 03:00:02+00:00,5867,"Peu haba?

Insya Allah siang ini akan Salat Jumat di Masjid Raya Baiturrahman, Banda Aceh. Mari berjumpa di sana.

#JumatBerkah",peu haba insya allah siang salat jumat masjid raya baiturrahman banda aceh mari berjumpa,peu haba insya allah siang salat jumat masjid raya baiturrahman banda aceh mari jumpa
1598126002504617986,2022-12-01 01:25:05+00:00,1439,"Terus maju, Jakarta! https://t.co/JRmJrfLsTf",maju jakarta,maju jakarta
1597578267040497664,2022-11-29 13:08:35+00:00,200,"Tonton selengkapnya di Youtube Anies Baswedan.

https://t.co/YhJL7il7BL

#AniesBaswedan #KAHMI #OrasiKebangsaaan #UntukIndonesia",tonton selengkapnya youtube anies baswedan,tonton lengkap youtube anies baswedan
1597578261260693505,2022-11-29 13:08:33+00:00,3804,"Orasi Kebangsaan saat menghadiri malam silaturahmi Munas XI KAHMI di Kota Palu, Sulawesi Tengah, 24 November 2022. 

#AniesBaswedan #KAHMI #OrasiKebangsaan #UntukIndonesia https://t.co/gaKfQ1dXga",orasi kebangsaan menghadiri malam silaturahmi munas xi kahmi kota palu sulawesi tengah november,orasi bangsa hadir malam silaturahmi munas xi kahmi kota palu sulawesi tengah november
1597119580853633024,2022-11-28 06:45:55+00:00,5082,"Selamat ulang tahun ke-94 @Persija_Jkt! 

Salam hormat, salam hangat untuk semuanya yang bekerja keras di lapangan dan di luar lapangan.

Bangkitkan semangat dan raih kembali kejayaan.

#Risin94Glory #94thPersija #HUTPersija https://t.co/yfTauXQTTc",selamat ulang tahun hormat hangat keras lapangan lapangan bangkitkan semangat raih kejayaan,selamat ulang tahun hormat hangat keras lapang lapang bangkit semangat raih jaya
1596793491883175936,2022-11-27 09:10:10+00:00,895,"Kini Mas Novan membuka barbershop di Lebak Bulus 1, masih dekat rumah. Bagi teman-teman yg tinggal di Lebak Bulus silakan mampir ke IG/arthamara.barbershop. Dan khusus bagi guru sedang ada promo pangkas rambut gratis sampai tanggal 30 November nanti.

https://t.co/SlXRCP64lh https://t.co/xEdRCYVUL6",mas novan membuka barbershop lebak bulus rumah temanteman tinggal lebak bulus silakan ir igarthamarabarbershop guru promo pangkas rambut gratis ai tanggal november,mas novan buka barbershop lebak bulus rumah temanteman tinggal lebak bulus sila ir igarthamarabarbershop guru promo pangkas rambut gratis ai tanggal november
1596793483527745536,2022-11-27 09:10:08+00:00,747,"Selama ini 1-2 kali per bulan ia kami panggil ke rumah untuk mencukur atau sekadar merapikan. Orangnya pekerja keras, sangat perhatian pada detil. Saya juga pernah mampir ke rumahnya, sudah seperti keluarga. https://t.co/33eZc7QDHm",panggil rumah mencukur merapikan orangnya pekerja keras perhatian detil ir rumahnya keluarga,panggil rumah cukur rapi orang kerja keras perhati detil ir rumah keluarga
1596793474631622656,2022-11-27 09:10:05+00:00,902,"Kalau sedang cukur di kesempatan lain, ia sering cerita bahwa tiap lihat saya di TV/ berita online, dan ia perhatikan rambut saya sambil berpikir apa lagi yg perlu diperbaiki. Ini namanya tukang cukur yg bawa solusi dan selalu memperbaiki diri, bukan sekadar mengerjakan tugas. https://t.co/wdoaURdxjt",cukur kesempatan cerita tv berita online perhatikan rambut berpikir diperbaiki namanya tukang cukur bawa solusi memperbaiki tugas,cukur sempat cerita tv berita online perhati rambut pikir baik nama tukang cukur bawa solusi baik tugas
