ID;Datetime;Likes;Content;clean_text;text_token
1595998502978396160;2022-11-25 04:31:09+00:00;71;Di sela-sela upacara dan launching tadi, seneng banget bisa ikut nari topeng ireng. Dan karena ini adalah Jumat terakhir, pada upacara ini seluruh pesertanya juga mengenakan pakaian tradisional nusantara.;selasela upacara launching neng banget nari topeng ireng jumat upacara pakai tradisional nusantara;['selasela', 'upacara', 'launching', 'neng', 'banget', 'nari', 'topeng', 'ireng', 'jumat', 'upacara', 'pakai', 'tradisional', 'nusantara']
1595998477917442049;2022-11-25 04:31:04+00:00;68;kita launching sistem-sistem yang bisa membantu siswa dan guru lebih termotivasi, lebih berprestasi dan lebih gampang dalam pelayanan, semua lini di pendidikan bisa dikoordinasikan. Sehingga ke depan SDM yang unggul benar-benar diciptakan.;launching sistemsistem bantu siswa guru motivasi prestasi ang layan lini didik koordinasi sdm unggul benarbenar cipta;['launching', 'sistemsistem', 'bantu', 'siswa', 'guru', 'motivasi', 'prestasi', 'ang', 'layan', 'lini', 'didik', 'koordinasi', 'sdm', 'unggul', 'benarbenar', 'cipta']
1595998376075878400;2022-11-25 04:30:39+00:00;46;Aplikasi ketiga, yaitu Dokumen Usulan Perencanaan Layanan Pendidikan dan Kebudayaan (Duren Pulen) yang dibuat untuk pengendalian perencanaan pendidikan di Dinas Pendidikan dan Kebudayaan (Disdikbud) Jateng.;aplikasi dokumen usul rencana layan didik budaya duren pulen kendali rencana didik dinas didik budaya disdikbud jateng;['aplikasi', 'dokumen', 'usul', 'rencana', 'layan', 'didik', 'budaya', 'duren', 'pulen', 'kendali', 'rencana', 'didik', 'dinas', 'didik', 'budaya', 'disdikbud', 'jateng']
1595998324959551489;2022-11-25 04:30:27+00:00;42;"Kemudian Digitalisasi Penilaian Angka Kredit Guru (Si Pungker Merak); untuk memudahkan para guru dalam mewujudkan peningkatan karir guru di Jawa Tengah.";digitalisasi nilai angka kredit guru si pungker merak mudah guru wujud tingkat karir guru jawa tengah;['digitalisasi', 'nilai', 'angka', 'kredit', 'guru', 'si', 'pungker', 'merak', 'mudah', 'guru', 'wujud', 'tingkat', 'karir', 'guru', 'jawa', 'tengah']
1595998078414487552;2022-11-25 04:29:28+00:00;87;"Yakni Sistem Informasi dan Data Kebekerjaan SMK (Sidak SMK); ditujukan bagi para siswa dan lulusan SMK serta dunia usaha dengan harapan memudahkan mix and match serapan tenaga kerja. https://t.co/UARy70QkX0";sistem informasi data smk sidak smk siswa lulus smk dunia usaha harap mudah mix and match serap tenaga;['sistem', 'informasi', 'data', 'smk', 'sidak', 'smk', 'siswa', 'lulus', 'smk', 'dunia', 'usaha', 'harap', 'mudah', 'mix', 'and', 'match', 'serap', 'tenaga']
1595998028606820358;2022-11-25 04:29:16+00:00;143;Dalam upaya melakukan perubahan besar, ada tiga aplikasi yang kita luncurkan pada peringatan Hari Guru Nasional ini. https://t.co/lXVmCuSrmJ;upaya ubah aplikasi luncur guru nasional;['upaya', 'ubah', 'aplikasi', 'luncur', 'guru', 'nasional']
1595997900219088896;2022-11-25 04:28:46+00:00;164;"Satu huruf, satu angka yang kita terima tak akan pernah terbayar walau diganti air samudera seisinya. 

Selamat Hari Guru. Hormati dan takdzimlah pada guru. Dialah pengawal dan penerang jiwa kita. https://t.co/nBvXZWwTeT";huruf angka terima bayar ganti air samudera isi selamat guru hormat takdzimlah guru terang jiwa;['huruf', 'angka', 'terima', 'bayar', 'ganti', 'air', 'samudera', 'isi', 'selamat', 'guru', 'hormat', 'takdzimlah', 'guru', 'terang', 'jiwa']
1595997767281041408;2022-11-25 04:28:14+00:00;1102;Setinggi apapun derajatnya, kita tetaplah seorang siswa. Yang telah dibuka setiap pandangannya, yang telah digandeng setiap lambaian tangannya dan yang telah ditunjukkan arah pada setiap langkahnya. https://t.co/qNkHGuyBq6;derajat siswa buka pandang gandeng lambai tangan arah langkah;['derajat', 'siswa', 'buka', 'pandang', 'gandeng', 'lambai', 'tangan', 'arah', 'langkah']
1595767280000196611;2022-11-24 13:12:22+00:00;1174;"Sejak hari pertama Gempa Cianjur, saya terus berkomunikasi dengan Gubernur dan Wagub Jawa Barat. Dan hari ini kami lepas delegasi relawan dan bantuan untuk Cianjur. 

Ini tanda cinta dan persaudaraan kami warga Jawa Tengah. Salam dan doa kami untuk saudara-saudara di Cianjur. https://t.co/P7xNssMIIZ";gempa cianjur komunikasi gubernur wagub jawa barat lepas delegasi rawan bantu cianjur tanda cinta saudara warga jawa tengah doa saudarasaudara cianjur;['gempa', 'cianjur', 'komunikasi', 'gubernur', 'wagub', 'jawa', 'barat', 'lepas', 'delegasi', 'rawan', 'bantu', 'cianjur', 'tanda', 'cinta', 'saudara', 'warga', 'jawa', 'tengah', 'doa', 'saudarasaudara', 'cianjur']
1595743392503255041;2022-11-24 11:37:26+00:00;111;Semoga dengan cara ini membantu percepatan perkembangan Cilacap untuk lebih maju.;moga bantu cepat kembang cilacap maju;['moga', 'bantu', 'cepat', 'kembang', 'cilacap', 'maju']
