ID;Datetime;Likes;Content;clean_text;text_token
1595951896191127552;2022-11-25 01:25:58+00:00;381;"Selamat pagi! Semoga sukses dan lancar kegiatan sahabat hari ini.
Selamat beraktivitas.

Mohon doa dari sahabat agar rombongan bantuan dari DPC Partai @Gerindra Sidoarjo, Jawa Timur selamat sampai Cianjur. https://t.co/fEOIRUgqxK";selamat pagi moga sukses lancar giat sahabat selamat aktivitas doa sahabat rombong bantu dpc partai sidoarjo jawa timur selamat ai cianjur;['selamat', 'pagi', 'moga', 'sukses', 'lancar', 'giat', 'sahabat', 'selamat', 'aktivitas', 'doa', 'sahabat', 'rombong', 'bantu', 'dpc', 'partai', 'sidoarjo', 'jawa', 'timur', 'selamat', 'ai', 'cianjur']
1595769565392556032;2022-11-24 13:21:27+00:00;4;@farhannfiz Kalau dijawab akan tanya lebih dalam nih.;nih;['nih']
1595768763311263745;2022-11-24 13:18:15+00:00;85;Untuk para relawan yang membantu tanpa kenal lelah, jaga kesehatan, jaga kekompakan dan semangat. Semoga Allah Subhanahu Wata'ala, Tuhan Yang Maha Kuasa senantiasa melindungi, menjaga anda beserta keluarga, selama anda menuntaskan tugas kemanusiaan ini. Aamiin.;rawan bantu kenal lelah jaga sehat jaga kompak semangat moga allah subhanahu wataala tuhan maha kuasa senantiasa lindung jaga keluarga tuntas tugas manusia aamiin;['rawan', 'bantu', 'kenal', 'lelah', 'jaga', 'sehat', 'jaga', 'kompak', 'semangat', 'moga', 'allah', 'subhanahu', 'wataala', 'tuhan', 'maha', 'kuasa', 'senantiasa', 'lindung', 'jaga', 'keluarga', 'tuntas', 'tugas', 'manusia', 'aamiin']
1595768395366289409;2022-11-24 13:16:48+00:00;83;Turut kita doakan para korban lainnya agar diberi kesembuhan, kekuatan serta semangat yang besar untuk menata hidup dan membangun kembali daerahnya. Aamiin.;doa korban sembuh kuat semangat tata hidup bangun daerah aamiin;['doa', 'korban', 'sembuh', 'kuat', 'semangat', 'tata', 'hidup', 'bangun', 'daerah', 'aamiin']
1595768198976004096;2022-11-24 13:16:01+00:00;317;Semoga saudara kita yang meninggal akibat gempa Cianjur masuk ke dalam golongan yang syahid dan kepada keluarga yang ditinggalkan diberi ketabahan dan keikhlasan. Aamiin.;moga saudara tinggal akibat gempa cianjur golong syahid keluarga tinggal tabah ikhlas aamiin;['moga', 'saudara', 'tinggal', 'akibat', 'gempa', 'cianjur', 'golong', 'syahid', 'keluarga', 'tinggal', 'tabah', 'ikhlas', 'aamiin']
1595766134493437953;2022-11-24 13:07:49+00:00;6;@masebolali Semoga segera kembali semangat para saudara kita di Cianjur.;moga semangat saudara cianjur;['moga', 'semangat', 'saudara', 'cianjur']
1595765901848375296;2022-11-24 13:06:53+00:00;17;@zarazettirazr Apakabar mbak @zarazettirazr ? Semoga dalam keadaan baik.;apakabar mbak moga;['apakabar', 'mbak', 'moga']
1595763572985909248;2022-11-24 12:57:38+00:00;4;@M_ninetySix_You @Kemhan_RI Saya sudah teruskan info anda ke pihak terkait. Semoga bantuan bisa segera sampai.;info kait moga bantu ai;['info', 'kait', 'moga', 'bantu', 'ai']
1595758976477827073;2022-11-24 12:39:22+00:00;166;Terima kasih. https://t.co/Y9cOuRynQX;terima kasih;['terima', 'kasih']
1595757535197560840;2022-11-24 12:33:38+00:00;55;@Gerindra Laporan diterima. Terima kasih. Jangan lupa untuk memantau kesehatan dan stamina rekan @gerindra yang sedang menjadi relawan di Cianjur. Kalau perlu lakukan rotasi berkala dengan kader lain.;lapor terima terima kasih lupa pantau sehat stamina rekan rawan cianjur rotasi kader;['lapor', 'terima', 'terima', 'kasih', 'lupa', 'pantau', 'sehat', 'stamina', 'rekan', 'rawan', 'cianjur', 'rotasi', 'kader']
