,0
0,biarkan menguasai indonesia sumber
1,aja nih menyebar hoax bencana kepentingan pribada
2,alasan
3,aa kumbara diiktuin bahaya
4,peta politik pulau jawa kesana haha
5,memenag menjalin hubungan separtai
6,yakali kaga om
7,nyuruh
8,om mad ngegas hehehe
9,google atuh
10,survey gimanapun jga teratas kayak useless aja survey hehehe
11,aneh om
12,freak anjr
13,anjay bohong arak bohong
14,anjay didepan
15,cie nungguin
16,buruk haters aaaatut
17,maklum donk
18,donk karna pemimpin buruk
19,hidup buruh
20,berbeda
21,banget negara konoha berbicara hukum tumpul keatas
22,setuju pokoknya pemaksaan nih wkwkwk
23,ngga kuat biar wkwkwk
24,keliatan wkwkwk
25,ambigu gimana nich
26,nanya geli deh bacanya
27,typonya
28,biar dirugikan
29,sih
30,takut digugat salah tindakannya
31,bener banget dasar hukum rawan digugat
32,bener banget oknum berat
33,biarkan berasumsi pekerja patuh peraturan
34,rakyat mengecewakan pokoknya
35,aja oknum ditengahi menang
36,gaboleh keberatan donk biar badan aja berat ditambah
37,dipaksa maju kedepan menghadapi permasalahan apapun jdi wajar terima usulannya
38,badai
39,rcn paksa infak all masdjid potensi gempa garut ide aja segitu sih serong kcjb ikn
40,yoh
41,wes bener manut
42,sih yess calon kandidat blm tentukan opini deh
43,emmmt saingan calon tentukan menunggu sih
44,gtu ga tau kedepannya gmna tunggu calon calon kedepannya gmna
45,blm bersatu
46,gas aja deh
47,bilang blm resmikan
48,oh resmi kirain resmi
49,blm gabung
50,ngga sih wajib orientasi wkwkkw
51,engga sih
52,ai terulang sih parah banget yak
53,sih
54,gitu donk
55,yakali ngga fix sih udh kek gini
56,gaperlu
57,selot neng
58,jenggotnya botak hbs
59,pinangkan
60,nyali lawan ciut
61,anak tiktok nih tau wkwkwk
62,paniklah engga
63,buntunya ditutup beton baja
64,kek badanku berat
65,jenggotnya ludes donk
66,berbaris mundur
67,kebakaran jenggot milih gajadi nyalon
68,jadiin
69,diraguin donk mah
70,nokoment
71,lupakan doa
72,kaget sih setelahnya pengen jodoh santri mandiri wkwkwk
73,opop ngga obat
74,calon ga bersaing sebanding
75,gabisa karna pernyataan
76,atuh kang typo saking semangatnya ngetik
77,ketinggalan
78,pookoknya
79,coba cek toko sebelah hasilnya ngga masakannya
80,dingin banget butuh jaket dobel
81,mengambil keputusan mementingkan rakyatnya
82,berat nih typonya
