,0
0,pemimpin pilihan hayoo haha
1,keren 👍👍👍
2,brand ambasador😂👍🙏🇲🇨
3,wowikhtiar perubahan 👍🦾🙏🇲🇨
4,aamiin allahumma aamiin
5,selamat jalan aceh presiden ri
6,allahumma sayiban nafian 🙏 allah rabb turunkanlah keberkahan bangsa indonesia sederas hujan salah tanda tanda kebesaranmu allah 🙏 aamiin rabbalalamiin 🙏
7,bismillah
8,salut anies ga pakai payung tanda menghormati pendukungnya👍👏👏👏 👏👏👏
9,warbiasah 👍
10,minang tau pemimpin salut warga sumbar 👍
11,ayo dukung caci tumbang puji melayang the best leader
12,topbgt 👍
13,topbgt 👍
14,maju nasdem 👍 layar terkembang pantang surut kebelakang rajut persatuan rakyat perubahan
15,insyallah
16,insyallah
17,masyaallah
18,insyallah
19,aamiin yaà mujibasailin 🤲🤲🤲
20,masyaallah 👍 urang minang tau pemimpin nan sabananyo insyaallah anies baswedan presiden ri jokowi
21,up
22,allah lariskanlah dagangan aamiin
23,hebatnya insyaallah
24,hebatnya insyaallah
25,aamiin yaa rabbal aalamiin🤲
26,luarbiasa aceh
27,aamiin 🤲
28,masyaallah 👍👍👍
29,semoga allah swt meridhoinya menjaganya aamiin
30,jokowi akui👍👏
31,selamat ranah minang uda anies 🥰😍🤩
32,capres
33,sumbar bong
34,membersamai bpk bandara internasional minangkabau kota padang kota byk terlahir pemikir negeri ambil inspirasi lanjutkan perjuangan indonesia maju sejahtera
35,mas anies disambut meriah aceh terimakasih warga aceh ❤️
36,anies pendukungnya aceh berakhlak
37,aamiin allah 🤲
38,yups 👍
39,insyak allah paham politik memfitnah dowang sesuai arahan 😂😂😂
40,semoga pilpres memilih memiliki pemimpin berani pemimpin malaysia
41,buktikan anies memimpin indonesia indonesia berwibawa bermartabat adil makmur tentram sejahtera
42,bajunya keren 👍
43,yes 👍
44,aamiin allah 🤲
45,warbiasah aceh 👍👍
46,presiden indonesia tahun kemerdekaan rakyat pribumi tuan rumah negeri insya allah
47,presiden indonesia tahun kemerdekaan rakyat pribumi tuan rumah negeri insya allah
48,magnet anies
49,asli hoax👍🙏🇲🇨
50,in syaa alloh 🤲
51,senang kegirangan menjabat goodbener eh bebas keliling indonesia menyapa rakyat menunggu kedatangan pemimpin shidiq amanah fathonah keliling indonesia beratbiar
52,catetttttt druunn
53,catetttttt druunn 🤪😜🤪
54,presiden indonesia tahun kemerdekaan rakyat pribumi tuan rumah negeri insya allah
55,bersujud alloh ikuti petunjuk alloh pertolongan bismilah amanah tuk imam umat
56,gw jagoin dehh dijamin ret ngopi 😍
57,catetttttt yee druunn
58,catetttttt yee druunn 🤪
59,masha alloh perjuangan berat dijalanikami pendukung mendoakan kesehatan kekuatan semoga tercapai
60,catetttttt yee druunn
61,mantap nih aceh👍🙏🇲🇨
62,catetttttt yee druunn
63,catetttttt yee druunn
64,masha allah dihalang halangi anies semangat menemui pendukung insha allah bi idznillah
65,peusejuk aceh lon sayang
66,indonesia bangkit
67,masyaallah tabarakallah
68,mantap anies kompeten 👍
69,terima kasih dah promosikan👏👏👏 😅
70,alhamdulillah jegal hadir aceh 🇲🇨🇲🇨🇲🇨🇲🇨
71,haru liyatnya
72,masyaallah tabarakallah
73,up
74,ekspresi gembira rakyat bertemu
75,bener banget 👍
76,masyaallah 👍 rakyat aceh topbgt
77,up
78,yups 👍
79,inshaa allah mengantarkan indonesia mnjadi real negara bermartabat dunia‼️
80,rekam jejak membuktikan
81,bening sebening sejelas air putih gelas
82,semangat pakkami warga jateng pendukung bang anies berdoa acara aceh aman lancar sukses aamiin
83,catetttttt yee druunn
84,indonesia berkeadilan sosial
85,semangat
86,calon kuat wakil
87,mantul 👍👍👍
88,top bgt 👍👍👍 sumbar
89,pastinya
90,layak اِ نْ شَآ ءَ اللّهُ 🤲☝️
91,insya allah keadilan sosial persatuan indonesia terjaga putraputra terbaik bangsa indonesia
92,bangunlah demokrasi sehat keharmonisan anak bangsa👍🙏🇲🇨
93,hebatnya insyaallah
94,daerah indonesia kau cabut izin safari anies insya allah rakyat mendukungnya presiden allahu akbar
95,in syaa alloh 🤲🤲🤲
96,aamiin allah 🤲
97,ditekan solid
98,semoga allah melindungi anies
99,pemimpin mensejahterakan rakyatnya
100,dah ganti presiden mantabs aceh
101,bravo bang anies nasdem semangatsmga acaranya lancar dimudahkan alloh swt aamiin
102,percayalah diperlakukan adil menarik simpati rakyat bismillah
103,nyeletuk puji kesuksesan anies baswedan kendalikan relawannya loyalis ahy pemimpin
104,anies presiden insya allah tidk lawan politiknya sebutan cebongkadrunkhilafahislamopobiakriminalisasi ulamakarena pintarcerdas pemersatu pemecah bangsa
105,bettynala
106,amazing 👍 the next leader of indonesia
107,terbukti anies bikin jakarta tenang maju mendunia jokowi sikap kenegarawanan berbeda selesai maunya ademadem gubtur insyaallah membongkar oligarki kekuasaan
108,selamat bpk anies baswedan aceh rakyat aceh menyambut suka cita
109,semangat subuh yaa allah pagi munajat dihadapanmu ringankanlah langkah perjuangan pejuang pembela kebaikan berilah kekuatan kesehatan anies memenuhi panggilan rakyat indonesia presiden
110,wow bermain api 🤔🤔🤔
111,pemilih prabowo beralih bikin elektabilitas anies melonjak rabu november meninggal desember november dump down mayoritas disney apple so proud keren bgt gemblong
112,semoga anies sehat kekuatan fisik hatinya melaksanakan tugas mulia merajut bangsa sabang merauke insha allah bi idznillah
113,new hope
114,hasil survey survey botak insyaallah
115,anies pemimpin jujur cerdas santun melindungi
116,mantul 👍
117,percaya tukang sulap
118,mantaap👍🙏🇲🇨
119,catetttttt yee druunn
120,catetttttt yee druunn
121,pencitraan beda banget hasilnya 😉 cc
122,catetttttt yee druunn
123,insya allah dimudahkan
124,catetttttt yee druunn
125,catetttttt yee druunn
126,catetttttt yee druunn
127,kakek zeus kasih jackpot
128,sym segarkan skutik perkotaan jet evo jokowi penjilat jokodok nazis tempur lara ngeri fc onana allah penolong terbaik
129,wow kekayaannya mencapai ratusan miliar panglima tni andika perkasa akui istri kaya jokowi penjilat jokodok nazis tempur lara ngeri fc onana allah penolong terbaik
130,salut keluarga ung serahkan anaknya tersangka pencurian polisi jokowi penjilat jokodok nazis tempur lara ngeri fc onana allah penolong terbaik
131,pengamat rambutnya putih jokowi akui memikirkan rakyat jokowi penjilat jokodok nazis tempur lara ngeri fc onana allah penolong terbaik
132,kecutnya terima kasih polisi jokowi penjilat jokodok nazis tempur lara ngeri fc onana allah penolong terbaik
133,pemimpin adil amanah cerdas visioner nasionalis maju negerinya sejahtera rakyatnya
134,kedewasaan perfikir keluasnya ilmu pengetahuan track record besiih niat tulus modal tawarkan rakyat indonesia
135,suruh tempur eeeh ria indahmakanya jgn ambil pusing lahingat jadikan perbedaan srbagai ilmu barsahabat
136,prestasi kinerjanya terbukti dana tuk memoles kriteria kerut rambut putih rakyat percaya sdh bosan dikibulin diadu domba menerus kn insya allah
137,pemimpin merangkul mengayomi lapisan masyarakat utama keadilan sosial rakyat indonesia serius tenang tuntas mas presiden
138,bangsa bangsa menghargai pahlawannya‼️
139,alhamdulillah selesaikan perusuh bajer ebong pelan
140,presiden indonesia tahun kemerdekaan rakyat pribumi tuan rumah negeri insya allah
141,in syaa alloh 🤲🤝🙏
142,strees 🫢🤣 biar 🤣🤣 aamiin 🤲
143,sepakat
144,cocok perasaan
145,anies sdh teruji ai tingkat dunia👌✊️🇲🇨👉💪
146,bungkusss
147,keren dialog tokoh lintas agama etnis kunjunannya pekanbaru riau
148,lho
149,pilihanku indonesia adil makmur
150,keren kreatif👍
151,partai cilik… 🤣🤣🤣 juaraaaaaa…
152,presiden indonesia tahun kemerdekaan rakyat pribumi tuan rumah negeri insya allah
153,presiden indonesia tahun kemerdekaan rakyat pribumi tuan rumah negeri insya allah
154,org hati bersihbisa hasil kinerja anies menjabat gubernur dki👍👍
155,presiden indonesia tahun kemerdekaan rakyat pribumi tuan rumah negeri insya allah
156,presiden indonesia tahun kemerdekaan rakyat pribumi tuan rumah negeri insya allah
157,presiden indonesia tahun kemerdekaan rakyat pribumi tuan rumah negeri insya allah
158,semoga kondisi pohon monas sehatkan berdoa kesehatan pohon pohon jenguk bawa pupuk iya namti hutan sehatkan yaaa jgn loh
159,iyaalias gkgkgk😜😂🤣
160,yes semangat anisaku mendukung mu
161,okehgkgkgk😜😂🤣
162,gitu cap cip cup terbang kuncup makk
163,mantapp anies 👍👍👍
164,bismillah semangat indonesia perubahan
165,semoga allah melindungi bang anis
166,nasdrun🤣🤣🤣🤣
167,masya allah padang 😎👍👍
168,stamina ttp terjaga panies msh merindu kedatangan harapan perubahan semangat
169,thanks udh mewakili
170,sih ncugkgkgk🤣😂🤣😜
171,gkgkgkgk😂🤣😂😜
172,seneng banget sih pendukung semvak merah semvakmu merah merah muda
