,id,dateTime,userName,content,clean_text,clean_text_stem
0,1600024447737810944,2022-12-06 07:08:50+00:00,rembangcyber,"Ini kata Gus Yusuf Peluang Prabowo - Muhaimin pada Pilpres 2024. #gusmuhaimin #prabowo #Gusyusuf

https://t.co/YqTFxcbmXE",gus yusuf peluang prabowo muhaimin pilpres,gus yusuf peluang prabowo muhaimin pilpres
1,1600023474503749632,2022-12-06 07:04:57+00:00,dekade_08,"Semakin tinggi seseorang, semakin berpengaruh keputusannya, makin besar pula tanggungjawabnya. 

#dekade08 #prabowo #prabowosubianto #mendingprabowo #terusmajubersamaprabowo #tni #seskotni #tniau #tniad #tnial #panglimatni https://t.co/NduDzwBQvv",tinggi berpengaruh keputusannya tanggungjawabnya,tinggi pengaruh putus tanggungjawabnya
2,1600019716760031232,2022-12-06 06:50:02+00:00,nusabalicom,"Gara-gara Koalisi NasDem-Demokrat Tak Kunjung Deklarasi, Rujuk Gerindra dan PKS Bergulir https://t.co/2xoohVqvXE #berita #nusabali #Gerindra #PKS #Prabowo",garagara koalisi nasdemdemokrat kunjung deklarasi rujuk gerindra pks bergulir,garagara koalisi nasdemdemokrat kunjung deklarasi rujuk gerindra pks gulir
3,1599996679281070081,2022-12-06 05:18:29+00:00,dekade_08,"3 Alasan Kenapa Prabowo Lebih Baik dari Yang Lain.

#prabowo #prabowosubianto #dekade08 #mendingprabowo #terusmajubersamaprabowo #pilpres2024 #IndonesiaMaju #Indonesia https://t.co/txuzjl74Tz",alasan prabowo,alas prabowo
4,1599996432072994816,2022-12-06 05:17:30+00:00,ER_R_OR,Semangat Juang #Ir_soekarno Ada Pada diri #prabowo,semangat juang,semangat juang
5,1599989226279669760,2022-12-06 04:48:52+00:00,papandu08,Prabowo bicara pentingnya sosok guru #guru #prabowo #pendidikan https://t.co/nYym5gHD7m,prabowo bicara sosok guru,prabowo bicara sosok guru
6,1599984478390128640,2022-12-06 04:30:00+00:00,SeputariNews,"Prabowo Subianto Undang Sejumlah Pemimpin Industri Pertahanan. GAL

#Menhan #PrabowoSubianto #News #Pertahanan #Pindad #Defendid #Kemenhan #Berita #Prabowo #iNews https://t.co/hntQ9i7bCJ",prabowo subianto undang pemimpin industri pertahanan gal,prabowo subianto undang pimpin industri tahan gal
7,1599978063915515907,2022-12-06 04:04:31+00:00,koranjakarta_id,"Sosok Andika dinilai Ridlwan, yang juga pengamat militer dan intelijen, cocok mengisi bangku Menteri Pertahanan (Menhan) yang saat ini diduduki Prabowo Subianto.

#TNI #andikaperkasa #prabowo #militer #indonesia #news
https://t.co/5uDE752m9D",sosok andika dinilai ridlwan pengamat militer intelijen cocok mengisi bangku menteri pertahanan menhan diduduki prabowo subianto,sosok andika nilai ridlwan amat militer intelijen cocok isi bangku menteri tahan menhan duduk prabowo subianto
8,1599977777746546693,2022-12-06 04:03:23+00:00,dekade_08,"Bagaimana jika kalian salting saat di depan ayang? Ini ekspresi Pak Prabowo saat dipuji Pak Jokowi

#prabowo #prabowosubianto #abangjahat #dekade08 #tiktokviral #fyp #mendingprabowo #terusmajubersamaprabowo https://t.co/2KmLpqp5Y8",salting ayang ekspresi prabowo dipuji jokowi,salting ayang ekspresi prabowo puji jokowi
9,1599956091538132992,2022-12-06 02:37:12+00:00,kompascom,"Ketua DPP Bappilu Partai Nasdem Effendi Choirie meminta Ketua Umum Partai Gerindra Prabowo Subianto untuk mengajukan kadernya menjadi salah satu kandidat cawapres Anies Baswedan. ^ #Nasional #Gerindra #Prabowo 

https://t.co/BYj4sqsW4m",ketua dpp bappilu partai nasdem effendi choirie ketua umum partai gerindra prabowo subianto mengajukan kadernya salah kandidat cawapres anies baswedan,ketua dpp bappilu partai nasdem effendi choirie ketua umum partai gerindra prabowo subianto aju kader salah kandidat cawapres anies baswedan
10,1599952711256244224,2022-12-06 02:23:46+00:00,lawjusticeco,"Soal Rujuk dengan Gerindra di 2024, Presiden PKS: Sangat Mungkin!

https://t.co/bDH6E2SeWR

#pks #gerindra #syaikhu #prabowo #aniesbaswedan https://t.co/LkZLD9ur0o",rujuk gerindra presiden pks,rujuk gerindra presiden pks
11,1599950505811513345,2022-12-06 02:15:00+00:00,PrabuMakkarumpa,"Siap setia Jendral
#kerjasama 
#Prabowo
#PrabowoLebihBaik https://t.co/DlhPYvxm2T",setia jendral,setia jendral
12,1599943938328367104,2022-12-06 01:48:55+00:00,GerindraDemak,"Gimana? Keren kan perjuangan pak @prabowo untuk Desa?

#PrabowoDanaDesa
#MendingPrabowo
#PrabowoSubianto
#Prabowo
#Gerindra
#GerindraJawaTengah
#GerindraJateng
#GerindraDemak https://t.co/yOjFOjBGSe",gimana keren perjuangan desa,gimana keren juang desa
13,1599940080902508546,2022-12-06 01:33:35+00:00,wadoefiqri,"kata Pak Prabowo, petani dan pertanian memiliki peran penting dalam pembangunan Indonesia sejak sebelum merdeka. Jika nasib petani dan pertanian dipinggirkan, maka nasib bangsa akan buruk.

#Prabowo #kerjasama https://t.co/VNTnQWK3pw",prabowo petani pertanian memiliki peran pembangunan indonesia merdeka nasib petani pertanian dipinggirkan nasib bangsa buruk,prabowo tani tani milik peran bangun indonesia merdeka nasib tani tani pinggir nasib bangsa buruk
14,1599935516161761280,2022-12-06 01:15:27+00:00,PrabuMakkarumpa,"Biasanya langsung de DPC Gerindra
#kerjasama 
#Prabowo https://t.co/WYtY19ZCTw",de dpc gerindra,de dpc gerindra
15,1599829473075298304,2022-12-05 18:14:04+00:00,Mulyadi_Adi___,"Gerakan Revolusi Putih dibawa ke Jakarta. Adik #Prabowo Hashim Djojohadikusumo, mendatangi Gubernur DKI Jakarta Anies Baswedan di Balai Kota.",gerakan revolusi putih dibawa jakarta adik hashim djojohadikusumo gubernur dki jakarta anies baswedan balai kota,gera revolusi putih bawa jakarta adik hashim djojohadikusumo gubernur dki jakarta anies baswedan balai kota
16,1599828863663865856,2022-12-05 18:11:39+00:00,Mulyadi_Adi___,"#Prabowo tak hanya memberikan susu kambing gratis, tapi juga biaya pendidikan.",susu kambing gratis biaya pendidikan,susu kambing gratis biaya didik
17,1599828322871300096,2022-12-05 18:09:30+00:00,Mulyadi_Adi___,Ketika itu #Prabowo Subianto adalah calon wakil presiden yang berpasangan dengan Megawati Soekarnoputri sebagai calon presiden.,subianto calon wakil presiden berpasangan megawati soekarnoputri calon presiden,subianto calon wakil presiden pasang megawati soekarnoputri calon presiden
