id,dateTime,userName,content,clean_text,clean_text_stem
1600018124098908160,2022-12-06 06:43:42+00:00,Sis89370263,"30 ribu Lebih Masyarakat Aceh Mengikuti Jalan Sehat Bersama Anies Baswesdan.
#AniesPresiden2024
#AniesPresiden2024
https://t.co/x7w2CBpmgx",ribu masyarakat aceh mengikuti jalan sehat anies baswesdan,ribu masyarakat aceh ikut jalan sehat anies baswesdan
1600017706446626817,2022-12-06 06:42:02+00:00,Sis89370263,"Survei Voxpol, Mayoritas Masyarakat Berpendidikan Tinggi Pilih Anies Baswedan.
Alhamdulillah Pertanda Yang Sangat Baik ini.
#AniesPresiden2024 #AniesPresiden2024
https://t.co/6x7iUiSlAY",survei voxpol mayoritas masyarakat berpendidikan tinggi pilih anies baswedan alhamdulillah pertanda,survei voxpol mayoritas masyarakat didik tinggi pilih anies baswedan alhamdulillah tanda
1600015733454680065,2022-12-06 06:34:12+00:00,Sis89370263,"Survei Voxpol, Mayoritas Masyarakat Berpendidikan Tinggi Pilih Anies Baswedan.
Alhamdulillah Pertanda Yang Sangat Baik ini.
#AniesPresiden2024 #AniesPresiden2024
https://t.co/6x7iUiSTqw",survei voxpol mayoritas masyarakat berpendidikan tinggi pilih anies baswedan alhamdulillah pertanda,survei voxpol mayoritas masyarakat didik tinggi pilih anies baswedan alhamdulillah tanda
1600013798248960000,2022-12-06 06:26:30+00:00,Toni24551456,"@GarengHallu @NasDem bertanggung jwb kpd capres yg di usung nya, sesuai sikon maka fasilitas ini di siapkan. ❗
#AniesPresiden2024 
#NasdemBersamaRakyat https://t.co/7qCqSKDSyw",bertanggung jwb capres usung sesuai sikon fasilitas siapkan ❗,tanggung jwb capres usung sesuai sikon fasilitas siap
1600005030467158017,2022-12-06 05:51:40+00:00,EN538474N6,"Nahhh..
Semoga 2024 juga terjadi hal yg sama di negeri wakwakland.. BANSOS.. BANSOS.. 
#AniesPresiden2024 
#AniesPresiden2024 https://t.co/KckHJC85sc https://t.co/uIFjRgFZlK",nahhh semoga negeri wakwakland bansos bansos,nahhh moga negeri wakwakland bansos bansos
1599996476410560512,2022-12-06 05:17:41+00:00,liliksuharto67,"@MardaniAliSera @PKSejahtera @NasDem @PDemokrat Jangan terlalu lama, akar rumput menunggu kejelasan...frontal mungkin akan lebih menggurita ketika anies aman pt 20% nya.
#aniespresiden2024
#indonesiamemanggil",akar rumput menunggu kejelasanfrontal menggurita anies aman pt,akar rumput tunggu kejelasanfrontal gurita anies aman pt
1599982825658552320,2022-12-06 04:23:26+00:00,KusumaSelfita,"Monas saat saat ini sudah menjadi semacam ikon penggalangan massa atas nama agama.
H.O.T | Laksamana Maeda | Gunung Semeru | Tulus Utamakan Rakyat  | Pasta Kacang Merah | YOASOBI | Modric | Minamino  Brazil  Jiminie BIGHIT
#AniesPresiden2024 https://t.co/T2lLOQ5oEc",monas ikon penggalangan massa nama agama hot laksamana maeda gunung semeru tulus utamakan rakyat pasta kacang merah yoasobi modric minamino brazil jiminie bighit,monas ikon galang massa nama agama hot laksamana maeda gunung meru tulus utama rakyat pasta kacang merah yoasobi modric minamino brazil jiminie bighit
1599975752556249088,2022-12-06 03:55:20+00:00,ferizandra,"Saya setuju sama Prabowo, jangan setia pada orang, setialah pada perjuangan... makanya saya dukung @aniesbaswedan sebagai wujud perjuangan demi Indonesia yang adil &amp; sejahtera...

#AniesPresiden2024",setuju prabowo setia setialah perjuangan dukung wujud perjuangan indonesia adil sejahtera,tuju prabowo setia setia juang dukung wujud juang indonesia adil sejahtera
1599974423905603585,2022-12-06 03:50:03+00:00,Anies_Relawan,"@NasDem @aniesbaswedan Anies the best leaders.
Kalau ada yg terbaik, ngapain pilih yg lain
Ayo semua dukung Anies
#AniesBaswedan 
#AniesPresiden2024",anies the best leaders terbaik ngapain pilih ayo dukung anies,anies the best leaders baik ngapain pilih ayo dukung anies
1599974386391748608,2022-12-06 03:49:54+00:00,Anies_Relawan,"Anies the best leaders.
Kalau ada yg terbaik, ngapain pilih yg lain
Ayo semua dukung Anies
#AniesBaswedan 
#AniesPresiden2024 https://t.co/oDJR3hjtfw",anies the best leaders terbaik ngapain pilih ayo dukung anies,anies the best leaders baik ngapain pilih ayo dukung anies
