id,dateTime,userName,content,clean_text,clean_text_stem
1600076493895278593,2022-12-06 10:35:38+00:00,FokusKM50,@geloraco Maksudnya jangan pilih dia. Karena dia penghianat. Pilih @aniesbaswedan aja yg sdh jelas memperjuangkan hak2 rakyat. Begitu...,maksudnya pilih penghianat pilih aja sdh memperjuangkan rakyat,maksud pilih penghianat pilih aja sdh juang rakyat
1600076372659298304,2022-12-06 10:35:09+00:00,NamakuZoel,"@Poermansyah_M Setinggi apa wawasanmu bung ? masa iya lebih hebat dari @aniesbaswedan yg pernah kuliah di luar negeri, jadi Rektor,jadi menteri jadi gubernur .. lah elo ? Jadi ketua kelas sama ketua RT aja Lom pernah .... Lucu",wawasanmu iya hebat kuliah negeri rektorjadi menteri gubernur elo ketua kelas ketua rt aja lom lucu,wawas iya hebat kuliah negeri rektorjadi menteri gubernur elo ketua kelas ketua rt aja lom lucu
1600076290370871297,2022-12-06 10:34:50+00:00,MiderNuswantoro,"@Sekber_AniesId @aniesbaswedan Jijih, ngedabruss",jijih ngedabruss,jijih ngedabruss
1600076183164489730,2022-12-06 10:34:24+00:00,arifaang,@TeddGus @aniesbaswedan Kelebihan anis dlm dalam pilkada dki mentuntaskan janji politiknya... skrg anis di capreskan olh partai nasdem. ☕️...,kelebihan anis pilkada dki mentuntaskan janji politiknya skrg anis capreskan olh partai nasdem ☕️,lebih anis pilkada dki tuntas janji politik skrg anis capreskan olh partai nasdem
1600075905300324353,2022-12-06 10:33:18+00:00,NamakuZoel,"@Poermansyah_M @TeddGus @aniesbaswedan Kalau udah tua, udah gak bisa nulis biasa dan harus hurup besar semua, baiknya banyak2 bertobat untuk bekal mati ... Tidak ada istilah Kadrun kecuali Pro PKI yg menyebarkan apa yang di perintahkan Nyoto si gembong PKI ...",udah tua udah nulis hurup baiknya bertobat bekal mati istilah kadrun kecuali pro pki menyebarkan perintahkan nyoto gembong pki,udah tua udah nulis hurup baik tobat bekal mati istilah kadrun kecuali pro pki sebar perintah nyoto gembong pki
1600075878410571776,2022-12-06 10:33:12+00:00,sahid_damai,"@Sekber_AniesId @aniesbaswedan Itu sih jargonnya Ganjar,jangan dipinjam.
🤣🤣🤣",sih jargonnya ganjarjangan dipinjam 🤣🤣🤣,sih jargon ganjarjangan pinjam
1600075782847504384,2022-12-06 10:32:49+00:00,Jurigngariwig,@alGhoib7 @_NanaRosa__ @BocahUdik4 @TeddGus @aniesbaswedan Biasa orang orang luar Jakarta yg tau Jakarta dr gambar di kalender tp sudah merasa paling tau Jakarta om🤣🤣,jakarta tau jakarta dr gambar kalender tp tau jakarta om🤣🤣,jakarta tau jakarta dr gambar kalender tp tau jakarta om
1600075779765075969,2022-12-06 10:32:48+00:00,yudhaTrihastomo,@TeddGus @aniesbaswedan Yang paling epic jawaban si Haikal... Malah mendongeng keledai...,epic haikal mendongeng keledai,epic haikal dongeng keledai
1600075734873100288,2022-12-06 10:32:37+00:00,liliksuharto67,"@TeddGus @aniesbaswedan Teruslah hidup dibawah batok kelapa ted..supir bajaj yang keliaran dijalan juga tau detail kelebihan anies, apalagi narsum di tv...",teruslah hidup dibawah batok kelapa tedsupir bajaj keliaran dijalan tau detail kelebihan anies narsum tv,terus hidup bawah batok kelapa tedsupir bajaj keliar jalan tau detail lebih anies narsum tv
1600075682096492545,2022-12-06 10:32:25+00:00,cahaya08nkri78,"Dimana mana di cintai rakyat nggak tua nggak muda nggak hujan ngakk panas @prabowo @ZUL_Hasan @airlangga_hrt @erickthohir @andre_rosiade @sandiuno @ridwankamil @fadlizon @Fahrihamzah @anismatta 
Udahlah bro dukung @aniesbaswedan aj https://t.co/95vs5Ymlm9",dimana cintai rakyat nggak tua nggak muda nggak hujan ngakk panas udahlah bro dukung aj,mana cinta rakyat nggak tua nggak muda nggak hujan ngakk panas udahlah bro dukung aj
1600075665549787136,2022-12-06 10:32:21+00:00,muzaqi_moh,@TeddGus @aniesbaswedan DO kampus ruko kita ketawain sj,do us ruko ketawain sj,do us ruko ketawain sj
1600075600848310272,2022-12-06 10:32:05+00:00,DewaDepeWahyudi,"@TeddGus @aniesbaswedan Pengangguran, bego.. nanya prestasi orang lain... makin bego aja ini..",pengangguran bego nanya prestasi bego aja,anggur bego nanya prestasi bego aja
1600075457642524672,2022-12-06 10:31:31+00:00,kidoelkoe,@TeddGus @aniesbaswedan Kekurangan anies menurut kau apa pula ?. Mana tau cocok pula kurasa dengan kecerdasanku ini kalau kau jelaskan ?,kekurangan anies kau tau cocok kurasa kecerdasanku kau,kurang anies kau tau cocok rasa cerdas kau
1600075411698122754,2022-12-06 10:31:20+00:00,WinarsoWinarso6,@bos_sir @aniesbaswedan @bos_sir klo debat yg di tv yg hebat dong...biar pendukung Anies bangga termasuk saya,klo debat tv hebat dongbiar pendukung anies bangga,klo debat tv hebat dongbiar dukung anies bangga
1600075400008421377,2022-12-06 10:31:17+00:00,TetenkN,@TeddGus @aniesbaswedan Ini org ngerasa hebat padahal semua tau kualitas Dy klo tampil di tv,org ngerasa hebat tau kualitas dy klo il tv,org ngerasa hebat tau kualitas dy klo il tv
1600075250267435009,2022-12-06 10:30:42+00:00,Kwangwung5,@Rangga81591832 @aniesbaswedan @NasDem @nasdem_riau Belum mulai itu masih geladi kotor sekali,geladi kotor,geladi kotor
1600075247650152449,2022-12-06 10:30:41+00:00,KaumReceh22,@TeddGus @aniesbaswedan mantab bang,mantab bang,mantab bang
1600075199604731905,2022-12-06 10:30:30+00:00,iqbal_dull,@EDHARIS3 @putrisakera @aniesbaswedan Orang Ind asli? Asli mana? Coba sebutkan orang jawa nenek moyang dari mana? Orang Kalimantan nenek moyangnya dari mana? Kamu nenek moyangmu dari mana? Cek DNAmu bong,ind asli asli coba sebutkan jawa nenek moyang kalimantan nenek moyangnya nenek moyangmu cek dnamu bong,ind asli asli coba sebut jawa nenek moyang kalimantan nenek moyang nenek moyang cek dnamu bong
1600075098647662593,2022-12-06 10:30:06+00:00,UtuhHaruan,"@TeddGus @aniesbaswedan Dia emang dibayar untuk menyerang Anies, bukan dibayar untuk berpikir logis.
Jadi wajar aja kalo logikanya jungkir balik kaya gitu...",emang dibayar menyerang anies dibayar berpikir logis wajar aja kalo logikanya jungkir kaya gitu,emang bayar serang anies bayar pikir logis wajar aja kalo logika jungkir kaya gitu
1600075056989999107,2022-12-06 10:29:56+00:00,Mm123Muzayin,"@MRLong74 @olvaholvah @aniesbaswedan @NasDem @sobat_anies @Relawananies @AniesIndonesia Jelas2 imigran negara gagal miskin konplik dan kelaparan,,
YAMAN YAMAN jadi jongos negara acak kadut,, wkwkwkwwkwkwk",imigran negara gagal miskin konplik kelaparan yaman yaman jongos negara acak kadut wkwkwkwwkwkwk,imigran negara gagal miskin konplik lapar yaman yaman jongos negara acak kadut wkwkwkwwkwkwk
1600075054217236480,2022-12-06 10:29:55+00:00,Jurigngariwig,@Bengben84356587 @_NanaRosa__ @BocahUdik4 @TeddGus @aniesbaswedan Blog🤣🤣🤣🤣🤣 tau gak blog maksud de revitalisasi monas itu untuk apa blog diatur dimana itu blog🤣🤣🤣Pembangunan revitalisasi Monas dimulai dari pembangunan Plaza Selatan. Area ini dikembalikan bentuknya sesuai dengan Keppres No 25/1995 tentang Penataan Kawasan Medan Merdeka.,blog🤣🤣🤣🤣🤣 tau blog de revitalisasi monas blog diatur dimana blog🤣🤣🤣pembangunan revitalisasi monas pembangunan plaza selatan area dikembalikan bentuknya sesuai keppres no penataan kawasan medan merdeka,blog tau blog de revitalisasi monas blog atur mana blog bangun revitalisasi monas bangun plaza selatan area kembali bentuk sesuai keppres no tata kawasan medan merdeka
1600074586078425088,2022-12-06 10:28:03+00:00,rifai_akif,"@TeddGus @aniesbaswedan Apa kelebihan Ganjar??? Lawan gw padahal orang yg biasa bacot di TV langsung jawabnya terbata2. Yang dia lancar hanya nge-bully dan nyindir Anies.

Gw bisa ngomong gini, karena gw pernah berhadapan dg salah satu dedengkot Ganjaris yg biasa nongol di tv, bukan asal bicara.",kelebihan ganjar lawan gw bacot tv lancar ngebully nyindir anies gw ngomong gini gw berhadapan dg salah dedengkot ganjaris nongol tv bicara,lebih ganjar lawan gw bacot tv lancar ngebully nyindir anies gw ngomong gin gw hadap dg salah dedengkot ganjar nongol tv bicara
1600074584774279168,2022-12-06 10:28:03+00:00,Heryadi12Herry,"Kalau PKS Walk Out, itu artinya langkah DPR dan Pemerintah sudah di rel yg Tepat...!
Pak Dayat @hnurwahid wan
@aniesbaswedan mau Komentat....?
https://t.co/bd9YgNbJBM",pks walk out langkah dpr pemerintah rel dayat wan komentat,pks walk out langkah dpr perintah rel dayat wan komentat
1600074511428161536,2022-12-06 10:27:46+00:00,AruziMunthe,@TeddGus @aniesbaswedan Ah..kau itu perlu nanya prestasi yg kau dukung..fokus itu aja..,ahkau nanya prestasi kau dukungfokus aja,ahkau nanya prestasi kau dukungfokus aja
1600074402775076864,2022-12-06 10:27:20+00:00,Pe2nn_e,@musniumar Sudah bisa dijuluki Satrio Piningit @aniesbaswedan ini Prof?,dijuluki satrio piningit prof,juluk satrio pingit prof
1600074354863505409,2022-12-06 10:27:08+00:00,roby_arr,"@TeddGus @aniesbaswedan Logikanya ngapain juga menjawab pertanyaan yang tidak perlu dipertanyakan, tapi kalau lo yg tanya ya wajar karena lo ber IQ rendah",logikanya ngapain lo wajar lo ber iq rendah,logika ngapain lo wajar lo ber iq rendah
1600074285800116224,2022-12-06 10:26:52+00:00,harwoto1,"@Doncol1502 @Gavinpu54439593 @kayu_jati007 @TeddGus @aniesbaswedan Lu tinggal bilang fitnahnya dimana susah amat,  masalah lapor nggak ,itu urusan ente",tinggal bilang fitnahnya dimana susah lapor nggak urusan ente,tinggal bilang fitnah mana susah lapor nggak urus ente
1600074223178764289,2022-12-06 10:26:37+00:00,fyasof83,@TeddGus @aniesbaswedan Pura2 buta atau goblok sih?,buta goblok sih,buta goblok sih
1600074072230342656,2022-12-06 10:26:01+00:00,AnwarSR_techno,"@TeddGus @aniesbaswedan ngomong naon sih, ncuk....?",ngomong naon sih ncuk,ngomong naon sih ncuk
1600074070636523520,2022-12-06 10:26:01+00:00,TonyFat9,@TeddGus @aniesbaswedan Ga ada 1 pun komen yg dukung pernyataan elu bong 🤪 https://t.co/FoIrn297Zf,ga komen dukung pernyataan elu bong 🤪,ga komen dukung nyata elu bong
1600073991225737218,2022-12-06 10:25:42+00:00,alGhoib7,@Jurigngariwig @_NanaRosa__ @BocahUdik4 @TeddGus @aniesbaswedan Si goblok nya diem Om ...hihi,goblok diem om hihi,goblok diem om hihi
1600073902625284097,2022-12-06 10:25:20+00:00,pinaraci_om,"@Legiun_101 Luar biasa....sama2 torang beking ini si pasung    berpengalaman for torang penegara pd 2024, @aniesbaswedan 👍👍👍",torang beking pasung berpengalaman for torang penegara pd 👍👍👍,torang beking pasung alam for torang negara pd
1600073897441112065,2022-12-06 10:25:19+00:00,udhinjogja,"@Tan_Mar3M Tanpa di fasilitasi @KemenBUMN / negara, sosok @aniesbaswedan mampu 'berbicara'.
Biarkan @erickthohir fokus memfasilitasi sebelah..",fasilitasi negara sosok berbicara biarkan fokus memfasilitasi sebelah,fasilitas negara sosok bicara biar fokus fasilitas belah
