id,dateTime,userName,content,clean_text,clean_text_stem
1600033514627694592,2022-12-06 07:44:51+00:00,Aryprasetyo85,"@ganjarpranowo berpesan kepada para guru tidak khawatir dengan keberlanjutan pekerjaan mereka. 

Ganjar menegaskan Presiden Joko Widodo telah menggangkat ratusan ribu guru honorer menjadi PPPK (Pegawai Pemerintah dengan Perjanjian Kerja).
#sahabatganjar #ganjarpranowo #Ganjar https://t.co/x0FiGHNSap",berpesan guru khawatir keberlanjutan pekerjaan ganjar presiden joko widodo menggangkat ratusan ribu guru honorer pppk pegawai pemerintah perjanjian,pesan guru khawatir lanjut kerja ganjar presiden joko widodo menggangkat ratus ribu guru honorer pppk pegawai perintah janji
1600033428019482625,2022-12-06 07:44:31+00:00,Aryprasetyo85,"Gubernur Jawa Tengah @ganjarpranowo meminta para guru tidak khawatir dengan nasibnya. Ia menegaskan, hanya di era Presiden RI Joko Widodo ratusan ribu guru honorer kini diangkat menjadi PPPK.

#sahabatganjar #ganjarpranowo #Ganjar https://t.co/rbDyZoYceS",gubernur jawa tengah guru khawatir nasibnya era presiden ri joko widodo ratusan ribu guru honorer diangkat pppk,gubernur jawa tengah guru khawatir nasib era presiden ri joko widodo ratus ribu guru honorer angkat pppk
1600033400160935936,2022-12-06 07:44:24+00:00,Khojan7,"@Bambang_Budimab @geloraco @ganjarpranowo @prabowo Ini pengumuman/woro2 buat partai politik ya, 

bagi yg mencalonkan @ganjarpranowo capres harap di cantumkan prestasi dia,kasihan pendukung minim pengetahuan.",partai politik mencalonkan capres harap cantumkan prestasi diakasihan pendukung minim pengetahuan,partai politik calon capres harap cantum prestasi diakasihan dukung minim tahu
1600033008719134721,2022-12-06 07:42:51+00:00,Aryprasetyo85,"Bersama Pemerintah Provinsi Jawa Tengah, @ganjarpranowo telah menyiapkan anggaran darurat kebencanaan sedikitnya Rp15 miliar untuk penanganan berbagai bencana alam yang terjadi di beberapa daerah pada musim hujan.

#sahabatganjar #ganjarpranowo #Ganjar https://t.co/PQs8MXZhU4",pemerintah provinsi jawa tengah anggaran darurat kebencanaan miliar penanganan bencana alam daerah musim hujan,perintah provinsi jawa tengah anggar darurat bencana miliar tangan bencana alam daerah musim hujan
1600032912891838466,2022-12-06 07:42:28+00:00,Aryprasetyo85,"Gubernur Jawa Tengah @ganjarpranowo menjadi mentor para konten kreator Indonesia, dalam acara Kreator Indonesia Berkarya Watch Indonesia di Jakarta.

#sahabatganjar #ganjarpranowo #ganjar https://t.co/okOXTiLEZP",gubernur jawa tengah mentor konten kreator indonesia acara kreator indonesia berkarya watch indonesia jakarta,gubernur jawa tengah mentor konten kreator indonesia acara kreator indonesia karya watch indonesia jakarta
1600032873423085569,2022-12-06 07:42:18+00:00,PRAST_aanMu,@ch_chotimah2 @ganjarpranowo @03__nakula @Aryprasetyo85 @Urrangawak Gw ketawa aja... https://t.co/8b1CsSkC1y,gw ketawa aja,gw ketawa aja
1600032504312139776,2022-12-06 07:40:50+00:00,GajMo313,@ganjarpranowo Lalu soal Wadas anda belajar sama siapa njar??,wadas belajar njar,wadas ajar njar
1600032403602300933,2022-12-06 07:40:26+00:00,Bambang_Budimab,"@Khojan7 @geloraco @ganjarpranowo @prabowo Sori Ana bukan Warga Jateng, yg penting ; https://t.co/klejLuJ2GM",sori ana warga jateng,sori ana warga jateng
1600032188904636416,2022-12-06 07:39:35+00:00,Khojan7,"@Bambang_Budimab @geloraco @ganjarpranowo Piye ki pak @jokowi pendukung lo timbang nyebutkan prestasi ganjar aja gak bisa???

Apakah sesulit itukah??",piye ki pendukung lo timbang nyebutkan prestasi ganjar aja sesulit,piye ki dukung lo timbang nyebutkan prestasi ganjar aja sulit
1600031929914757120,2022-12-06 07:38:33+00:00,Aryprasetyo85,"@ganjarpranowo menjelaskan bahwa penanganan bencana alam, khususnya banjir dan rob perlu penyelesaian jangka panjang terutama terkait pekerjaan sipil yang masih berjalan.

#sahabatganjar #ganjarpranowo #Ganjar https://t.co/K7mSSSmPBS",penanganan bencana alam banjir rob penyelesaian jangka terkait pekerjaan sipil berjalan,tangan bencana alam banjir rob selesai jangka kait kerja sipil jalan
1600031565987602432,2022-12-06 07:37:07+00:00,Khojan7,"@Bambang_Budimab @geloraco @ganjarpranowo Padahal pertanyaan biasa,apakah sesulit itukah menyebutkan prestasi @ganjarpranowo ???

Nih gw bantu prestasi @prabowo bagus dalam pengadaan alutsista.
Lemah dan tidak mampu timbang tanem singkong.

Nah ganjar coba sebutkan??",biasaapakah sesulit prestasi nih gw bantu prestasi bagus pengadaan alutsista lemah timbang tanem singkong ganjar coba sebutkan,biasaapakah sulit prestasi nih gw bantu prestasi bagus ada alutsista lemah timbang tanem singkong ganjar coba sebut
1600031274420572160,2022-12-06 07:35:57+00:00,Aryprasetyo85,"Beberapa daerah di Provinsi Jateng baru-baru ini mengalami bencana yang disebabkan air yakni banjir, rob, dan tanah longsor. 

Gubernur Jawa Tengah @ganjarpranowo telah menambah anggaran darurat kebencanaan dari Rp 15 miliar menjadi sekitar Rp 30 Miliar.

#SahabatGanjar https://t.co/4Tc7NpfeBf",daerah provinsi jateng barubaru mengalami bencana disebabkan air banjir rob tanah longsor gubernur jawa tengah menambah anggaran darurat kebencanaan rp miliar rp miliar,daerah provinsi jateng barubaru alami bencana sebab air banjir rob tanah longsor gubernur jawa tengah tambah anggar darurat bencana rp miliar rp miliar
1600031166286901248,2022-12-06 07:35:31+00:00,ita_kogy,@ganjarpranowo NKRI harga mati,nkri harga mati,nkri harga mati
1600031146733031424,2022-12-06 07:35:27+00:00,Yettidewi,"Betapa  ngeri nya  jika  kelompok  mereka  berkuasa , 

Satukan tekad,  untuk keselamatan  negri  , smg pak  @ganjarpranowo    di  restui  langit  &amp;  bumi  ,  Amin  💪❤️❤️ https://t.co/GAU7is2Ehm",betapa ngeri kelompok berkuasa satukan tekad keselamatan negri smg restui langit bumi amin 💪❤️❤️,betapa ngeri kelompok kuasa satu tekad selamat negri smg restu langit bumi amin
1600030860329504768,2022-12-06 07:34:18+00:00,ThrashMetal16,"@PejuangReceh167 @Hilmi28 @ganjarpranowo @PDI_Perjuangan @aniesbaswedan @jokowi Selama Indonesia masih di pimpin oleh seperti jokowi dan maruf amin ,selama presiden dan wakil presiden indonesia siapa penerus ganjar udah indonesia begitu aja ,kita lihat aja kalau indonesia masih punya presiden dan wakil presiden yg sama .",indonesia pimpin jokowi maruf amin presiden wakil presiden indonesia penerus ganjar udah indonesia aja aja indonesia presiden wakil presiden,indonesia pimpin jokowi maruf amin presiden wakil presiden indonesia terus ganjar udah indonesia aja aja indonesia presiden wakil presiden
1600030839705767937,2022-12-06 07:34:13+00:00,Bambang_Budimab,"@Khojan7 @geloraco @ganjarpranowo NONGOL paling depan saat pamer ""keberhasilan dan trm penghargaan"", NGUMPET saat hadapi masalah, beruntung punya Wakil yg kredible mampu atasi semua persoalan. https://t.co/lBHjSh6YkV",nongol pamer keberhasilan trm penghargaan ngumpet hadapi beruntung wakil kredible atasi,nongol pamer hasil trm harga ngumpet hadap untung wakil kredible atas
1600030469130637312,2022-12-06 07:32:45+00:00,Bambang_Budimab,"@Khojan7 @geloraco @ganjarpranowo Bp Prabowo dan Bp Ganjar dua Negarawan yg punya peluang besar Pimpin Negara sendiri di th 2024 Jiwa Nasionalisnenya tak ada yg ragukan.  
https://t.co/1imQ7NpZH0",bp prabowo bp ganjar negarawan peluang pimpin negara th jiwa nasionalisnenya ragukan,bp prabowo bp ganjar negarawan peluang pimpin negara th jiwa nasionalisnenya ragu
1600030340353257472,2022-12-06 07:32:14+00:00,Khojan7,"@Bambang_Budimab @geloraco @ganjarpranowo Lo sebutkan saja prestasi @ganjarpranowo apa?? 

Tinggal jawab aja apa susahnya,jangan bikin malu pak @jokowi",lo sebutkan prestasi tinggal aja susahnyajangan bikin malu,lo sebut prestasi tinggal aja susahnyajangan bikin malu
1600030035318312960,2022-12-06 07:31:02+00:00,Mellouisa1,"@ganjarpranowo Jiwa bapak sebagai marhaenis sangat menginspirasi sesama anak bangsa dan tanpa membedakan , membawa terangNya dan menjadi berkat buat sesama anak bangsa",jiwa marhaenis menginspirasi anak bangsa membedakan membawa terangnya berkat anak bangsa,jiwa marhaenis inspirasi anak bangsa beda bawa terang berkat anak bangsa
1600029776940793857,2022-12-06 07:30:00+00:00,_bangagoengDuA,"@Reesty_Cayah @ganjarpranowo @PDI_Perjuangan Kita liat nanti deh,, kalo ga KIB nekat, ya mungkin Ganjar mundur.",liat deh kalo ga kib nekat ganjar mundur,liat deh kalo ga kib nekat ganjar mundur
1600029757231726595,2022-12-06 07:29:55+00:00,PagiPerindu,"Kekuasaan itu tidak boleh ngebet, @ganjarpranowo  lahir dari PDI-P dan dari Ibu Megawati lah beliau tau apa arti perjuangan dan pengabdian....

#GanjarUntukIndonesia 
#GanjarTheNextJokowi https://t.co/qNbrvuyYue",kekuasaan ngebet lahir pdip megawati beliau tau perjuangan pengabdian,kuasa ngebet lahir pdip megawati beliau tau juang abdi
1600029735920467969,2022-12-06 07:29:50+00:00,makeumine123,@leesoodam99 @ridwankamil Dijateng pake undang secret number mwehehe @ganjarpranowo,dijateng pake undang secret number mwehehe,dijateng pake undang secret number mwehehe
1600029649861767168,2022-12-06 07:29:30+00:00,LarryHa21921642,@PagiPerindu @ganjarpranowo Keren...,keren,keren
1600029585831518208,2022-12-06 07:29:15+00:00,Aryprasetyo85,"Gubernur Jawa Tengah @ganjarpranowo memiliki target untuk pembangunan mal pelayanan publik (MPP) di Jawa Tengah dapat 100 persen.

#SahabatGanjar

https://t.co/gkvGUgLwqD",gubernur jawa tengah memiliki target pembangunan mal pelayanan publik mpp jawa tengah persen,gubernur jawa tengah milik target bangun mal layan publik mpp jawa tengah persen
1600029491417710592,2022-12-06 07:28:52+00:00,Khojan7,"@Bambang_Budimab @geloraco @ganjarpranowo Gini aja deh,coba sebutkan prestasi @ganjarpranowo apa???

Gak usah utarakan pernyataan bodoh,tinggal jawab aja,sapa tau banyak yg belum tau prestasi ganjar apa",gini aja dehcoba sebutkan prestasi utarakan pernyataan bodohtinggal ajasapa tau tau prestasi ganjar,gin aja dehcoba sebut prestasi utara nyata bodohtinggal ajasapa tau tau prestasi ganjar
1600029456940167170,2022-12-06 07:28:44+00:00,Oodhi_tah,"@SalimCipok @LaingenLisa @ganjarpranowo Maka dari itu, pilihlah yg nyaman, bukan yg Yaman! 😁",pilihlah nyaman yaman 😁,pilih nyaman yaman
1600029178719395841,2022-12-06 07:27:37+00:00,Oodhi_tah,"@ch_chotimah2 @ganjarpranowo @03__nakula @Aryprasetyo85 @Urrangawak Beliau gak perlu hadir keliling, apalagi naik pesawat pribadi. 😁",beliau hadir keliling pesawat pribadi 😁,beliau hadir keliling pesawat pribadi
1600028744252420096,2022-12-06 07:25:54+00:00,Desiper13,"Pendapat dan ide Pak M.Qodari ini Perluh di dukung.dan Pak Erick Thohir Juga harus kita dukung Untuk Merevolusi @PSSI,Agar Sepak bola indonesia mampu bersaing di masa yang akan datang.
@kumparan @ganjarpranowo
https://t.co/sCH9IbBP90

Bongkar Total PSSI

#RevolusiSepakBola",pendapat ide mqodari perluh dukungdan erick thohir dukung merevolusi sepak bola indonesia bersaing bongkar total pssi,dapat ide mqodari perluh dukungdan erick thohir dukung revolusi sepak bola indonesia saing bongkar total pssi
1600028501490696192,2022-12-06 07:24:56+00:00,HutahaeanAzhar,@soen_cak @ganjarpranowo Oligarki mulai belanja billboard segede gaban,oligarki belanja billboard segede gaban,oligarki belanja billboard gede gaban
1600028073923006464,2022-12-06 07:23:14+00:00,Bambang_Budimab,@Khojan7 @geloraco @ganjarpranowo TKW dan TKI ada yg ke Arab Yaman ??????????. https://t.co/h5xeRhU1EG,tkw tki arab yaman,tkw tki arab yaman
