id,dateTime,userName,content,clean_text,clean_text_stem
1600076404216893441,2022-12-06 10:35:17+00:00,jnoleencit,"@Gerindra @riris_arimbi @ohbaebabe @tanyarlfes @prabowo pak liat, songong bngt adminya",liat songong bngt adminya,liat songong bngt adminya
1600075682096492545,2022-12-06 10:32:25+00:00,cahaya08nkri78,"Dimana mana di cintai rakyat nggak tua nggak muda nggak hujan ngakk panas @prabowo @ZUL_Hasan @airlangga_hrt @erickthohir @andre_rosiade @sandiuno @ridwankamil @fadlizon @Fahrihamzah @anismatta 
Udahlah bro dukung @aniesbaswedan aj https://t.co/95vs5Ymlm9",dimana cintai rakyat nggak tua nggak muda nggak hujan ngakk panas udahlah bro dukung aj,mana cinta rakyat nggak tua nggak muda nggak hujan ngakk panas udahlah bro dukung aj
1600075344437837826,2022-12-06 10:31:04+00:00,lusianosableng,@ex_AnakLolina @prabowo @Gerindra @NasDem Ini namanya tidak tahu diri.,namanya,nama
1600075135335075840,2022-12-06 10:30:14+00:00,HodAstrotruno,"@_4mareguzel @prabowo @Gerindra Hahahha akhirnya timbul lagi ya pak...sdh makin dekat 2024, ritual calon kembali timbul.....moga kali ini tdk jadi calon arang....",hahahha timbul paksdh ritual calon timbulmoga tdk calon arang,hahahha timbul paksdh ritual calon timbulmoga tdk calon arang
1600074842467799040,2022-12-06 10:29:05+00:00,agul_pisan,"@OposisiCerdas Pak @prabowo tau soal ini? Saya pengen tau jawaban bapak, apakah tidak ada cara lain mencari pemasukan negara selain mengobral pulau"" di negeri ini? Pak @SBYudhoyono  tolong reaksinya pak. 🙄😢",tau pengen tau mencari pemasukan negara mengobral pulau negeri tolong reaksinya 🙄😢,tau ken tau cari pasu negara obral pulau negeri tolong reaksi
1600074541622960128,2022-12-06 10:27:53+00:00,SoettaSena,@paijo_kudus @prabowo @Gerindra @Fraksi_Gerindra @NasDem Lucu Banget apa yang di ucapkan Alm. Gus Dur ini... https://t.co/rwjBGLQF1d,lucu banget ucapkan alm gus dur,lucu banget ucap alm gus dur
1600074187783122944,2022-12-06 10:26:28+00:00,riayasmin1,@prabowomuda08 @prabowo yakin bisa merasakan apa yang di alami oleh para korban dan sekarang rakyat percaya kalau #PrabowoUntukIndonesia,merasakan alami korban rakyat percaya,rasa alami korban rakyat percaya
1600073853782622209,2022-12-06 10:25:09+00:00,riayasmin1,"@prabowomuda08 biarkan saja orang bicara apa tapi untuk kemanusian @prabowo selalu terdepan 

#PrabowoPresiden2024
#2024PrabowoPresiden",biarkan bicara kemanusian terdepan,biar bicara kemanusian depan
1600073821398396933,2022-12-06 10:25:01+00:00,StefanAntonio__,@Sgm_mks @PKSejahtera @Gerindra @NasDem @prabowo @adityawilly @madtu_madali @RachmatGobel Yang pasti sudah terbuka sekarang topengnya,terbuka topengnya,buka topeng
1600073730696171520,2022-12-06 10:24:39+00:00,pancasila1708,"Gimana? Potensi kepemimpinan @Prabowo di regional bagus banget kan. Bukan hanya mampu bekerjasama dengan Jokowi tetapi juga mampu bekerjasama dengan negara tetangga. Makin damai dah Indonesia.

#Prabowo
#kerjasama",gimana potensi kepemimpinan regional bagus banget bekerjasama jokowi bekerjasama negara tetangga damai dah indonesia,gimana potensi pimpin regional bagus banget bekerjasama jokowi bekerjasama negara tetangga damai dah indonesia
