id,dateTime,userName,content,clean_text,clean_text_stem
1600076711596462080,2022-12-06 10:36:30+00:00,bimalima_jabar,"Sore #SobatBima5
Berikut Pekerjaan Rumija Saluran Bahu Oleh SPPJJ 3 Kab. Tasikmalaya, Kab. Ciamis, Kota Banjar dan Kab. Pangandaran.

@ridwankamil 
#dbmprjuara https://t.co/Ql2arWRDFv",sore pekerjaan rumija saluran bahu sppjj kab tasikmalaya kab ciamis kota banjar kab pangandaran,sore kerja rumija salur bahu sppjj kab tasikmalaya kab ciamis kota banjar kab pangandaran
1600076562325704704,2022-12-06 10:35:55+00:00,RikaTapioka,@ridwankamil Kamil Pembohongg,kamil pembohongg,kamil pembohongg
1600076270880325640,2022-12-06 10:34:45+00:00,bimalima_jabar,"Sore #SobatBima5
Berikut Pekerjaan Rumija Saluran Bahu Oleh SPPJJ 2 Kab./Kota Tasikmalaya.

@ridwankamil 
#dbmprjuara https://t.co/gY9rF4bd2V",sore pekerjaan rumija saluran bahu sppjj kabkota tasikmalaya,sore kerja rumija salur bahu sppjj kabkota tasikmalaya
1600076166068547589,2022-12-06 10:34:20+00:00,bimalima_jabar,"Sore #SobatBima5
Berikut Pekerjaan Rumija Saluran Bahu Oleh SPPJJ 2 Kab./Kota Tasikmalaya.

@ridwankamil 
#dbmprjuara https://t.co/anq5WN6Os3",sore pekerjaan rumija saluran bahu sppjj kabkota tasikmalaya,sore kerja rumija salur bahu sppjj kabkota tasikmalaya
1600075927030882304,2022-12-06 10:33:23+00:00,FWedhayanti,"Miris sekali!!!!
DUKACITA YANG MENDALAM UNTUK MATINYA HATI NURANI
@jokowi @nadiemmakarim @titokarnavian_ @ridwankamil @psi_id @kokokdirgantoro @Giring_Ganesha @RajaJuliAntoni @sigitwid @andrewenas @aryobimmo @MikhailGorbaDom @susyrizky @deatunggaesti https://t.co/TcGVSWp2Ze",miris dukacita mendalam matinya hati nurani,miris dukacita dalam mati hati nurani
1600075682096492545,2022-12-06 10:32:25+00:00,cahaya08nkri78,"Dimana mana di cintai rakyat nggak tua nggak muda nggak hujan ngakk panas @prabowo @ZUL_Hasan @airlangga_hrt @erickthohir @andre_rosiade @sandiuno @ridwankamil @fadlizon @Fahrihamzah @anismatta 
Udahlah bro dukung @aniesbaswedan aj https://t.co/95vs5Ymlm9",dimana cintai rakyat nggak tua nggak muda nggak hujan ngakk panas udahlah bro dukung aj,mana cinta rakyat nggak tua nggak muda nggak hujan ngakk panas udahlah bro dukung aj
1600074688910065665,2022-12-06 10:28:28+00:00,ruhimawati,@alfil_lf @ridwankamil Bisa diterima kok kebijakannya kang Emil #bersamajuara,diterima kebijakannya kang emil,terima bijak kang emil
1600073953787072515,2022-12-06 10:25:33+00:00,Iwan18619923,"@kurawa @ridwankamil Depok sdh punya dua masjid megah kubah mas dan At-Thohir terus mau apalagi...saingan...apa krg nampung ja'maah, lihat tiap hr sholat 5 waktu paling banter rata2 cuma 2 Shaf... pertanggung jawaban ke Allah gimana...kagak pd ngaca tuh walkot...😡",depok sdh masjid megah kubah mas atthohir apalagisainganapa krg ung jamaah hr sholat waktu banter shaf pertanggung allah gimanakagak pd ngaca tuh walkot😡,depok sdh masjid megah kubah mas atthohir apalagisainganapa krg ung jamaah hr sholat waktu banter shaf tanggung allah gimanakagak pd ngaca tuh walkot
1600073395403902977,2022-12-06 10:23:20+00:00,MS_Fialmar,"@rizkidwika Kota Bandung sdah selayaknya dg mass transport, angkot dihilangkan atau diminimalkan cm buat feeder aja dr wilayah pinggiran kang @ridwankamil",kota bandung sdah selayaknya dg mass transport angkot dihilangkan diminimalkan cm feeder aja dr wilayah pinggiran kang,kota bandung sdah layak dg mass transport angkot hilang minimal cm feeder aja dr wilayah pinggir kang
1600073090184056834,2022-12-06 10:22:07+00:00,jpnncom,"#BeritaJabar
Penetapan UMP Jabar 2023 Gunakan Kebijakan Skala Upah
@ridwankamil 
#ump2023 
#umpjabar
https://t.co/pHkWjSkm9T",penetapan ump jabar kebijakan skala upah,tetap ump jabar bijak skala upah
1600073027185786880,2022-12-06 10:21:52+00:00,govinda_jaya_,@VIVAcoid Hayu lah Kang @ridwankamil .. !,hayu kang,hayu kang
1600072472543793152,2022-12-06 10:19:40+00:00,Adolfoj35H,"@ridwankamil dekat dengan semua kalangan,khususnya anak muda #bersamajuara #ridwankamil https://t.co/MWtvq1G9uV",kalangankhususnya anak muda,kalangankhususnya anak muda
1600072448380383233,2022-12-06 10:19:34+00:00,01_ranie,"@alfil_lf @ridwankamil Ya namanya juga pro dan kontra pasti akan ada, tapi setidaknya Kang Emil sudah berpijak pada aturan yang mengakomodir semua pihak #bersamajuara",namanya pro kontra kang emil berpijak aturan mengakomodir,nama pro kontra kang emil pijak atur mengakomodir
1600072264476942342,2022-12-06 10:18:50+00:00,Adolfoj35H,"@ridwankamil bukan semata-mata populer, tapi beliau juga memiliki kinerja yang OK #bersamajuara #ridwankamil https://t.co/6XEn0mTpPl",sematamata populer beliau memiliki kinerja ok,sematamata populer beliau milik kerja ok
1600071198662365184,2022-12-06 10:14:36+00:00,01_ranie,@Leeeronica @ridwankamil Semua ciri itu emang melekat pada diri Ridwan Kamil #bersamajuara,ciri emang melekat ridwan kamil,ciri emang lekat ridwan kamil
1600071122510237697,2022-12-06 10:14:18+00:00,inrachma,"@puccheeee @kurawa @ridwankamil Bukan gitu mesjid tetap, tp cari lokasi lain. Wah maaf gang2 di sekitar Margonda tuh sempit2, bayangkan jika jamaah bermobil tetiba semua sholat, muat ga tuh. Dahlah, dikira sy ga tau daerah situ. Mesjid buat musafir tuh idealnya spt yg di LA, byk parkirannya, pas tepi jalan",gitu mesjid tp cari lokasi maaf margonda tuh bayangkan jamaah bermobil tetiba sholat muat ga tuh dahlah ga tau daerah situ mesjid musafir tuh idealnya spt la byk parkirannya pas tepi jalan,gitu mesjid tp cari lokasi maaf margonda tuh bayang jamaah mobil tetiba sholat muat ga tuh dah ga tau daerah situ mesjid musafir tuh ideal spt la byk parkir pas tepi jalan
1600071001622151169,2022-12-06 10:13:49+00:00,01_ranie,"@Leeeronica @ganjarpranowo @ridwankamil Yaaa bolehlah, baka; meraup suara yang luar biasa sepertinya kalau disandingkan #bersamajuara #ridwankamil",yaaa baka meraup suara disandingkan,yaaa baka raup suara sanding
1600070310757535744,2022-12-06 10:11:04+00:00,_HeartlessLee,"Bukan hanya dari sisi pemerintahan, segala aspek yang dimiliki @ridwankamil adalah modern #bersamajuara #ridwankamil https://t.co/Ij9CYbVzKE",sisi pemerintahan aspek dimiliki modern,sisi perintah aspek milik modern
1600068700169973761,2022-12-06 10:04:40+00:00,TaylaWana,@Leeeronica @ganjarpranowo @ridwankamil Dorongan Ridwan Kamil jadi Capres ? hehe #bersamajuara,dorongan ridwan kamil capres hehe,dorong ridwan kamil capres hehe
1600068524948729862,2022-12-06 10:03:58+00:00,TaylaWana,@Leeeronica @ridwankamil Peka terhadap teknologi ini jelas kalau Pak GubRidwan Kamil mah #bersamajuara,peka teknologi gubridwan kamil mah,peka teknologi gubridwan kamil mah
1600068150573162498,2022-12-06 10:02:29+00:00,agunsux,@karimnas_ coba kang @ridwankamil tolong jelaskan kenapa begini,coba kang tolong,coba kang tolong
1600067762432663552,2022-12-06 10:00:57+00:00,suhendar6,@ridwankamil hmm,hmm,hmm
1600067430826803200,2022-12-06 09:59:37+00:00,PutraPuncak13,"@eRS_AREMA021 @togarerwins24 @sigitwid @Kemdikbud_RI @KPAI_official @ridwankamil @psi_id Kaum Anjing tolol, itu sekolah milik negara.",kaum anjing tolol sekolah milik negara,kaum anjing tolol sekolah milik negara
1600067334231977984,2022-12-06 09:59:14+00:00,TaylaWana,@alfil_lf @ridwankamil Sallut Kang Emil #bersamajuara,sallut kang emil,sallut kang emil
1600067096788205569,2022-12-06 09:58:18+00:00,PutraPuncak13,@theopieter @oomlemu @eRS_AREMA021 @sigitwid @Kemdikbud_RI @KPAI_official @ridwankamil @psi_id Emang di Depok masjid 1 doang,emang depok masjid,emang depok masjid
