id,dateTime,likes,content,clean_text,clean_text_stem
1600043664310358016,2022-12-06 08:25:11+00:00,311,"Untuk ke lima kalinya kita memperoleh predikat A dalam penerapan sistem akuntabilitas kinerja instansi pemerintahan atau Sakip. 

Terimakasih temen-temen ASN Pemprov Jateng telah bekerja optimal untuk memberi pelayanan terbaik untuk saudara-saudara kita. https://t.co/DReJiVvpzH",kalinya memperoleh predikat penerapan sistem akuntabilitas kinerja instansi pemerintahan sakip terimakasih tementemen asn pemprov jateng optimal pelayanan terbaik saudarasaudara,kali oleh predikat terap sistem akuntabilitas kerja instansi perintah sakip terimakasih tementemen asn pemprov jateng optimal layan baik saudarasaudara
1599966536521089024,2022-12-06 03:18:42+00:00,831,Dari beliaulah saya memahami arti sebuah kesabaran dalam perjuangan. Ora grusa grusu. https://t.co/EF0rSlZRRt,beliaulah memahami kesabaran perjuangan ora grusa grusu,biau paham sabar juang ora grusa grusu
1599767091540021252,2022-12-05 14:06:11+00:00,1330,"Guru, motivator, teman debat dan diskusi yang tak pernah punya tendensi kecuali agar semakin kuat pikiran dan hati ini. 

Sangat bersyukur mengenal dua tokoh yang luar biasa ini. Sehat-sehat terus Mas Eros dan Mas Slamet R. https://t.co/QWvJsc4MCq",guru motivator teman debat diskusi tendensi kecuali kuat pikiran hati bersyukur mengenal tokoh sehatsehat mas eros mas slamet,guru motivator teman debat diskusi tendensi kecuali kuat pikir hati syukur kenal tokoh sehatsehat mas eros mas slamet
1599728380412559360,2022-12-05 11:32:22+00:00,111,Semoga sampai tahun depan seluruh kabupaten/kota di Jawa Tengah sudah memiliki MPP agar seluruh saudara2ku warga Jateng bisa menikmati pelayanan yang ekstra ini.,semoga ai tahun kabupatenkota jawa tengah memiliki mpp warga jateng menikmati pelayanan ekstra,moga ai tahun kabupatenkota jawa tengah milik mpp warga jateng nikmat layan ekstra
1599728342311530506,2022-12-05 11:32:12+00:00,611,"Di Jawa Tengah sudah ada 22 Mal Pelayanan Publik yang tersebar di berbagai kabupatendan kota. 

Untuk ngurus apa saja cukup di satu gedung ini saja. Inilah cara kita untuk mempermudah dan mempercepat layanan. https://t.co/4ucfzuQIk5",jawa tengah mal pelayanan publik tersebar kabupatendan kota ngurus gedung mempermudah mempercepat layanan,jawa tengah mal layan publik sebar kabupatendan kota ngurus gedung mudah cepat layan
1599666991262236672,2022-12-05 07:28:25+00:00,948,"Capek itu apaaa? 😁

Satu lagi event sportourisme yang sangat menarik di Jawa Tengah, Trail Run Siksorogo Lawu Ultra. Waaaah bener-bener nyikso rogo. Kesel. Hehehe

Tapi capeknya terbayar tuntas dengan eksotisme rutenya. Kalau tahun depan acara ini dibikin lagi, kamu mau ikut ya. https://t.co/DRalMcREHP",capek apaaa 😁 event sportourisme menarik jawa tengah trail run siksorogo lawu ultra waaaah benerbener nyikso rogo kesel hehehe capeknya terbayar tuntas eksotisme rutenya tahun acara dibikin,capek apaaa event sportourisme tarik jawa tengah trail run siksorogo lawu ultra waaaah benerbener nyikso rogo kesel hehehe capek bayar tuntas eksotisme rute tahun acara bikin
1599582264559833088,2022-12-05 01:51:45+00:00,122,"Karena kami yakin, perjuangan lewat jalur pendidikan bukan cuma bisa mengentaskan orang dari kemiskinan tapi sekaligus akan mampu mengangkat derajat dirinya dan keluarganya.",perjuangan jalur pendidikan mengentaskan kemiskinan mengangkat derajat keluarganya,juang jalur didik entas miskin angkat derajat keluarga
1599582236105641987,2022-12-05 01:51:38+00:00,133,"Sampai saat ini ada 1.000 lebih lulusannya yang tersebar di berbagai perusahaan ternama di Indonesia. Baik itu perusahaan swasta, BUMN maupun perusahaan multinasional. 

Ada juga yang keterima di TNI/Polri dan melanjutkan kuliah yang semuanya dari jalur beasiswa.",ai lulusannya tersebar perusahaan ternama indonesia perusahaan swasta bumn perusahaan multinasional keterima tnipolri melanjutkan kuliah jalur beasiswa,ai lulus sebar usaha nama indonesia usaha swasta bumn usaha multinasional terima tnipolri lanjut kuliah jalur beasiswa
1599582188315766785,2022-12-05 01:51:27+00:00,113,"Dengan pengajar serta laboratorium yang beberapa hasil kerja sama dengan perusahaan, pengetahuan dan keterampilan mereka benar-benar kita optimalkan.",pengajar laboratorium hasil perusahaan pengetahuan keter ilan benarbenar optimalkan,ajar laboratorium hasil usaha tahu keter ilan benarbenar optimal
1599582146058137600,2022-12-05 01:51:17+00:00,112,"Karena efektivitasnya tahun ini kita tambah 15 lagi meski konsepnya masih semi boarding School. 

Semua biaya hidup, keperluan pendidikan dan praktikum kita tanggung.",efektivitasnya tahun konsepnya semi boarding school biaya hidup keperluan pendidikan praktikum tanggung,efektivitas tahun konsep semi boarding school biaya hidup perlu didik praktikum tanggung
